$ Bathymetry: Lower Monumental.  Original provided by Mike Schneider - unknown/undocumented source.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,
DLX,0,1468,1635,1566,1392,1435,1648,1756,1587,1448,1713,1878,1777,1711,1776,2088,2121,1839,1568,1905,2431,2262,1978,1599,1479,1967,1419,691,0,,,,,,,,,
ELWS,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,165.396,,,,,,,,,
PHIO,0,1.138,1.085,1.68,1.147,0.511,1.52,1.484,1.76,2.466,2.313,2.403,2.25,1.48,1.24,2.35,1.6,1.15,1.133,0.763,1.75,2.04,2.04,0.69,0.5,1.35,1.098,0.906,0,,,,,,,,,
FRICT,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),MULT,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,625285235.3,506927.745,172.022,564.376,,
1,0,618.385,456.029,380.223,294.831,319.391,404.336,414.864,419.963,413.07,391.144,411.032,522.055,438.49,426.491,523.59,693.258,565.599,591.803,645.309,781.029,727.694,823.323,817.967,856.503,1346.45,1367.509,1059.59,0,,2,28484501.72,625285235.3,506927.745,171.022,561.095,1.4,1.12
1,0,618.385,456.029,380.223,294.831,319.391,404.336,414.864,419.963,413.07,391.144,411.032,522.055,438.49,426.491,523.59,693.258,565.599,591.803,645.309,781.029,727.694,823.323,817.967,856.503,1346.45,1367.509,1059.59,0,,3,28484501.72,596800733.6,483834.95,170.022,557.814,1.4,1.12
1,0,618.385,456.029,380.223,294.831,319.391,404.336,414.864,419.963,413.07,391.144,411.032,522.055,438.49,426.491,523.59,693.258,565.599,591.803,645.309,781.029,727.694,823.323,817.967,856.503,1346.45,1367.509,1059.59,0,,4,28484501.72,568316231.9,460742.154,169.022,554.534,1.4,1.001
1,0,618.385,456.029,380.223,294.831,319.391,404.336,414.864,419.963,413.07,391.144,411.032,522.055,438.49,426.491,523.59,693.258,565.599,591.803,645.309,781.029,727.694,823.323,817.967,856.503,1346.45,1367.509,1059.59,0,,5,28484501.72,539831730.2,437649.358,168.022,551.253,1.4,1.001
