$LMN.Elev-Tailwater.Ave.~1Day.1Day.CBT-REV [ft NAVD88],,
CY 2011-2015,,12/31/2010
JDAY,TWElev,
40544,442.5535,
40545,442.7435,
40546,442.3435,
40547,442.7735,
40548,442.0435,
40549,442.0335,
40550,442.2635,
40551,442.6835,
40552,442.7335,
40553,442.8335,
40554,443.0835,
40555,442.8135,
40556,442.7035,
40557,443.5235,
40558,442.6735,
40559,443.0635,
40560,443.5935,
40561,444.6835,
40562,445.2835,
40563,443.7135,
40564,442.9335,
40565,443.5935,
40566,443.5635,
40567,443.3235,
40568,443.2135,
40569,442.9635,
40570,443.2035,
40571,442.7935,
40572,442.4335,
40573,442.8735,
40574,442.6635,
40575,442.6735,
40576,442.8835,
40577,442.5535,
40578,442.7535,
40579,443.0035,
40580,442.5835,
40581,442.6735,
40582,442.6735,
40583,442.3735,
40584,442.3335,
40585,442.3435,
40586,442.4735,
40587,442.5335,
40588,443.0435,
40589,442.9735,
40590,443.1135,
40591,442.7935,
40592,442.9235,
40593,442.8535,
40594,442.9635,
40595,442.9435,
40596,442.9835,
40597,443.6035,
40598,442.6435,
40599,442.4935,
40600,442.5735,
40601,442.4735,
40602,442.7635,
40603,443.4235,
40604,443.1835,
40605,442.5135,
40606,442.6935,
40607,443.1635,
40608,442.8335,
40609,443.0935,
40610,443.2635,
40611,443.2535,
40612,443.1735,
40613,443.0635,
40614,444.5635,
40615,443.7035,
40616,443.0535,
40617,443.9035,
40618,443.9635,
40619,443.4335,
40620,444.4735,
40621,444.1435,
40622,444.0735,
40623,444.0535,
40624,444.7435,
40625,444.2335,
40626,443.6635,
40627,444.0335,
40628,444.5035,
40629,444.1735,
40630,443.5435,
40631,443.7335,
40632,443.4535,
40633,444.1435,
40634,445.8435,
40635,446.5635,
40636,446.4435,
40637,446.4835,
40638,445.5335,
40639,446.3935,
40640,446.6835,
40641,445.7835,
40642,444.7635,
40643,444.5735,
40644,444.6135,
40645,444.0035,
40646,444.4835,
40647,443.7435,
40648,443.7235,
40649,443.0735,
40650,442.6735,
40651,443.0935,
40652,443.5235,
40653,444.2035,
40654,443.8935,
40655,444.3835,
40656,444.0235,
40657,443.5335,
40658,443.6035,
40659,443.3735,
40660,443.5335,
40661,443.3935,
40662,443.3735,
40663,443.1135,
40664,443.2435,
40665,443.0135,
40666,442.6035,
40667,442.9235,
40668,442.9735,
40669,443.0335,
40670,443.0735,
40671,442.8935,
40672,443.2935,
40673,443.9035,
40674,443.7735,
40675,443.8335,
40676,444.1135,
40677,444.8135,
40678,446.3835,
40679,448.1235,
40680,449.7635,
40681,449.1235,
40682,447.9635,
40683,447.4035,
40684,447.1235,
40685,447.4935,
40686,448.0735,
40687,448.4435,
40688,448.8835,
40689,449.0035,
40690,449.3835,
40691,449.5435,
40692,448.5735,
40693,448.0535,
40694,447.4035,
40695,446.7235,
40696,447.1135,
40697,447.0835,
40698,447.9235,
40699,447.3035,
40700,447.1935,
40701,447.2335,
40702,448.5935,
40703,449.9635,
40704,449.7235,
40705,449.2535,
40706,448.3935,
40707,448.3035,
40708,448.4835,
40709,448.9535,
40710,448.9735,
40711,448.4835,
40712,448.1435,
40713,447.2635,
40714,447.0835,
40715,447.5435,
40716,447.4135,
40717,447.6535,
40718,448.5335,
40719,449.0135,
40720,448.5835,
40721,447.8635,
40722,447.4135,
40723,447.1535,
40724,447.0735,
40725,447.4435,
40726,447.5235,
40727,446.5235,
40728,446.3035,
40729,446.1435,
40730,445.8835,
40731,445.6335,
40732,445.2435,
40733,445.3135,
40734,444.5835,
40735,444.2035,
40736,443.5835,
40737,443.5435,
40738,443.4635,
40739,443.3835,
40740,443.2035,
40741,443.0235,
40742,442.8535,
40743,442.9235,
40744,442.8135,
40745,442.2535,
40746,442.5435,
40747,442.0735,
40748,442.1835,
40749,442.1235,
40750,441.7635,
40751,442.0235,
40752,441.6135,
40753,441.7235,
40754,441.4835,
40755,441.2535,
40756,441.6135,
40757,441.2835,
40758,441.5535,
40759,441.4135,
40760,441.5535,
40761,441.0035,
40762,441.1635,
40763,441.0735,
40764,440.9035,
40765,441.3435,
40766,441.1035,
40767,440.6335,
40768,441.1335,
40769,441.0235,
40770,440.6835,
40771,440.8335,
40772,440.8335,
40773,440.6835,
40774,440.5935,
40775,440.6335,
40776,440.6035,
40777,440.3235,
40778,440.6135,
40779,440.9135,
40780,441.3035,
40781,441.4035,
40782,441.3135,
40783,441.0535,
40784,440.7735,
40785,441.0635,
40786,441.3835,
40787,441.2235,
40788,441.8035,
40789,442.2235,
40790,442.2535,
40791,442.4735,
40792,442.1035,
40793,441.6235,
40794,441.4335,
40795,442.2435,
40796,442.5835,
40797,442.5135,
40798,442.3435,
40799,442.8935,
40800,442.7435,
40801,442.6035,
40802,442.7335,
40803,442.2535,
40804,442.2735,
40805,442.1135,
40806,441.9235,
40807,441.7235,
40808,441.7335,
40809,441.3735,
40810,441.9135,
40811,442.2635,
40812,442.3435,
40813,442.3035,
40814,442.3635,
40815,442.6635,
40816,442.6435,
40817,441.9635,
40818,441.8135,
40819,442.2335,
40820,442.7035,
40821,442.4735,
40822,442.3835,
40823,442.5935,
40824,442.4335,
40825,441.9135,
40826,442.1935,
40827,442.3535,
40828,442.1535,
40829,442.2735,
40830,442.1335,
40831,442.7535,
40832,442.6335,
40833,442.5235,
40834,442.3735,
40835,441.8735,
40836,442.0335,
40837,442.4635,
40838,442.7035,
40839,442.4335,
40840,441.9335,
40841,442.0235,
40842,442.2535,
40843,442.5135,
40844,442.5035,
40845,442.5135,
40846,442.6935,
40847,442.7135,
40848,442.4635,
40849,442.4235,
40850,442.1735,
40851,442.0935,
40852,442.2235,
40853,442.5035,
40854,442.6635,
40855,441.8335,
40856,441.7535,
40857,441.8235,
40858,441.9335,
40859,442.5335,
40860,442.7935,
40861,442.4435,
40862,441.7735,
40863,441.5935,
40864,441.8035,
40865,442.1035,
40866,442.2335,
40867,442.1335,
40868,442.0835,
40869,441.8635,
40870,442.4435,
40871,442.6335,
40872,442.4335,
40873,442.2935,
40874,442.5235,
40875,442.3435,
40876,441.9035,
40877,441.8635,
40878,442.3835,
40879,441.9335,
40880,441.8935,
40881,442.2435,
40882,442.3235,
40883,441.7335,
40884,441.7335,
40885,441.8735,
40886,441.9835,
40887,441.9235,
40888,441.8435,
40889,441.8835,
40890,442.2535,
40891,442.4635,
40892,442.0735,
40893,442.5135,
40894,442.6335,
40895,442.7435,
40896,442.4335,
40897,442.6035,
40898,442.5135,
40899,442.5535,
40900,442.2235,
40901,442.3735,
40902,442.4435,
40903,442.5635,
40904,442.3835,
40905,442.5535,
40906,442.7035,
40907,442.5835,
40908,442.7535,
40909,442.8635,
40910,442.4535,
40911,442.5935,
40912,442.8935,
40913,442.8035,
40914,442.1535,
40915,442.1135,
40916,442.2335,
40917,442.3235,
