$ LOWER MONUMENTAL-POOLELEV.npt based on $//LOWER MONUMENTAL-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40544,165.396
40545,165.368
40546,165.369
40547,165.241
40548,165.253
40549,165.186
40550,165.186
40551,165.297
40552,165.311
40553,165.381
40554,165.344
40555,165.383
40556,165.349
40557,165.331
40558,165.394
40559,165.303
40560,165.34
40561,165.386
40562,165.399
40563,165.426
40564,165.293
40565,165.462
40566,165.409
40567,165.359
40568,165.398
40569,165.365
40570,165.246
40571,165.361
40572,165.156
40573,165.211
40574,165.295
40575,165.244
40576,165.308
40577,165.361
40578,165.287
40579,165.22
40580,165.249
40581,165.317
40582,165.28
40583,165.339
40584,165.263
40585,165.251
40586,165.142
40587,165.246
40588,165.262
40589,165.356
40590,165.363
40591,165.273
40592,165.225
40593,165.334
40594,165.33
40595,165.49
40596,165.375
40597,165.384
40598,165.364
40599,165.232
40600,165.325
40601,165.321
40602,165.356
40603,165.293
40604,165.278
40605,165.313
40606,165.265
40607,165.152
40608,165.278
40609,165.29
40610,165.316
40611,165.408
40612,165.435
40613,165.34
40614,165.312
40615,165.373
40616,165.343
40617,165.406
40618,165.348
40619,165.33
40620,165.424
40621,165.366
40622,165.281
40623,165.394
40624,165.339
40625,165.266
40626,165.324
40627,165.153
40628,165.107
40629,165.256
40630,164.836
40631,165.138
40632,165.147
40633,164.991
40634,165.223
40635,165.159
40636,165.278
40637,164.964
40638,164.851
40639,164.833
40640,164.882
40641,164.857
40642,164.839
40643,164.827
40644,164.824
40645,164.815
40646,164.857
40647,164.897
40648,164.805
40649,164.854
40650,164.821
40651,164.827
40652,164.836
40653,164.815
40654,164.854
40655,164.842
40656,164.827
40657,164.79
40658,164.79
40659,164.839
40660,164.83
40661,164.854
40662,164.875
40663,164.821
40664,164.83
40665,164.793
40666,164.842
40667,164.796
40668,164.894
40669,164.827
40670,164.836
40671,164.839
40672,164.891
40673,164.851
40674,164.827
40675,164.851
40676,164.811
40677,164.83
40678,164.872
40679,164.897
40680,164.915
40681,164.924
40682,164.818
40683,164.86
40684,164.854
40685,164.851
40686,164.836
40687,164.836
40688,164.827
40689,164.875
40690,164.851
40691,164.872
40692,164.866
40693,164.784
40694,164.79
40695,164.842
40696,164.811
40697,164.79
40698,164.79
40699,164.857
40700,164.769
40701,164.818
40702,164.793
40703,164.915
40704,164.918
40705,164.845
40706,164.802
40707,164.824
40708,164.808
40709,164.885
40710,164.903
40711,164.879
40712,164.83
40713,164.83
40714,164.854
40715,164.833
40716,164.839
40717,164.9
40718,164.839
40719,164.888
40720,164.866
40721,164.885
40722,164.818
40723,164.888
40724,164.854
40725,164.815
40726,164.848
40727,164.79
40728,164.805
40729,164.799
40730,164.848
40731,164.888
40732,164.854
40733,164.836
40734,164.86
40735,164.815
40736,164.815
40737,164.79
40738,164.827
40739,164.842
40740,164.796
40741,164.796
40742,164.757
40743,164.869
40744,164.79
40745,164.808
40746,164.848
40747,164.854
40748,164.848
40749,164.833
40750,164.83
40751,164.766
40752,164.805
40753,164.787
40754,164.824
40755,164.799
40756,164.79
40757,164.866
40758,164.808
40759,164.845
40760,164.784
40761,164.866
40762,164.793
40763,164.811
40764,164.842
40765,164.857
40766,164.824
40767,164.836
40768,164.885
40769,164.857
40770,164.802
40771,164.76
40772,164.872
40773,164.882
40774,164.802
40775,164.851
40776,164.818
40777,164.772
40778,164.845
40779,164.802
40780,164.79
40781,164.854
40782,164.778
40783,164.824
40784,164.851
40785,164.842
40786,164.9
40787,164.903
40788,164.827
40789,164.885
40790,165.119
40791,165.278
40792,165.33
40793,165.168
40794,165.086
40795,165.077
40796,165.217
40797,165.153
40798,165.128
40799,165.22
40800,165.421
40801,165.372
40802,165.287
40803,165.302
40804,165.226
40805,165.092
40806,164.921
40807,164.863
40808,164.811
40809,164.875
40810,164.888
40811,165.116
40812,165.162
40813,165.177
40814,165.22
40815,165.342
40816,165.403
40817,165.348
40818,165.229
40819,165.168
40820,165.174
40821,165.354
40822,165.32
40823,165.26
40824,165.232
40825,165.22
40826,165.342
40827,165.354
40828,165.281
40829,165.241
40830,165.189
40831,165.211
40832,165.324
40833,165.333
40834,165.327
40835,165.333
40836,165.26
40837,165.357
40838,165.36
40839,165.317
40840,165.244
40841,165.275
40842,165.333
40843,165.247
40844,165.144
40845,165.226
40846,165.29
40847,165.314
40848,165.317
40849,165.302
40850,165.287
40851,165.26
40852,165.202
40853,165.302
40854,165.256
40855,165.157
40856,165.173
40857,165.189
40858,165.175
40859,165.192
40860,165.175
40861,165.244
40862,165.3
40863,165.384
40864,165.32
40865,165.256
40866,165.207
40867,165.289
40868,165.34
40869,165.353
40870,165.377
40871,165.396
40872,165.277
40873,165.248
40874,165.163
40875,165.229
40876,165.209
40877,165.187
40878,165.283
40879,165.302
40880,165.337
40881,165.254
40882,165.288
40883,165.328
40884,165.3
40885,165.285
40886,165.263
40887,165.283
40888,165.316
40889,165.233
40890,165.214
40891,165.269
40892,165.205
40893,165.178
40894,165.268
40895,165.277
40896,165.368
40897,165.337
40898,165.269
40899,165.251
40900,165.25
40901,165.256
40902,165.353
40903,165.296
40904,165.29
40905,165.31
40906,165.302
40907,165.323
40908,165.35
40909,165.281
40910,165.322
40911,165.327
40912,165.4
40913,165.35
40914,165.351
40915,165.278
40916,165.286
40917,165.272
40918,165.257
40919,165.23
40920,165.285
40921,165.24
40922,165.18
40923,165.154
40924,165.229
40925,165.291
40926,165.343
40927,165.418
40928,165.401
40929,165.318
40930,165.274
40931,165.286
40932,165.252
40933,165.376
40934,165.402
40935,165.371
40936,165.334
40937,165.385
40938,165.358
40939,165.386
40940,165.247
40941,165.262
40942,165.353
40943,165.377
40944,165.305
40945,165.34
40946,165.403
40947,165.225
40948,165.161
40949,165.191
40950,165.189
40951,165.21
40952,165.225
40953,165.206
40954,165.278
40955,165.255
40956,165.329
40957,165.35
40958,165.231
40959,165.331
40960,165.254
40961,165.324
40962,165.33
40963,165.213
40964,165.406
40965,165.234
40966,165.223
40967,165.413
40968,165.386
40969,165.238
40970,165.41
40971,165.366
40972,165.34
40973,165.309
40974,165.314
40975,165.291
40976,165.31
40977,165.314
40978,165.399
40979,165.385
40980,165.317
40981,165.384
40982,165.403
40983,165.095
40984,165.147
40985,165.116
40986,165.028
40987,165.388
40988,165.305
40989,165.448
40990,165.476
40991,165.388
40992,165.241
40993,165.348
40994,165.32
40995,165.357
40996,165.189
40997,165.476
40998,165.317
40999,165.226
41000,165.083
41001,165.397
41002,165.458
41003,165.281
41004,164.994
41005,165.037
41006,164.891
41007,164.848
41008,164.808
41009,164.848
41010,164.808
41011,164.824
41012,164.872
41013,164.866
41014,164.854
41015,164.869
41016,164.863
41017,164.842
41018,164.836
41019,164.866
41020,164.845
41021,164.86
41022,164.836
41023,164.839
41024,164.909
41025,164.854
41026,164.824
41027,164.854
41028,164.882
41029,164.821
41030,164.848
41031,164.863
41032,164.872
41033,164.815
41034,164.842
41035,164.827
41036,164.857
41037,164.802
41038,164.836
41039,164.821
41040,164.842
41041,164.86
41042,164.83
41043,164.815
41044,164.833
41045,164.808
41046,164.83
41047,164.854
41048,164.842
41049,164.845
41050,164.824
41051,164.842
41052,164.833
41053,164.866
41054,164.805
41055,164.824
41056,164.869
41057,164.824
41058,164.836
41059,164.839
41060,164.848
41061,164.781
41062,164.83
41063,164.863
41064,164.836
41065,164.836
41066,164.851
41067,164.882
41068,164.851
41069,164.857
41070,164.848
41071,164.824
41072,164.811
41073,164.796
41074,164.866
41075,164.86
41076,164.86
41077,164.793
41078,164.845
41079,164.842
41080,164.83
41081,164.808
41082,164.815
41083,164.851
41084,164.86
41085,164.769
41086,164.827
41087,164.772
41088,164.827
41089,164.833
41090,164.793
41091,164.827
41092,164.824
41093,164.811
41094,164.848
41095,164.799
41096,164.86
41097,164.845
41098,164.845
41099,164.811
41100,164.839
41101,164.799
41102,164.811
41103,164.842
41104,164.811
41105,164.778
41106,164.802
41107,164.83
41108,164.83
41109,164.808
41110,164.79
41111,164.79
41112,164.818
41113,164.818
41114,164.781
41115,164.784
41116,164.836
41117,164.845
41118,164.787
41119,164.821
41120,164.793
41121,164.86
41122,164.802
41123,164.845
41124,164.872
41125,164.854
41126,164.83
41127,164.854
41128,164.787
41129,164.821
41130,164.821
41131,164.811
41132,164.802
41133,164.802
41134,164.872
41135,164.796
41136,164.83
41137,164.836
41138,164.842
41139,164.836
41140,164.879
41141,164.83
41142,164.839
41143,164.851
41144,164.848
41145,164.818
41146,164.863
41147,164.793
41148,164.842
41149,164.86
41150,164.845
41151,164.805
41152,164.799
41153,164.839
41154,164.83
41155,164.882
41156,165.168
41157,165.33
41158,165.5
41159,165.363
41160,165.308
41161,165.296
41162,165.223
41163,165.302
41164,165.186
41165,165.01
41166,165.061
41167,165.01
41168,165.019
41169,165.125
41170,165.125
41171,165.046
41172,165.007
41173,164.958
41174,164.961
41175,165.034
41176,165.034
41177,165.067
41178,165.131
41179,165.052
41180,165.031
41181,165.232
41182,165.397
41183,165.418
41184,165.33
41185,165.226
41186,165.183
41187,165.26
41188,165.281
41189,165.296
41190,165.348
41191,165.342
41192,165.339
41193,165.327
41194,165.284
41195,165.287
41196,165.217
41197,165.266
41198,165.32
41199,165.33
41200,165.223
41201,165.287
41202,165.32
41203,165.287
41204,165.229
41205,165.241
