$ QGT_LMN_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LMN_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LOWER MONUMENTAL_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41141, 41921, 42296 that are  3, 4, 14 days long
"JDAY","POW","SPB1","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8.RSW","MISC"
1.000000,858.024,0,0,0,0,0,0,0,0,14.257
2.000000,1060.45,0,0,0,0,0,0,0,0,12.395
3.000000,735.272,0,0,0,0,0,0,0,0,4.006
4.000000,734.246,0,0,0,0,0,0,0,0,3.468
5.000000,923.138,0,0,0,0,0,0,0,0,3.456
6.000000,1108.785,0,0,0,0,0,0,0,0,6.474
7.000000,912.467,0,0,0,0,0,0,0,0,3.443
8.000000,578.211,0,0,0,0,0,0,0,0,1.844
9.000000,626.093,0,0,0,0,0,0,0,0,2.397
10.000000,845.164,0,0,0,0,0,0,0,0,2.678
11.000000,782.454,0,0,0,0,0,0,0,0,2.263
12.000000,838.238,0,0,0,0,0,0,0,0,2.79
13.000000,809.971,0,0,0,0,0,0,0,0,2.485
14.000000,891.704,0,0,0,0,0,0,0,0,3.008
15.000000,947.003,0,0,0,0,0,0,0,0,2.158
16.000000,1122.797,0,0,0,0,0,0,0,0,2.19
17.000000,1467.455,0,0,0,0,0,0,0,0,1.606
18.000000,2228.076,0,0,0,0,0,0,0,0,2.131
19.000000,2918.724,0,0,0,0,0,0,0,0,3.606
20.000000,2526.698,0,0,0,0,0,0,0,0,3.66
21.000000,1938.948,0,0,0,0,0,0,0,0,2.763
22.000000,1639.633,0,0,0,0,0,0,0,0,2.403
23.000000,1955.6,0,0,0,0,0,0,0,0,3.052
24.000000,1877.734,0,0,0,0,0,0,0,0,2.581
25.000000,1740.327,0,0,0,0,0,0,0,0,2.708
26.000000,1886.034,0,0,0,0,0,0,0,0,2.643
27.000000,1931.838,0,0,0,0,0,0,0,0,3.038
28.000000,1936.551,0,0,0,0,0,0,0,0,3.696
29.000000,1812.524,0,0,0,0,0,0,0,0,3.143
30.000000,1536.758,0,0,0,0,0,0,0,0,3.691
31.000000,1570.452,0,0,0,0,0,0,0,0,3.119
32.000000,1228.062,0,0,0,0,0,0,0,0,2.109
33.000000,1310.013,0,0,0,0,0,0,0,0,5.13
34.000000,1484.26,0,0,0,0,0,0,0,0,10.941
35.000000,1255.085,0,0,0,0,0,0,0,0,9.772
36.000000,1108.492,0,0,0,0,0,0,0,0,8.943
37.000000,1088.437,0,0,0,0,0,0,0,0,9.591
38.000000,1120.589,0,0,0,0,0,0,0,0,6.664
39.000000,938.024,0,0,0,0,0,0,0,0,6.585
40.000000,1281.013,0,0,0,0,0,0,0,0,8.142
41.000000,1404.122,0,0,0,0,0,0,0,0,9.69
42.000000,1239.141,0,0,0,0,0,0,0,0,8.465
43.000000,1348.723,0,0,0,0,0,0,0,0,12.552
44.000000,1242.708,0,0,0,0,0,0,0,0,8.677
45.000000,1044.52,0,0,0,0,0,0,0,0,6.429
46.000000,1046.402,0,0,0,0,0,0,0,0,5.366
47.000000,1433.487,0,0,0,0,0,0,0,0,8.721
48.000000,1767.756,0,0,0,0,0,0,0,0,9.096
49.000000,1599.458,0,0,0,0,0,0,0,0,8.784
50.000000,1551.28,0,0,0,0,0,0,0,0,8.221
51.000000,1599.129,0,0,0,0,0,0,0,0,10.256
52.000000,1488.292,0,0,0,0,0,0,0,0,8.547
