Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         734.00,   381381.48987,  5157501.65238, 11,   148.020
  3,  1,        2285.50,   379992.24919,  5156812.10366, 11,   149.020
  4,  1,        3886.00,   378490.99529,  5156515.73907, 11,   148.020
  5,  1,        5365.00,   377078.23154,  5156314.86373, 11,   148.020
  6,  1,        6778.50,   376092.91045,  5155402.80826, 11,   148.020
  7,  1,        8320.00,   374919.08012,  5154735.12646, 11,   148.020
  8,  1,       10022.00,   373221.44814,  5154617.17671, 11,   148.020
  9,  1,       11693.50,   371567.41385,  5154690.30406, 11,   148.020
 10,  1,       13211.00,   370335.31382,  5155404.50655, 11,   148.020
 11,  1,       14791.50,   369251.32907,  5156548.39008, 11,   143.020
 12,  1,       16587.00,   367987.92508,  5157821.62240, 11,   142.020
 13,  1,       18414.50,   366664.42718,  5159074.06698, 11,   142.020
 14,  1,       20158.50,   365121.13303,  5159554.62962, 11,   142.020
 15,  1,       21902.00,   363429.30077,  5159188.64097, 11,   129.020
 16,  1,       23834.00,   361846.66626,  5159633.85420, 11,   129.020
 17,  1,       25938.50,   360043.84014,  5160398.45254, 11,   129.020
 18,  1,       27918.50,   358144.50590,  5160053.81434, 11,   129.020
 19,  1,       29622.00,   356595.15999,  5159345.83752, 11,   129.020
 20,  1,       31358.50,   355226.83457,  5158325.03033, 11,   129.020
 21,  1,       33526.50,   353372.53369,  5157853.25371, 11,   129.020
 22,  1,       35873.00,   351167.72738,  5158581.32280, 11,   129.020
 23,  1,       37993.00,   349276.83852,  5159539.93602, 11,   129.020
 24,  1,       39781.50,   347885.80955,  5159370.52695, 11,   129.020
 25,  1,       41320.50,   347022.36289,  5158104.94345, 11,   129.020
 26,  1,       43043.50,   345708.20378,  5157240.57809, 11,   129.020
 27,  1,       44736.50,   344116.91313,  5156702.09464, 11,   129.020
 28,  1,       45791.50,   343213.32324,  5156165.86570, 11,   129.020
