$ CLEARWATER US LEWISTON LEVEEFLOW.npt based on $//CLEARWATER US LEWISTON LEVEE/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,146.871
2.000000,120.802
3.000000,104.567
4.000000,114.505
5.000000,139.179
6.000000,149.524
7.000000,146.765
8.000000,147.166
9.000000,154.356
10.000000,157.065
11.000000,145.377
12.000000,129.765
13.000000,142.285
14.000000,204.998
15.000000,339.212
16.000000,474.396
17.000000,816.948
18.000000,1507.821
19.000000,1444.889
20.000000,861.891
21.000000,627.092
22.000000,657.322
23.000000,847.974
24.000000,807.126
25.000000,726.167
26.000000,745.112
27.000000,750.508
28.000000,696.326
29.000000,638.474
30.000000,591.989
31.000000,584.387
32.000000,557.458
33.000000,500.58
34.000000,451.486
35.000000,447.393
36.000000,489.342
37.000000,541.026
38.000000,535.612
39.000000,508.21
40.000000,518.268
41.000000,497.91
42.000000,483.154
43.000000,479.506
44.000000,472.578
45.000000,484.027
46.000000,505.398
47.000000,515.548
48.000000,587.324
49.000000,603.337
50.000000,577.506
51.000000,530.358
52.000000,480.066
53.000000,413.141
54.000000,381.075
55.000000,382.572
56.000000,368.026
57.000000,343.919
58.000000,318.114
59.000000,314.598
60.000000,328.102
61.000000,352.704
62.000000,426.348
63.000000,498.641
64.000000,547.427
65.000000,562.564
66.000000,605.502
67.000000,604.311
68.000000,585.807
69.000000,565.207
70.000000,627.06
71.000000,735.909
72.000000,695.175
73.000000,677.148
74.000000,819.998
75.000000,826.926
76.000000,859.709
77.000000,846.205
78.000000,769.745
79.000000,750.192
80.000000,741.234
81.000000,733.776
82.000000,791.312
83.000000,767.227
84.000000,748.066
85.000000,770.919
86.000000,766.856
87.000000,748.874
88.000000,723.789
89.000000,698.583
90.000000,879.184
91.000000,1328.938
92.000000,1850.948
93.000000,2010.06
94.000000,1946.139
95.000000,1427.157
96.000000,1653.214
97.000000,1593.472
98.000000,1410.124
99.000000,1294.093
100.000000,1228.826
101.000000,1201.823
102.000000,1177.673
103.000000,1177.289
104.000000,1112.051
105.000000,1075.074
106.000000,945.338
107.000000,841.299
108.000000,776.823
109.000000,717.93
110.000000,629.002
111.000000,587.644
112.000000,584.541
113.000000,699.235
114.000000,716.414
115.000000,692.87
116.000000,733.717
117.000000,766.762
118.000000,757.705
119.000000,769.804
120.000000,781.913
121.000000,716.327
122.000000,674.365
123.000000,647.89
124.000000,678.947
125.000000,648.714
126.000000,619.608
127.000000,654.964
128.000000,744.576
129.000000,846.365
130.000000,931.837
131.000000,906.359
132.000000,825.183
133.000000,915.612
134.000000,1060.978
135.000000,1308.062
136.000000,1848.818
137.000000,2198.186
138.000000,1793.18
139.000000,1398.206
140.000000,1208.823
141.000000,1165.393
142.000000,1219.289
143.000000,1411.19
144.000000,1423.449
145.000000,1520.485
146.000000,1681.541
147.000000,1833.234
148.000000,1826.213
149.000000,1526.666
150.000000,1293.887
151.000000,1127.649
152.000000,1074.074
153.000000,1164.948
154.000000,1347.65
155.000000,1644.668
156.000000,1497.719
157.000000,1456.41
158.000000,1655.478
159.000000,2035.523
160.000000,2213.617
161.000000,1982.715
162.000000,1634.909
163.000000,1530.415
164.000000,1558.18
165.000000,1534.155
166.000000,1506.05
167.000000,1573.368
168.000000,1461.069
169.000000,1320.554
170.000000,1186.818
171.000000,1241.269
172.000000,1286.215
173.000000,1313.878
174.000000,1556.922
175.000000,1796.857
176.000000,1809.643
177.000000,1535.134
178.000000,1380.494
179.000000,1307.285
180.000000,1318.495
181.000000,1478.426
182.000000,1547.927
183.000000,1354.418
184.000000,1222.095
185.000000,1213.889
186.000000,1258.378
187.000000,1271.234
188.000000,1254.002
189.000000,1234.913
190.000000,1185.23
191.000000,1088.971
192.000000,978.469
193.000000,900.853
194.000000,874.249
195.000000,799.123
196.000000,862.261
197.000000,862.118
198.000000,794.223
199.000000,776.36
200.000000,761.952
201.000000,732.866
202.000000,740.268
203.000000,706.414
204.000000,664.085
205.000000,654.165
206.000000,615.738
207.000000,601.165
208.000000,593.522
209.000000,573.954
210.000000,564.302
211.000000,556.338
212.000000,536.755
213.000000,529.255
214.000000,532.496
215.000000,525.899
216.000000,515.948
217.000000,512.659
218.000000,498.627
219.000000,470.415
220.000000,464.617
221.000000,458.462
222.000000,473.345
223.000000,479.582
224.000000,473.944
225.000000,461.154
226.000000,457.722
227.000000,459.271
228.000000,457.748
229.000000,452.318
230.000000,446.199
231.000000,446.95
232.000000,449.558
233.000000,448.684
234.000000,453.483
235.000000,443.346
236.000000,443.906
237.000000,445.463
238.000000,446.494
239.000000,450.251
240.000000,450.938
241.000000,441.091
242.000000,433.069
243.000000,431.817
244.000000,430.021
245.000000,431.962
246.000000,437.01
247.000000,444.875
248.000000,439.186
249.000000,435.086
250.000000,382.199
251.000000,362.179
252.000000,352.614
253.000000,346.589
254.000000,342.15
255.000000,316.043
256.000000,266.206
257.000000,282.43
258.000000,275.454
259.000000,229.93
260.000000,205.2
261.000000,189.916
262.000000,189.625
263.000000,166.935
264.000000,132.731
265.000000,119.023
266.000000,107.873
267.000000,99.35
268.000000,98.045
269.000000,90.732
270.000000,94.793
271.000000,85.298
272.000000,85.435
273.000000,86.849
274.000000,84.202
275.000000,81.452
276.000000,85.713
277.000000,87.489
278.000000,87.879
279.000000,88.263
280.000000,98.491
281.000000,121.458
282.000000,132.797
283.000000,121.703
284.000000,100.412
285.000000,112.689
286.000000,158.89
287.000000,149.882
288.000000,111.676
289.000000,108.71
290.000000,118.785
291.000000,127.22
292.000000,134.76
293.000000,130.199
294.000000,122.618
295.000000,122.061
296.000000,117.939
297.000000,117.184
298.000000,123.128
299.000000,133.353
300.000000,131.557
301.000000,120.21
302.000000,112.799
303.000000,108.849
304.000000,112.253
305.000000,117.437
306.000000,135.006
307.000000,135.329
308.000000,111.973
309.000000,106.335
310.000000,117.689
311.000000,113.681
312.000000,104.888
313.000000,101.922
314.000000,102.856
315.000000,101.344
316.000000,95.755
317.000000,98.069
318.000000,109.919
319.000000,118.239
320.000000,116.137
321.000000,93.744
322.000000,91.716
323.000000,103.016
324.000000,108.81
325.000000,103.372
326.000000,99.917
327.000000,103.655
328.000000,108.87
329.000000,112.502
330.000000,124.483
331.000000,125.121
332.000000,104.082
333.000000,101.027
334.000000,107.778
335.000000,109.185
336.000000,109.873
337.000000,105.134
338.000000,100.486
339.000000,94.575
340.000000,92.138
341.000000,85.969
342.000000,81.54
343.000000,90.578
344.000000,103.322
345.000000,92.892
346.000000,79.829
347.000000,79.237
348.000000,91.725
349.000000,98.787
350.000000,98.482
351.000000,100.185
352.000000,96.052
353.000000,92.825
354.000000,94.854
355.000000,93.467
356.000000,87.344
357.000000,93.122
358.000000,78.303
359.000000,68.355
360.000000,75.408
361.000000,91.264
362.000000,105.586
363.000000,119.569
364.000000,188.843
365.000000,258.382
366.000000,233.214
367.000000,175.321
368.000000,130.873
369.000000,125.724
370.000000,129.685
371.000000,125.445
372.000000,127.087
373.000000,123.37
374.000000,118.817
375.000000,112.431
376.000000,110.843
377.000000,114.155
378.000000,98.478
379.000000,80.714
380.000000,79.98
381.000000,100.783
382.000000,117.051
383.000000,108.823
384.000000,108.815
385.000000,105.082
386.000000,114.109
387.000000,142.606
388.000000,167.887
389.000000,164.72
390.000000,145.324
391.000000,134.541
392.000000,143.789
393.000000,159.752
394.000000,149.084
395.000000,135.672
396.000000,145.088
397.000000,165.19
398.000000,157.03
399.000000,149.509
400.000000,141.141
401.000000,131.857
402.000000,129.496
403.000000,123.259
404.000000,121.319
405.000000,121.921
406.000000,119.17
407.000000,120.808
408.000000,137.873
409.000000,145.979
410.000000,148.938
411.000000,145.06
412.000000,142.017
413.000000,133.124
414.000000,128.479
415.000000,137.282
416.000000,143.239
417.000000,135.762
418.000000,148.325
419.000000,441.382
420.000000,798.452
421.000000,521.478
422.000000,356.585
423.000000,282.389
424.000000,229.85
425.000000,210.645
426.000000,241.236
427.000000,293.53
428.000000,301.507
429.000000,289.946
430.000000,291.86
431.000000,306.305
432.000000,327.51
433.000000,317.245
434.000000,299.92
435.000000,297.481
436.000000,306.987
437.000000,274.149
438.000000,269.437
439.000000,326.437
440.000000,422.37
441.000000,455.594
442.000000,847.463
443.000000,977.361
444.000000,708.28
445.000000,592.226
446.000000,570.179
447.000000,618.624
448.000000,672.534
449.000000,689.026
450.000000,672.472
451.000000,679.6
452.000000,1078.989
453.000000,1065.248
454.000000,909.054
455.000000,920.911
456.000000,1064.814
457.000000,1409.221
458.000000,1384.527
459.000000,1151.546
460.000000,964.279
461.000000,920.866
462.000000,912.05
463.000000,897.208
464.000000,926.576
465.000000,918.958
466.000000,910.612
467.000000,939.877
468.000000,1002.259
469.000000,1162.653
470.000000,1288.163
471.000000,1184.582
472.000000,1112.158
473.000000,1072.346
474.000000,1090.57
475.000000,1129.89
476.000000,1180.992
477.000000,1204.574
478.000000,1326.067
479.000000,1440.335
480.000000,1583.875
481.000000,1881.884
482.000000,2050.677
483.000000,1943.154
484.000000,2115.335
485.000000,1670.658
486.000000,1326.031
487.000000,1272.251
488.000000,1378.171
489.000000,1225.496
490.000000,1116.232
491.000000,1102.158
492.000000,1021.678
493.000000,837.606
494.000000,689.034
495.000000,722.201
496.000000,826.408
497.000000,937.901
498.000000,970.944
499.000000,884.466
500.000000,836.622
501.000000,848.004
502.000000,1023.442
503.000000,1287.894
504.000000,1444.157
505.000000,1314.547
506.000000,1128.867
507.000000,982.489
508.000000,921.464
509.000000,1219.384
510.000000,1492.746
511.000000,1217.938
512.000000,1011.693
513.000000,827.467
514.000000,733.933
515.000000,713.888
516.000000,700.339
517.000000,698.439
518.000000,724.149
519.000000,772.837
520.000000,943.028
521.000000,1092.826
522.000000,978.749
523.000000,1118.48
524.000000,1404.725
525.000000,1220.895
526.000000,1033.963
527.000000,1023.275
528.000000,1099.921
529.000000,1067.646
