$ LOWER GRANITE-POOLELEV.npt based on $//LOWER GRANITE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40544,225.621
40545,225.385
40546,225.454
40547,225.531
40548,225.294
40549,225.211
40550,225.435
40551,225.504
40552,225.597
40553,225.554
40554,225.654
40555,225.65
40556,225.623
40557,225.462
40558,225.358
40559,225.453
40560,225.458
40561,225.528
40562,225.247
40563,225.007
40564,225.286
40565,225.322
40566,225.204
40567,225.286
40568,225.316
40569,225.177
40570,225.151
40571,225.153
40572,224.94
40573,225.024
40574,225.089
40575,225.212
40576,225.243
40577,225.081
40578,225.003
40579,225.065
40580,225.281
40581,225.316
40582,225.525
40583,225.49
40584,225.383
40585,225.548
40586,225.316
40587,225.206
40588,225.225
40589,225.445
40590,225.373
40591,225.168
40592,225.209
40593,225.257
40594,225.289
40595,225.334
40596,225.301
40597,225.331
40598,225.3
40599,225.241
40600,225.381
40601,225.323
40602,225.227
40603,225.401
40604,225.505
40605,225.249
40606,225.145
40607,225.249
40608,225.02
40609,225.126
40610,225.219
40611,225.214
40612,225.088
40613,225.153
40614,224.928
40615,224.939
40616,224.849
40617,225.052
40618,225.336
40619,225.488
40620,225.451
40621,225.244
40622,225.195
40623,224.976
40624,224.842
40625,224.607
40626,224.747
40627,225.223
40628,225.232
40629,225.189
40630,225.052
40631,224.976
40632,225.009
40633,225.037
40634,224.991
40635,224.747
40636,224.665
40637,224.656
40638,224.555
40639,224.577
40640,224.601
40641,224.537
40642,224.543
40643,224.619
40644,224.854
40645,224.878
40646,224.942
40647,224.909
40648,224.875
40649,224.933
40650,224.891
40651,224.933
40652,224.952
40653,224.909
40654,224.915
40655,224.878
40656,224.888
40657,224.903
40658,224.915
40659,224.869
40660,224.918
40661,224.939
40662,224.888
40663,224.875
40664,224.927
40665,224.906
40666,224.885
40667,224.878
40668,224.936
40669,224.903
40670,224.888
40671,224.924
40672,224.903
40673,224.964
40674,224.875
40675,224.888
40676,224.869
40677,224.885
40678,224.824
40679,224.665
40680,224.613
40681,224.604
40682,224.543
40683,224.625
40684,224.546
40685,224.61
40686,224.583
40687,224.598
40688,224.555
40689,224.565
40690,224.558
40691,224.583
40692,224.568
40693,224.561
40694,224.58
40695,224.561
40696,224.601
40697,224.592
40698,224.601
40699,224.656
40700,224.54
40701,224.653
40702,224.601
40703,224.601
40704,224.546
40705,224.598
40706,224.595
40707,224.555
40708,224.595
40709,224.589
40710,224.561
40711,224.577
40712,224.568
40713,224.589
40714,224.586
40715,224.571
40716,224.622
40717,224.601
40718,224.625
40719,224.607
40720,224.552
40721,224.571
40722,224.647
40723,224.601
40724,224.534
40725,224.546
40726,224.592
40727,224.592
40728,224.656
40729,224.592
40730,224.583
40731,224.598
40732,224.589
40733,224.595
40734,224.622
40735,224.793
40736,224.854
40737,224.869
40738,224.949
40739,224.949
40740,224.888
40741,224.921
40742,224.924
40743,224.939
40744,224.927
40745,224.93
40746,225.049
40747,225.077
40748,225.037
40749,225
40750,225.019
40751,225.013
40752,225.055
40753,224.976
40754,225.061
40755,225.009
40756,225.098
40757,225.086
40758,225.095
40759,225.058
40760,225.116
40761,225.052
40762,225.113
40763,225.198
40764,225.22
40765,225.241
40766,225.25
40767,225.241
40768,225.22
40769,225.275
40770,225.253
40771,225.198
40772,225.226
40773,225.159
40774,225.195
40775,225.223
40776,225.229
40777,225.223
40778,225.189
40779,225.226
40780,225.25
40781,225.244
40782,225.202
40783,225.195
40784,225.211
40785,225.171
40786,225.232
40787,225.238
40788,225.253
40789,225.272
40790,225.357
40791,225.235
40792,225.259
40793,225.125
40794,225.153
40795,225.223
40796,225.256
40797,225.262
40798,225.18
40799,225.119
40800,225.235
40801,225.281
40802,225.186
40803,225.18
40804,225.183
40805,225.232
40806,225.183
40807,225.214
40808,225.217
40809,225.226
40810,225.189
40811,225.244
40812,225.354
40813,225.522
40814,225.445
40815,225.464
40816,225.586
40817,225.528
40818,225.442
40819,225.756
40820,225.82
40821,225.778
40822,225.689
40823,225.659
40824,225.677
40825,225.576
40826,225.604
40827,225.744
40828,225.61
40829,225.573
40830,225.704
40831,225.717
40832,225.732
40833,225.738
40834,225.662
40835,225.387
40836,225.354
40837,225.561
40838,225.647
40839,225.558
40840,225.479
40841,225.549
40842,225.622
40843,225.515
40844,225.409
40845,225.32
40846,225.409
40847,225.564
40848,225.54
40849,225.567
40850,225.54
40851,225.519
40852,225.503
40853,225.61
40854,225.601
40855,225.37
40856,225.585
40857,225.609
40858,225.4
40859,225.367
40860,225.314
40861,225.451
40862,225.723
40863,225.717
40864,225.486
40865,225.341
40866,225.482
40867,225.611
40868,225.578
40869,225.483
40870,225.356
40871,225.328
40872,225.277
40873,225.266
40874,225.493
40875,225.661
40876,225.612
40877,225.481
40878,225.473
40879,225.572
40880,225.518
40881,225.515
40882,225.615
40883,225.584
40884,225.498
40885,225.298
40886,225.24
40887,225.337
40888,225.368
40889,225.492
40890,225.559
40891,225.517
40892,225.571
40893,225.439
40894,225.483
40895,225.698
40896,225.693
40897,225.552
40898,225.631
40899,225.614
40900,225.695
40901,225.599
40902,225.647
40903,225.647
40904,225.611
40905,225.601
40906,225.63
40907,225.643
40908,225.568
40909,225.436
40910,225.454
40911,225.475
40912,225.578
40913,225.591
40914,225.513
40915,225.515
40916,225.367
40917,225.565
40918,225.614
40919,225.52
40920,225.483
40921,225.432
40922,225.474
40923,225.455
40924,225.551
40925,225.649
40926,225.641
40927,225.746
40928,225.633
40929,225.491
40930,225.52
40931,225.551
40932,225.57
40933,225.597
40934,225.7
40935,225.576
40936,225.57
40937,225.617
40938,225.505
40939,225.638
40940,225.556
40941,225.613
40942,225.587
40943,225.594
40944,225.571
40945,225.553
40946,225.61
40947,225.555
40948,225.555
40949,225.616
40950,225.502
40951,225.445
40952,225.524
40953,225.542
40954,225.595
40955,225.551
40956,225.549
40957,225.423
40958,225.459
40959,225.569
40960,225.629
40961,225.532
40962,225.551
40963,225.564
40964,225.611
40965,225.353
40966,225.514
40967,225.603
40968,225.61
40969,225.747
40970,225.441
40971,225.453
40972,225.533
40973,225.601
40974,225.569
40975,225.337
40976,225.411
40977,225.362
40978,225.445
40979,225.659
40980,225.493
40981,225.336
40982,225.427
40983,225.342
40984,225.299
40985,225.272
40986,225.198
40987,225.293
40988,225.552
40989,225.57
40990,225.573
40991,225.509
40992,225.403
40993,225.348
40994,225.43
40995,225.491
40996,225.515
40997,225.421
40998,225.387
40999,225.33
41000,225.357
41001,224.967
41002,224.668
41003,224.549
41004,224.613
41005,224.973
41006,224.936
41007,224.894
41008,224.863
41009,224.857
41010,224.863
41011,224.912
41012,224.912
41013,224.897
41014,224.851
41015,224.915
41016,224.909
41017,224.93
41018,224.9
41019,224.866
41020,224.906
41021,224.869
41022,224.79
41023,224.802
41024,224.686
41025,224.625
41026,224.583
41027,224.543
41028,224.574
41029,224.558
41030,224.58
41031,224.586
41032,224.65
41033,224.574
41034,224.619
41035,224.875
41036,224.903
41037,224.875
41038,224.897
41039,224.891
41040,224.857
41041,224.97
41042,224.945
41043,224.897
41044,224.851
41045,224.909
41046,224.909
41047,224.863
41048,224.726
41049,224.555
41050,224.665
41051,224.866
41052,224.915
41053,224.924
41054,224.68
41055,224.653
41056,224.888
41057,224.842
41058,224.918
41059,225.006
41060,224.952
41061,224.894
41062,224.976
41063,224.979
41064,224.955
41065,224.881
41066,224.903
41067,224.976
41068,224.632
41069,224.766
41070,224.915
41071,224.936
41072,224.945
41073,224.878
41074,224.988
41075,224.958
41076,224.924
41077,224.891
41078,224.939
41079,224.881
41080,224.991
41081,224.912
41082,224.924
41083,224.897
41084,224.894
41085,224.909
41086,224.903
41087,224.909
41088,224.894
41089,224.888
41090,224.955
41091,225.028
41092,225.043
41093,225.043
41094,225.034
41095,225.086
41096,225.037
41097,224.958
41098,225.104
41099,225.086
41100,225.11
41101,225.138
41102,225.147
41103,225.095
41104,225.08
41105,225.064
41106,225.104
41107,225.284
41108,225.22
41109,225.202
41110,225.202
41111,225.177
41112,225.198
41113,225.189
41114,225.138
41115,225.183
41116,225.171
41117,225.235
41118,225.241
41119,225.202
41120,225.189
41121,225.177
41122,225.241
41123,225.217
41124,225.211
41125,225.247
41126,225.183
41127,225.183
41128,225.153
41129,225.22
41130,225.198
41131,225.125
41132,225.241
41133,225.25
41134,225.177
41135,225.125
41136,225.223
41137,225.229
41138,225.229
41139,225.232
41140,225.256
41141,225.159
41142,225.192
41143,225.256
41144,225.256
41145,225.165
41146,225.162
41147,225.171
41148,225.208
41149,225.198
41150,225.177
41151,225.217
41152,225.317
41153,225.214
41154,225.141
41155,225.253
41156,225.244
41157,225.275
41158,225.192
41159,225.229
41160,225.177
41161,225.165
41162,225.232
41163,225.202
41164,225.198
41165,225.211
41166,225.186
41167,225.22
41168,225.259
41169,225.214
41170,225.192
41171,225.244
41172,225.269
41173,225.256
41174,225.256
41175,225.189
41176,225.177
41177,225.217
41178,225.174
41179,225.412
41180,225.552
41181,225.729
41182,225.814
41183,225.793
41184,225.729
41185,225.451
41186,225.531
41187,225.479
41188,225.272
41189,225.235
41190,225.348
41191,225.506
41192,225.592
41193,225.412
41194,225.238
41195,225.281
41196,225.378
41197,225.534
41198,225.65
41199,225.662
41200,225.671
41201,225.61
41202,225.43
41203,225.357
41204,225.43
41205,225.616
41206,225.622
