$ Bathymetry:  Lower Granite.  Original provided by Mike Schneider - unknown/undocumented source.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seg #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,,,,,,,,
DLX,0,1832,1995,973.5,973.5,1450,1361,1447,1193,819,636,554,575,798,1016,971,945,1073,1212,1412,1751,1692,1375,1405,1731,2056,2633,1468.5,1468.5,1408.5,1408.5,3186,3311,2972,3045,2844,2041,1709,1529,1312,1149,538,200,0,0,819,860,701,530,477,272,0,,,,,,,,
ELWS,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,225.621,,,,,,,,
PHIO,0,3.2,1.8,2,2.95,3.2,3.85,3.54,3.37,3.35,3.42,3.07,2.98,2.48,1.67,1.32,0.91,0.98,1.93,1.83,1.97,1.51,1.08,1.3,2.42,3.42,2.4,2.4,3.42,3.42,2.73,2.82,2.51,2.2,1.9,2.51,2.39,3.08,3.09,2.07,1.7,1.99,1.99,0,0,1.2,1.95,1.93,2.12,1.67,1.63,0,,,,,,,,
FRICT,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),MULT
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,784789857.1,636240.439,231.92,760.892,
1,0,246.84,246.84,318.23,318.23,336.38,302.5,306.13,392.04,387.2,255.31,283.14,333.96,598.95,669.13,469.48,482.79,505.78,652.19,480.37,613.47,482.79,531.19,779.24,809.49,588.06,591.69,556.6,556.6,509.41,509.41,469.48,623.15,790.13,692.12,686.07,624.36,938.96,839.74,857.89,1000.67,1072.06,1072.06,0,0,323,323,323,252,212,368,0,,2,37537275.82,784789857.1,636240.439,230.92,757.612,1
1,0,241.903,241.903,311.865,311.865,329.652,296.45,300.007,384.199,379.456,250.204,277.477,327.281,586.971,655.747,460.09,473.134,495.664,639.146,470.763,601.201,473.134,520.566,763.655,793.3,576.299,579.856,545.468,545.468,499.222,499.222,460.09,610.687,774.327,678.278,672.349,611.873,920.181,822.945,840.732,980.657,1050.619,1050.619,0,0,316.54,316.54,316.54,246.96,207.76,360.64,0,,3,36786530.3,747252581.3,605808.429,229.92,754.331,1
1,0,241.903,241.903,311.865,311.865,329.652,296.45,300.007,384.199,379.456,250.204,277.477,327.281,586.971,655.747,460.09,473.134,495.664,639.146,470.763,601.201,473.134,520.566,763.655,793.3,576.299,579.856,545.468,545.468,499.222,499.222,460.09,610.687,774.327,678.278,672.349,611.873,920.181,822.945,840.732,980.657,1050.619,1050.619,0,0,316.54,316.54,316.54,246.96,207.76,360.64,0,,4,36786530.3,710466051,575985.059,228.92,751.05,0.98
1,0,241.656,241.656,311.547,311.547,329.316,296.148,299.701,383.807,379.069,249.948,277.194,326.947,586.372,655.078,459.621,472.651,495.159,638.494,470.282,600.587,472.651,520.035,762.876,792.491,575.711,579.265,544.911,544.911,498.712,498.712,459.621,610.064,773.537,677.585,671.663,611.248,919.242,822.105,839.874,979.656,1049.547,1049.547,0,0,316.217,316.217,316.217,246.708,207.548,360.272,0,,5,36748993.03,673679520.7,546161.689,227.92,747.769,0.979
