$LWG.Elev-Tailwater.Ave.~1Day.1Day.CBT-REV [m NAVD88 => ft],,
CY2011-2015,,12/31/2010
JDAY,TWElev,
40544,639.8786089,
40545,640.0426509,
40546,640.2066929,
40547,640.1738845,
40548,639.4849081,
40549,638.9927821,
40550,639.5505249,
40551,640.1410761,
40552,640.2723097,
40553,640.2066929,
40554,640.3379265,
40555,640.1082677,
40556,639.9770341,
40557,640.0098425,
40558,640.1738845,
40559,640.4035433,
40560,640.6332021,
40561,641.1909449,
40562,641.0269029,
40563,640.3707349,
40564,640.4363517,
40565,640.4363517,
40566,640.6003937,
40567,640.6332021,
40568,640.5347769,
40569,640.2395013,
40570,639.6817585,
40571,639.3536745,
40572,639.0583989,
40573,639.1240157,
40574,639.7473753,
40575,640.3051181,
40576,639.8458005,
40577,639.7473753,
40578,639.8129921,
40579,639.8786089,
40580,639.9114173,
40581,640.0098425,
40582,640.1082677,
40583,639.7801837,
40584,639.3864829,
40585,639.1896325,
40586,639.4849081,
40587,639.7801837,
40588,640.2723097,
40589,640.2395013,
40590,640.1082677,
40591,639.9770341,
40592,640.3707349,
40593,640.2066929,
40594,640.1082677,
40595,640.2066929,
40596,640.2066929,
40597,640.2066929,
40598,639.8786089,
40599,639.9770341,
40600,639.9770341,
40601,639.8129921,
40602,640.0754593,
40603,640.6660105,
40604,640.3379265,
40605,640.0754593,
40606,640.1738845,
40607,640.0426509,
40608,639.7801837,
40609,640.1082677,
40610,640.3379265,
40611,640.2395013,
40612,640.1082677,
40613,640.4035433,
40614,639.7145669,
40615,639.3536745,
40616,639.5177165,
40617,640.3707349,
40618,639.9770341,
40619,640.4035433,
40620,640.2395013,
40621,639.5177165,
40622,639.2552493,
40623,639.2224409,
40624,638.7959318,
40625,638.6646982,
40626,639.0583989,
40627,639.2552493,
40628,638.9599738,
40629,638.8615486,
40630,638.9927821,
40631,638.9927821,
40632,638.9271654,
40633,638.9271654,
40634,639.2552493,
40635,639.3864829,
40636,639.6161417,
40637,639.4849081,
40638,639.1896325,
40639,639.5833333,
40640,639.4849081,
40641,639.1896325,
40642,639.1240157,
40643,639.0255905,
40644,638.9927821,
40645,639.0583989,
40646,638.9599738,
40647,638.7959318,
40648,638.8615486,
40649,638.5334646,
40650,638.5334646,
40651,638.7631234,
40652,638.8287402,
40653,638.9271654,
40654,638.9271654,
40655,639.0255905,
40656,638.894357,
40657,638.8287402,
40658,638.8615486,
40659,638.7631234,
40660,638.7959318,
40661,638.8287402,
40662,638.730315,
40663,638.730315,
40664,638.6975066,
40665,638.5006562,
40666,638.5006562,
40667,638.6975066,
40668,638.6318898,
40669,638.6975066,
40670,638.6318898,
40671,638.6975066,
40672,638.8615486,
40673,638.894357,
40674,638.9927821,
40675,638.8287402,
40676,639.0255905,
40677,639.3536745,
40678,639.7473753,
40679,640.6660105,
40680,641.5518373,
40681,640.9940945,
40682,640.6003937,
40683,640.2723097,
40684,640.2066929,
40685,640.4363517,
40686,640.6003937,
40687,640.7644357,
40688,640.9612861,
40689,641.2565617,
40690,641.5190289,
40691,641.4862205,
40692,640.8300525,
40693,640.6003937,
40694,640.3379265,
40695,640.2066929,
40696,640.2066929,
40697,640.2395013,
40698,640.5347769,
40699,640.2066929,
40700,640.2723097,
40701,640.3051181,
40702,641.1253281,
40703,641.8143045,
40704,641.5846457,
40705,641.3221785,
40706,640.8628609,
40707,640.7644357,
40708,641.0269029,
40709,641.1253281,
40710,641.1253281,
40711,640.9284777,
40712,640.6003937,
40713,640.2395013,
40714,640.2723097,
40715,640.4363517,
40716,640.3051181,
40717,640.5019685,
40718,640.9284777,
40719,641.1253281,
40720,640.8628609,
40721,640.5675853,
40722,640.4691601,
40723,640.3707349,
40724,640.5019685,
40725,640.6003937,
40726,640.3707349,
40727,640.2066929,
40728,640.0754593,
40729,639.9770341,
40730,639.8458005,
40731,639.7145669,
40732,639.6161417,
40733,639.4192913,
40734,639.2552493,
40735,639.0583989,
40736,638.7959318,
40737,638.8287402,
40738,638.894357,
40739,638.6318898,
40740,638.6975066,
40741,638.6646982,
40742,638.5990814,
40743,638.5334646,
40744,638.4678478,
40745,638.3694226,
40746,638.4350394,
40747,638.3038058,
40748,638.3038058,
40749,638.238189,
40750,638.2053806,
40751,638.2053806,
40752,638.0413386,
40753,638.0085302,
40754,637.910105,
40755,637.8116798,
40756,638.0085302,
40757,637.9429134,
40758,637.9757218,
40759,637.9757218,
40760,637.8772966,
40761,637.8116798,
40762,637.8772966,
40763,637.746063,
40764,637.6804462,
40765,637.7788714,
40766,637.746063,
40767,637.6804462,
40768,637.746063,
40769,637.8116798,
40770,637.8116798,
40771,637.8116798,
40772,637.6476378,
40773,637.746063,
40774,637.7132546,
40775,637.6804462,
40776,637.417979,
40777,637.4835958,
