$ QGT_LWG_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LWG_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LOWER GRANITE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41932, 41941, 41958, 42194, 42296 that are  3, 4, 2, 3, 21 days long
"JDAY","POW","SPB1.RSW","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","MISC"
1.000000,877.919,0,0,0,0,0,0,0,0,10.127
2.000000,921.853,0,0,0,0,0,0,0,0,10.307
3.000000,754.18,0,0,0,0,0,0,0,0,6.914
4.000000,751.948,0,0,0,0,0,0,0,0,8.123
5.000000,887.052,0,0,0,0,0,0,0,0,8.791
6.000000,882.626,0,0,0,0,0,0,0,0,10.803
7.000000,711.657,0,0,0,0,0,0,0,0,8.317
8.000000,776.647,0,0,0,0,0,0,0,0,9.084
9.000000,693.033,0,0,0,0,0,0,0,0,8.22
10.000000,765.277,0,0,0,0,0,0,0,0,0.945
11.000000,744.405,0,0,0,0,0,0,0,0,0
12.000000,838.624,0,0,0,0,0,0,0,0,8.247
13.000000,761.975,0,0,0,0,0,0,0,0,1.73
14.000000,879.732,0,0,0,0,0,0,0,0,0
15.000000,947.675,0,0,0,0,0,0,0,0,0
16.000000,1089.706,0,0,0,0,0,0,0,0,0
17.000000,1448.037,0,0,0,0,0,0,0,0,0
18.000000,2375.78,0,0,0,0,0,0,0,0,0
19.000000,2783.542,0,0,0,0,0,0,0,0,0
20.000000,2195.125,0,0,0,0,0,0,0,0,0
21.000000,1615.453,0,0,0,0,0,0,0,0,0
22.000000,1641.393,0,0,0,0,0,0,0,0,0
23.000000,1876.888,0,0,0,0,0,0,0,0,0
24.000000,1793.063,0,0,0,0,0,0,0,0,0
25.000000,1711.723,0,0,0,0,0,0,0,0,0
26.000000,1767.876,0,0,0,0,0,0,0,0,0
27.000000,1757.642,0,0,0,0,0,0,0,0,0
28.000000,1659.526,0,0,0,0,0,0,0,0,0
29.000000,1603.415,0,0,0,0,0,0,0,0,0
30.000000,1475.08,0,0,0,0,0,0,0,0,0
31.000000,1460.127,0,0,0,0,0,0,0,0,0
32.000000,1376.78,0,0,0,0,0,0,0,0,0
33.000000,1366.647,0,0,0,0,0,0,0,0,0
34.000000,1332.431,0,0,0,0,0,0,0,0,0
35.000000,1124.662,0,0,0,0,0,0,0,0,0
36.000000,1086.258,0,0,0,0,0,0,0,0,0
37.000000,1077.924,0,0,0,0,0,0,0,0,0
38.000000,1138.056,0,0,0,0,0,0,0,0,0
39.000000,1057.617,0,0,0,0,0,0,0,0,0
