$ COLUMBIA+YAKIMAFLOW.npt based on $//COLUMBIA+YAKIMA/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,3299.693
2.000000,3410.175
3.000000,3509.729
4.000000,3717.873
5.000000,3635.817
6.000000,3697.538
7.000000,3715.707
8.000000,3266.649
9.000000,3039.916
10.000000,2845.618
11.000000,2661.913
12.000000,3071.842
13.000000,3590.713
14.000000,3760.239
15.000000,3366.441
16.000000,3022.836
17.000000,2465.515
18.000000,2334.608
19.000000,2883.24
20.000000,3561.306
21.000000,4006.765
22.000000,4025.304
23.000000,4165.37
24.000000,4021.73
25.000000,4056.519
26.000000,4073.701
27.000000,4337.343
28.000000,4777.173
29.000000,4759.123
30.000000,4678.139
31.000000,4392.135
32.000000,4277.549
33.000000,4464.748
34.000000,4453.918
35.000000,4414.609
36.000000,4521.338
37.000000,4123.431
38.000000,3450.049
39.000000,3613.873
40.000000,4286.303
41.000000,4482.329
42.000000,4439.595
43.000000,4837.809
44.000000,4844.495
45.000000,4449.108
46.000000,4611.352
47.000000,4791.452
48.000000,4596.387
49.000000,4512.086
50.000000,4342.17
51.000000,4371.878
52.000000,4198.318
53.000000,3961.983
54.000000,3958.521
55.000000,4016.519
56.000000,4114.215
57.000000,4190.259
58.000000,4438.662
59.000000,4613.68
60.000000,4493.882
61.000000,4494.124
62.000000,4331.122
63.000000,4155.536
64.000000,4178.445
65.000000,3944.763
66.000000,3933.061
67.000000,4072.66
68.000000,3969.98
69.000000,3945.573
70.000000,4000.122
71.000000,4080.333
72.000000,4237.414
73.000000,4077.887
74.000000,3863.477
75.000000,3946.168
76.000000,3817.649
77.000000,3746.653
78.000000,3720.918
79.000000,3138.577
80.000000,2857.848
81.000000,3201.466
82.000000,3388.655
83.000000,3698.994
84.000000,4021.469
85.000000,4024.494
86.000000,3872.429
87.000000,3650.944
88.000000,3551.988
89.000000,3575.674
90.000000,3716.887
91.000000,3967.358
92.000000,4411.214
93.000000,4697.702
94.000000,4885.66
95.000000,5402.335
96.000000,5528.816
97.000000,5227.438
98.000000,4432.86
99.000000,4502.744
100.000000,5101.319
101.000000,5243.534
102.000000,5001.193
103.000000,4660.828
104.000000,4676.653
105.000000,4595.805
106.000000,4404.456
107.000000,4341.459
108.000000,4449.662
109.000000,4488.821
110.000000,4255.797
111.000000,4034.684
112.000000,4107.671
113.000000,4315.184
114.000000,4422.485
115.000000,4462.234
116.000000,4263.411
117.000000,4159.097
118.000000,4337.161
119.000000,4310.292
120.000000,4158.006
121.000000,4247.31
122.000000,4300.957
123.000000,4252.833
124.000000,4385.816
125.000000,4507.808
126.000000,4345.06
127.000000,4155.281
128.000000,4133.99
129.000000,4481.506
130.000000,4907.675
131.000000,4354.765
132.000000,4513.915
133.000000,5626.162
134.000000,6080.647
135.000000,6196.839
136.000000,6384.368
137.000000,6619.874
138.000000,7061.228
139.000000,7019.494
140.000000,6825.185
141.000000,7208.825
142.000000,7981.15
143.000000,8575.989
144.000000,8841.794
145.000000,8758.331
146.000000,8252.091
147.000000,7954.024
148.000000,8430.537
149.000000,8891.835
150.000000,9045.258
151.000000,9280.434
152.000000,9247.493
153.000000,9451.473
154.000000,9394.074
155.000000,9403.601
156.000000,9612.004
157.000000,9811.056
158.000000,9925.771
159.000000,9599.555
160.000000,9559.012
161.000000,9210.134
162.000000,8477.519
163.000000,8539.005
164.000000,9240.973
165.000000,9115.392
166.000000,9094.958
167.000000,9290.531
168.000000,9225.785
169.000000,8822.103
170.000000,8685.179
171.000000,8999.237
172.000000,8713.631
173.000000,8513.394
174.000000,8336.037
175.000000,8329.639
176.000000,8527.978
177.000000,8056.08
178.000000,7616.989
179.000000,7198.021
180.000000,7054.348
181.000000,7490.861
182.000000,7395.856
183.000000,7625.271
184.000000,7648.78
185.000000,7675.175
186.000000,7654.387
187.000000,7337.796
188.000000,7444.643
189.000000,7987.025
190.000000,8323.354
191.000000,8071.164
192.000000,7609.937
193.000000,7144.889
194.000000,6870.506
195.000000,6945.471
196.000000,7061.024
197.000000,6941.784
198.000000,6331.841
199.000000,5984.158
200.000000,6240.739
201.000000,6190.447
202.000000,6225.225
203.000000,6017.339
204.000000,5680.924
205.000000,5563.799
206.000000,5745.768
207.000000,5782.494
208.000000,5407.226
209.000000,5394.6
210.000000,5273.645
211.000000,5170.104
212.000000,5120.866
213.000000,4568.792
214.000000,4617.297
215.000000,4783.273
216.000000,4527.371
217.000000,4309.693
218.000000,4198.791
219.000000,4242.883
220.000000,4413.078
221.000000,4349.183
222.000000,4097.018
223.000000,4163.698
224.000000,4389.898
225.000000,4713.322
226.000000,4490.867
227.000000,4156.357
228.000000,4261.153
229.000000,4381.057
230.000000,4504.264
231.000000,4598.51
232.000000,4543.176
233.000000,4185.238
234.000000,3870.053
235.000000,3716.982
236.000000,4118.713
237.000000,4465.332
238.000000,4312.524
239.000000,4045.422
240.000000,3922.244
241.000000,3692.596
242.000000,3478.59
243.000000,3413.902
244.000000,3149.281
245.000000,3353.662
246.000000,3128.904
247.000000,2296.505
248.000000,2017.68
249.000000,2082.811
250.000000,2450.02
251.000000,2546.713
252.000000,2459.98
253.000000,2552.589
254.000000,2273.074
255.000000,2187.24
256.000000,2108.898
257.000000,1946.282
258.000000,2105.437
259.000000,2238.96
260.000000,2156.161
261.000000,2123.181
262.000000,1541.623
263.000000,1654.761
264.000000,2458.665
265.000000,2109.7
266.000000,1960.845
267.000000,2213.963
268.000000,2396.638
269.000000,2201.055
270.000000,2342.376
271.000000,2611.047
272.000000,2340.209
273.000000,2481.786
274.000000,2411.175
275.000000,1960.84
276.000000,2231.358
277.000000,2581.828
278.000000,2379.641
279.000000,2652.432
280.000000,2515.134
281.000000,2070.932
282.000000,2263.579
283.000000,2414.829
284.000000,2359.01
285.000000,2306.63
286.000000,2291.018
287.000000,2819.157
288.000000,3136.511
289.000000,2897.1
290.000000,2378.881
291.000000,2443.631
292.000000,2380.375
293.000000,2418.127
294.000000,2797.466
295.000000,2683.185
296.000000,2347.724
297.000000,2176.949
298.000000,2198.694
299.000000,2323.218
300.000000,2441.157
301.000000,2883.642
302.000000,3113.674
303.000000,2803.663
304.000000,2393.047
305.000000,2371.485
306.000000,2356.392
307.000000,2384.003
308.000000,2835.091
309.000000,2668.409
310.000000,2154.402
311.000000,2424.13
312.000000,2865.393
313.000000,2939.439
314.000000,2901.439
315.000000,2987.913
316.000000,3045.244
317.000000,3012.927
318.000000,2815.346
319.000000,2814.541
320.000000,3026.901
321.000000,3099.563
322.000000,3147.203
323.000000,2909.887
324.000000,2836.432
325.000000,2961.611
326.000000,3267.569
327.000000,3325.364
328.000000,2868.719
329.000000,2788.936
330.000000,2753.764
331.000000,2808.496
332.000000,2483.737
333.000000,2445.287
334.000000,3240.384
335.000000,3355.679
336.000000,3001.328
337.000000,2723.568
338.000000,2608.658
339.000000,2735.358
340.000000,3151.293
341.000000,3331.712
342.000000,3372.65
343.000000,3501.858
344.000000,3509.697
345.000000,3358.572
346.000000,3172.652
347.000000,3153.292
348.000000,3602.301
349.000000,3952.18
350.000000,3476.541
351.000000,2522.571
352.000000,2191.644
353.000000,2216.775
354.000000,2592.324
355.000000,2967.584
356.000000,2667.587
357.000000,2833.806
358.000000,2966.383
359.000000,3276.766
360.000000,3249.517
361.000000,3412.305
362.000000,3170.766
363.000000,2375.771
364.000000,2483.115
365.000000,2659.219
366.000000,2786.237
367.000000,2388.084
368.000000,1986.872
369.000000,2683.941
370.000000,2837.975
371.000000,2639.282
372.000000,2647.678
373.000000,2559.968
374.000000,2680.484
375.000000,3085.68
376.000000,2758.663
377.000000,2938.79
378.000000,3371.19
379.000000,3419.335
380.000000,3323.765
381.000000,3267.198
382.000000,3522.527
383.000000,3687.469
384.000000,3860.798
385.000000,3826.412
386.000000,3562.906
387.000000,2940.56
388.000000,2618.616
389.000000,2889.464
390.000000,2922.786
391.000000,2904.371
392.000000,2898.316
393.000000,3210.853
394.000000,3316.049
395.000000,2616.022
396.000000,1962.465
397.000000,1916.113
398.000000,2066.524
399.000000,2504.15
400.000000,2918.349
401.000000,2566.676
402.000000,2299.03
403.000000,2464.663
404.000000,2618.653
405.000000,2886.99
406.000000,3203.483
407.000000,2897.494
408.000000,2568.235
409.000000,2466.515
410.000000,2770.227
411.000000,3031.781
412.000000,2666.596
413.000000,2813.225
414.000000,3334.803
415.000000,2952.927
416.000000,2572.152
417.000000,2820.184
418.000000,2784.583
419.000000,2549.195
420.000000,2871.254
421.000000,3080.595
422.000000,2758.885
423.000000,2311.559
424.000000,2610.1
425.000000,2679.507
426.000000,2153.42
427.000000,2076.885
428.000000,2416.961
429.000000,2321.775
430.000000,2258.507
431.000000,2437.424
432.000000,2370.24
433.000000,2712.265
434.000000,3084.651
435.000000,3274.612
436.000000,2927
437.000000,2782.15
438.000000,3160.221
439.000000,3226.451
440.000000,3212.223
441.000000,3146.636
442.000000,3178.494
443.000000,3337.954
444.000000,3257.983
445.000000,3045.743
446.000000,2723.732
447.000000,3105.561
448.000000,3983.063
449.000000,4390.686
450.000000,4552.011
451.000000,4712.957
452.000000,4747.52
453.000000,4562.267
454.000000,4625.757
455.000000,4797
456.000000,4691.041
457.000000,4945.013
458.000000,4645.396
459.000000,3971.374
460.000000,4268.266
461.000000,4533.876
462.000000,4557.535
463.000000,4569.957
464.000000,4620.629
465.000000,4788.361
466.000000,4957.007
467.000000,5404.542
468.000000,5388.669
469.000000,5206.404
470.000000,5293.3
471.000000,5116.574
472.000000,5104.837
473.000000,5236.497
474.000000,5465.512
475.000000,5483.097
476.000000,5349.739
477.000000,5593.805
478.000000,5602.655
479.000000,5759.204
480.000000,6126.867
481.000000,6378.998
482.000000,6569.511
483.000000,6589.771
484.000000,6680.302
485.000000,6215.956
486.000000,5746.339
487.000000,6152.011
488.000000,6947.796
489.000000,7784.872
490.000000,7883.238
