$ ICE HARBOR_OUTFLOW.npt based on $//ICE HARBOR_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,861.059
2.000000,1208.257
3.000000,634.41
4.000000,732.696
5.000000,984.464
6.000000,1405.914
7.000000,869.763
8.000000,516.851
9.000000,553.153
10.000000,854.281
11.000000,856.297
12.000000,689.256
13.000000,759.657
14.000000,980.977
15.000000,975.772
16.000000,1166.29
17.000000,1525.591
18.000000,1942.437
19.000000,2755.564
20.000000,2660.89
21.000000,2029.96
22.000000,1599.61
23.000000,1999.823
24.000000,1838.682
25.000000,1693.118
26.000000,2016.731
27.000000,1865.07
28.000000,1877.847
29.000000,1938.603
30.000000,1628.133
31.000000,1720.906
32.000000,1022.569
33.000000,1218.793
34.000000,1578.308
35.000000,1209.304
36.000000,1306.475
37.000000,1027.34
38.000000,1087.909
39.000000,937.63
40.000000,1344.393
41.000000,1458.894
42.000000,1108.201
43.000000,1468.409
44.000000,1252.407
45.000000,1001.066
46.000000,927.396
47.000000,1454.21
48.000000,1870.401
49.000000,1595.733
50.000000,1489.048
51.000000,1546.959
52.000000,1549.588
53.000000,1342.954
54.000000,1586.745
55.000000,1315.004
56.000000,1570.509
57.000000,1171.275
58.000000,1282.113
59.000000,1296.536
60.000000,1421.611
61.000000,844.912
62.000000,1674.951
63.000000,1703.906
64.000000,1411.169
65.000000,1705.57
66.000000,1527.281
67.000000,1487.604
68.000000,1485.88
69.000000,1566.48
70.000000,1545.454
71.000000,1444.953
72.000000,1845.036
73.000000,2231.271
74.000000,1528.281
75.000000,1410.797
76.000000,2102.55
77.000000,1775.692
78.000000,2353.796
79.000000,2411.541
80.000000,2431.648
81.000000,1966.434
82.000000,2424.314
83.000000,2296.388
84.000000,2092.865
85.000000,2183.078
86.000000,2286.157
87.000000,2531.996
88.000000,2207.551
89.000000,2292.081
90.000000,2541.698
91.000000,2710.235
92.000000,3578.167
93.000000,3964.31
94.000000,3750.24
95.000000,4002.831
96.000000,3687.147
97.000000,3772.1
98.000000,3991.796
99.000000,3657.596
100.000000,3354.27
101.000000,3125.832
102.000000,3150.663
103.000000,2861.597
104.000000,3039.646
105.000000,3133.788
106.000000,2746.328
107.000000,2997.68
108.000000,2610.651
109.000000,2588.331
110.000000,2883.979
111.000000,2949.297
112.000000,2953.18
113.000000,3021.17
114.000000,2963.27
115.000000,2861.539
116.000000,2789.765
117.000000,2730.586
118.000000,2807.695
119.000000,2655.322
120.000000,2781.217
121.000000,2559.329
122.000000,2558.725
123.000000,2523.812
124.000000,2569.06
125.000000,2368.114
126.000000,2563.125
127.000000,2587.595
128.000000,2614.129
129.000000,2610.066
130.000000,2721.04
131.000000,3117.975
132.000000,2821.901
133.000000,3129.459
134.000000,3137.395
135.000000,3728.902
136.000000,4609.318
137.000000,5467.741
138.000000,5606.05
139.000000,5611.167
140.000000,4806.032
141.000000,4746.218
142.000000,4496.038
143.000000,4947.292
144.000000,5040.467
145.000000,5501.666
146.000000,5306.164
147.000000,5820.349
148.000000,5546.173
149.000000,5728.892
150.000000,5295.367
151.000000,4829.448
152.000000,4530.479
153.000000,4416.469
154.000000,4516.99
155.000000,4584.583
156.000000,4641.666
157.000000,4919.076
158.000000,4671.353
159.000000,5184.201
160.000000,5447.54
161.000000,6004.783
162.000000,5790.395
163.000000,5595.582
164.000000,5367.5
165.000000,5268.433
166.000000,5068.024
167.000000,5547.7
168.000000,5353.039
169.000000,5162.181
170.000000,4884.469
171.000000,4695.423
172.000000,4464.238
173.000000,4429.879
174.000000,4729.679
175.000000,5085.927
176.000000,5167.366
177.000000,5389.082
178.000000,5179.793
179.000000,4800.071
180.000000,4708.624
181.000000,4897.611
182.000000,4800.931
183.000000,4561.512
184.000000,4860.521
185.000000,4208.515
186.000000,4144.271
187.000000,4058.442
188.000000,3875.911
189.000000,4016.216
190.000000,3669.4
191.000000,3425.88
192.000000,3166.051
193.000000,2947.975
194.000000,2927.741
195.000000,2556.59
196.000000,2493.809
197.000000,2736.242
198.000000,2465.708
199.000000,2524.278
200.000000,2342.367
201.000000,2403.5
202.000000,2368.613
203.000000,2001.186
204.000000,2198.866
205.000000,2127.905
206.000000,2021.001
207.000000,1989.026
208.000000,1824.104
209.000000,1665.859
210.000000,1698.99
211.000000,1639.993
212.000000,1710.675
213.000000,1537.243
214.000000,1496.271
215.000000,1421.512
216.000000,1631.873
217.000000,1492.607
218.000000,1531.506
219.000000,1254.771
220.000000,1107.164
221.000000,1241.407
222.000000,1219.257
223.000000,1265.133
224.000000,1278.844
225.000000,1088.856
226.000000,1057.264
227.000000,1111.241
228.000000,1157.18
229.000000,976.125
230.000000,1157.029
231.000000,1166.917
232.000000,1011.292
233.000000,980.638
234.000000,1074.701
235.000000,1056.354
236.000000,1116.269
237.000000,1063.6
238.000000,922.699
239.000000,1295.14
240.000000,969.721
241.000000,986.806
242.000000,1036.346
243.000000,953.647
244.000000,1044.875
245.000000,1083.162
246.000000,1015.004
247.000000,679
248.000000,724.116
249.000000,804.893
250.000000,1101.433
251.000000,1281.631
252.000000,964.028
253.000000,944.298
254.000000,1111.753
255.000000,1276.506
256.000000,766.552
257.000000,1117.632
258.000000,1062.379
259.000000,1119.99
260.000000,1210.227
261.000000,1238.621
262.000000,1237.47
263.000000,1220.91
264.000000,1175.782
265.000000,972.85
266.000000,910.567
267.000000,933.032
268.000000,683.722
269.000000,769.34
270.000000,372.042
271.000000,834.567
272.000000,842.877
273.000000,829.514
274.000000,873.715
275.000000,1083.754
276.000000,866.254
277.000000,706.156
278.000000,732.317
279.000000,947.024
280.000000,830.95
281.000000,980.289
282.000000,922.127
283.000000,1116.113
284.000000,701.276
285.000000,699.371
286.000000,750.68
287.000000,743.43
288.000000,860.317
289.000000,358.127
290.000000,866.218
291.000000,731.772
292.000000,931.78
293.000000,852.921
294.000000,775.08
295.000000,623.207
296.000000,605.168
297.000000,780.598
298.000000,754.447
299.000000,713.157
300.000000,595.621
301.000000,759.885
302.000000,868.187
303.000000,452.458
304.000000,584.929
305.000000,824.771
306.000000,721.571
307.000000,681.793
308.000000,828.743
309.000000,534.833
310.000000,593.342
311.000000,779.195
312.000000,728.978
313.000000,807.318
314.000000,509.944
315.000000,798.746
316.000000,594.327
317.000000,601.355
318.000000,443.153
319.000000,679.527
320.000000,703.905
321.000000,691.859
322.000000,839.809
323.000000,426.141
324.000000,501.682
325.000000,696.588
326.000000,869.174
327.000000,674.656
328.000000,593.949
329.000000,767.1
330.000000,775.424
331.000000,797.916
332.000000,327.614
333.000000,599.717
334.000000,730.315
335.000000,660.224
336.000000,370.195
337.000000,771.309
338.000000,677.47
339.000000,398.496
340.000000,515.225
341.000000,752.176
342.000000,725.953
343.000000,744.572
344.000000,616.987
345.000000,868.303
346.000000,576.24
347.000000,254.255
348.000000,671.904
349.000000,893.113
350.000000,694.163
351.000000,445.475
352.000000,373.722
353.000000,575.144
354.000000,725.9
355.000000,617.561
356.000000,668.015
357.000000,556.161
358.000000,847.95
359.000000,525.505
360.000000,576.12
361.000000,727.959
362.000000,653.764
363.000000,654.433
364.000000,972.089
365.000000,918.36
366.000000,1097.895
367.000000,972.494
368.000000,922.018
369.000000,625.096
370.000000,848.894
371.000000,1017.074
372.000000,753.963
373.000000,881.927
374.000000,696.843
375.000000,481.419
376.000000,589.094
377.000000,805.34
378.000000,703.538
379.000000,859.588
380.000000,806.403
381.000000,588.249
382.000000,477.636
383.000000,672.971
384.000000,501.178
385.000000,926.929
386.000000,975.678
387.000000,963.181
388.000000,892.298
389.000000,896.739
390.000000,920.283
391.000000,868.315
392.000000,930.212
393.000000,1037.519
394.000000,880.35
395.000000,1227.824
396.000000,847.019
397.000000,1011.265
398.000000,931.362
399.000000,821.539
400.000000,834.75
401.000000,1113.39
402.000000,1179.977
403.000000,889.173
404.000000,736.271
405.000000,779.437
406.000000,977.081
407.000000,1055.417
408.000000,770.804
409.000000,749.758
410.000000,871.969
411.000000,593.711
412.000000,1046.67
413.000000,826.148
414.000000,978.524
415.000000,951.66
416.000000,747.043
417.000000,836.524
418.000000,926.433
419.000000,1074.47
420.000000,1509.043
421.000000,1748.823
422.000000,1662.869
423.000000,1082.429
424.000000,866.752
425.000000,1084.497
426.000000,1098.56
427.000000,1112.168
428.000000,1148.31
429.000000,1081.157
430.000000,1058.012
431.000000,966.227
432.000000,1175.655
433.000000,1152.541
434.000000,1271.815
435.000000,1052.883
436.000000,924.583
437.000000,1350.964
438.000000,1119.536
439.000000,1045.067
440.000000,1738.943
441.000000,1723.382
442.000000,2066.761
443.000000,2314.36
444.000000,2122.336
445.000000,1324.659
446.000000,1916.742
447.000000,1995.549
448.000000,2097.246
449.000000,2431.225
450.000000,2223.8
451.000000,2322.617
452.000000,2539.044
453.000000,2363.298
454.000000,2685.707
455.000000,2865.399
456.000000,3093.152
457.000000,3053.526
458.000000,3841.415
459.000000,4004.383
460.000000,3662.701
461.000000,3390.229
462.000000,2915.391
463.000000,3074.12
464.000000,3043.096
465.000000,2951.617
466.000000,2827.621
467.000000,2737.428
468.000000,2720.753
469.000000,2991.604
470.000000,3102.905
471.000000,3284.187
472.000000,3088.716
473.000000,3001.982
474.000000,2864.861
475.000000,2982.058
476.000000,3068.024
477.000000,3045.293
478.000000,2999.71
479.000000,3314.194
480.000000,3565.099
481.000000,4108.958
482.000000,4500.201
483.000000,4971.633
484.000000,5104.968
485.000000,4970.774
486.000000,4890.702
487.000000,4209.117
488.000000,3937.439
489.000000,3671.559
490.000000,3642.529
491.000000,3532.085
492.000000,3315.342
493.000000,2896.765
494.000000,2844.889
495.000000,2635.062
496.000000,2673.218
497.000000,2753.103
498.000000,2719.124
499.000000,2891.132
500.000000,2861.013
501.000000,2792.867
502.000000,2861.791
503.000000,3172.825
504.000000,3490.359
505.000000,3731.19
506.000000,3580.364
507.000000,3280.425
