$ MCNARY-POOLELEV.npt based on $//MCNARY-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40544,104.228
40545,104.037
40546,104.128
40547,104.135
40548,103.895
40549,103.908
40550,104.09
40551,104.262
40552,104.357
40553,104.413
40554,104.456
40555,104.122
40556,104.014
40557,104.095
40558,104.163
40559,104.311
40560,104.119
40561,104.137
40562,104.354
40563,104.527
40564,104.479
40565,104.459
40566,104.423
40567,104.53
40568,104.417
40569,104.275
40570,104.07
40571,104.182
40572,104.35
40573,104.206
40574,104.184
40575,104.195
40576,104.164
40577,104.127
40578,104.243
40579,104.195
40580,103.944
40581,104.05
40582,103.974
40583,103.924
40584,104.143
40585,104.074
40586,104.054
40587,104.021
40588,104.159
40589,104.051
40590,104.201
40591,104.456
40592,104.371
40593,104.247
40594,104.192
40595,104.088
40596,103.966
40597,103.9
40598,103.923
40599,104.141
40600,104.171
40601,104.175
40602,104.376
40603,104.487
40604,104.462
40605,104.452
40606,104.245
40607,104.204
40608,104.386
40609,104.388
40610,104.262
40611,104.318
40612,104.297
40613,104.098
40614,103.946
40615,104.074
40616,104.375
40617,104.488
40618,104.488
40619,104.531
40620,104.492
40621,104.44
40622,104.382
40623,104.187
40624,103.842
40625,103.873
40626,103.912
40627,104.028
40628,104.165
40629,104.345
40630,104.476
40631,104.281
40632,104.168
40633,104.12
40634,103.955
40635,104.214
40636,104.385
40637,104.312
40638,104.281
40639,104.171
40640,103.973
40641,103.958
40642,103.986
40643,103.855
40644,104.175
40645,104.126
40646,104.025
40647,104.071
40648,104.08
40649,104.004
40650,103.952
40651,104.068
40652,104.303
40653,104.303
40654,104.367
40655,104.281
40656,104.062
40657,103.943
40658,103.943
40659,104.114
40660,104.168
40661,104.004
40662,104.013
40663,103.995
40664,103.976
40665,104.205
40666,104.388
40667,104.342
40668,104.19
40669,104.239
40670,104.196
40671,104.111
40672,104.013
40673,104.104
40674,104.345
40675,103.946
40676,103.797
40677,103.986
40678,104.272
40679,104.232
40680,104.357
40681,104.446
40682,104.428
40683,104.275
40684,104.098
40685,103.861
40686,103.861
40687,103.851
40688,104.022
40689,103.903
40690,103.885
40691,103.812
40692,103.833
40693,104.019
40694,103.87
40695,103.851
40696,103.931
40697,104.004
40698,103.919
40699,104.077
40700,103.986
40701,104.007
40702,104.098
40703,104.107
40704,104.138
40705,104.342
40706,104.296
40707,104.065
40708,104.144
40709,104.379
40710,104.147
40711,104.101
40712,104.165
40713,104.016
40714,103.903
40715,103.87
40716,104.114
40717,104.153
40718,104.117
40719,103.983
40720,103.9
40721,104.004
40722,104.071
40723,104.153
40724,104.007
40725,104.001
40726,104.336
40727,104.449
40728,104.293
40729,104.104
40730,103.964
40731,103.903
40732,103.961
40733,104.236
40734,104.208
40735,104.223
40736,103.943
40737,103.964
40738,103.979
40739,104.15
40740,104.327
40741,104.168
40742,104.196
40743,104.373
40744,104.412
40745,104.29
40746,104.229
40747,104.327
40748,104.476
40749,104.455
40750,104.455
40751,104.464
40752,104.421
40753,104.385
40754,104.306
40755,104.406
40756,104.424
40757,104.406
40758,103.967
40759,104.159
40760,104.245
40761,104.251
40762,104.211
40763,104.257
40764,104.345
40765,104.522
40766,104.278
40767,104.263
40768,104.126
40769,104.086
40770,104.357
40771,104.562
40772,104.443
40773,104.409
40774,104.287
40775,104.242
40776,104.236
40777,104.232
40778,104.321
40779,104.339
40780,104.26
40781,104.403
40782,104.37
40783,104.229
40784,104.144
40785,104.263
40786,104.296
40787,104.37
40788,104.171
40789,104.187
40790,104.394
40791,104.293
40792,104.339
40793,104.29
40794,104.208
40795,104.162
40796,104.272
40797,104.431
40798,104.324
40799,104.351
40800,104.257
40801,104.217
40802,104.272
40803,104.269
40804,104.379
40805,104.376
40806,104.418
40807,104.348
40808,104.397
40809,104.306
40810,104.22
40811,104.211
40812,104.385
40813,104.446
40814,104.239
40815,104.211
40816,104.229
40817,104.245
40818,104.424
40819,104.397
40820,104.263
40821,104.223
40822,104.321
40823,104.321
40824,104.321
40825,104.296
40826,104.312
40827,104.293
40828,104.303
40829,104.251
40830,104.272
40831,104.47
40832,104.507
40833,104.464
40834,103.995
40835,103.989
40836,103.891
40837,103.983
40838,104.138
40839,104.04
40840,104.034
40841,103.958
40842,104.059
40843,104.056
40844,104.068
40845,104.287
40846,104.26
40847,104.217
40848,104.26
40849,104.266
40850,104.147
40851,104.236
40852,104.254
40853,104.162
40854,103.979
40855,103.971
40856,103.886
40857,103.946
40858,104.01
40859,104.031
40860,104.148
40861,104.171
40862,104.151
40863,104.045
40864,104.257
40865,104.336
40866,104.1
40867,104.124
40868,104.088
40869,104.127
40870,104.079
40871,104.141
40872,104.235
40873,104.271
40874,104.307
40875,104.233
40876,104.303
40877,104.218
40878,104.267
40879,104.182
40880,104.186
40881,104.268
40882,104.065
40883,104.076
40884,104.159
40885,104.282
40886,104.203
40887,104.228
40888,104.32
40889,104.312
40890,104.142
40891,103.907
40892,103.997
40893,104.307
40894,104.239
40895,104.279
40896,104.147
40897,104.223
40898,104.057
40899,104.02
40900,104.002
40901,104.147
40902,104.001
40903,104.24
40904,104.414
40905,104.378
40906,104.317
40907,104.329
40908,104.269
40909,104.26
40910,104.397
40911,104.353
40912,104.27
40913,104.184
40914,104.28
40915,104.255
40916,104.125
40917,104.058
40918,104.205
40919,104.307
40920,104.21
40921,104.252
40922,104.312
40923,104.207
40924,104.322
40925,104.315
40926,104.215
40927,104.281
40928,104.314
40929,104.379
40930,104.35
40931,104.43
40932,104.36
40933,104.211
40934,104.147
40935,104.235
40936,104.277
40937,104.141
40938,104.19
40939,104.397
40940,104.289
40941,104.322
40942,104.21
40943,104.208
40944,104.278
40945,104.281
40946,104.278
40947,104.182
40948,103.961
40949,104.028
40950,104.344
40951,104.378
40952,104.303
40953,104.27
40954,104.088
40955,104.185
40956,104.269
40957,104.234
40958,104.294
40959,104.332
40960,104.38
40961,104.317
40962,104.25
40963,104.245
40964,104.414
40965,104.418
40966,104.418
40967,104.448
40968,104.309
40969,104.3
40970,104.2
40971,104.184
40972,104.277
40973,104.322
40974,104.213
40975,104.258
40976,104.243
40977,104.014
40978,104.022
40979,104.151
40980,104.346
40981,104.251
40982,104.175
40983,104.318
40984,104.424
40985,104.373
40986,104.351
40987,104.33
40988,104.202
40989,104.147
40990,103.906
40991,103.885
40992,104.147
40993,104.232
40994,104.175
40995,104.022
40996,104.117
40997,104.272
40998,104.415
40999,104.485
41000,104.403
41001,104.467
41002,104.342
41003,104.345
41004,104.245
41005,104.3
41006,104.33
41007,104.476
41008,104.403
41009,104.165
41010,103.998
41011,104.132
41012,104.232
41013,104.147
41014,104.114
41015,104.266
41016,104.275
41017,104.232
41018,104.324
41019,104.4
41020,104.296
41021,104.178
41022,104.257
41023,104.315
41024,104.336
41025,104.522
41026,104.455
41027,104.339
41028,104.373
41029,104.428
41030,104.351
41031,104.144
41032,104.251
41033,104.29
41034,104.357
41035,104.357
41036,104.248
41037,104.126
41038,104.086
41039,103.995
41040,103.894
41041,104.171
41042,104.357
41043,104.379
41044,104.257
41045,104.278
41046,104.345
41047,104.312
41048,104.385
41049,104.409
41050,104.175
41051,104.223
41052,104.312
41053,104.339
41054,104.403
41055,104.266
41056,104.248
41057,104.22
41058,104.184
41059,103.943
41060,104.004
41061,103.983
41062,104.178
41063,104.284
41064,104.312
41065,104.29
41066,104.333
41067,104.333
41068,104.223
41069,104.199
41070,104.391
41071,104.385
41072,104.446
41073,104.455
41074,104.251
41075,104.211
41076,104.15
41077,104.092
41078,104.175
41079,104.293
41080,104.309
41081,104.303
41082,104.175
41083,104.159
41084,104.111
41085,104.138
41086,104.175
41087,103.973
41088,104.065
41089,104.232
41090,104.034
41091,104.138
41092,104.226
41093,104.159
41094,104.165
41095,104.071
41096,104.171
41097,104.406
41098,104.269
41099,104.223
41100,104.418
41101,104.412
41102,104.303
41103,104.315
41104,104.278
41105,104.22
41106,104.19
41107,104.296
41108,104.409
41109,104.171
41110,104.263
41111,104.412
41112,104.531
41113,104.449
41114,104.242
41115,104.239
41116,104.236
41117,104.415
41118,104.54
41119,104.428
41120,104.51
41121,104.552
41122,104.348
41123,104.354
41124,104.293
41125,104.421
41126,104.479
41127,104.327
41128,104.318
41129,104.324
41130,104.339
41131,104.44
41132,104.467
41133,104.583
41134,104.632
41135,104.674
41136,104.586
41137,104.58
41138,104.626
41139,104.577
41140,104.662
41141,104.677
41142,104.69
41143,104.708
41144,104.693
41145,104.656
41146,104.626
41147,104.607
41148,104.595
41149,104.61
41150,104.62
41151,104.571
41152,104.568
41153,104.574
41154,104.488
41155,104.556
41156,104.434
41157,104.318
41158,104.232
41159,104.467
41160,104.424
41161,104.437
41162,104.458
41163,104.449
41164,104.269
41165,104.367
41166,104.495
41167,104.44
41168,104.473
41169,104.501
41170,104.498
41171,104.476
41172,104.473
41173,104.528
41174,104.437
41175,104.251
41176,104.242
41177,104.278
41178,104.272
41179,104.309
41180,104.479
41181,104.507
41182,104.446
41183,104.382
41184,104.248
41185,104.168
41186,104.208
41187,104.245
41188,104.296
41189,104.22
41190,104.245
41191,104.242
41192,104.19
41193,104.159
41194,104.223
41195,104.217
41196,104.342
41197,104.434
41198,104.412
41199,104.382
41200,104.382
41201,104.458
41202,104.397
41203,104.37
41204,104.394
41205,104.376
41206,104.287
41207,104.138
