$ Bathymetry:  McNary.  Updated to csv version by Barry.  Original provided by WEST consultants via David Gade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,,,,,,,,,,,,,,,
DLX,775.91,775.91,850.99,851.79,848.27,845.9,775.1,781.93,720.39,768.19,818.83,773.23,857.63,842.93,760.81,767.86,838.7,836.26,690.61,904.98,987.18,775.71,767.61,768.98,775.15,840.07,839.61,769.28,767.96,787.91,809.43,816.78,843.29,817.97,764.94,754.73,768.38,754.06,732.38,773.43,852.66,840.78,790.74,791.76,696.8,638.41,736.3,786.02,772.86,784.5,778.97,723.63,769.58,839.44,780.89,767.27,811.65,857.53,830.09,787.54,853.54,852.31,792.57,801.02,806.89,830.92,778.48,719.53,737.26,757.67,790.88,794.24,869.81,928.64,825.1,762.6,797.88,772.59,748.06,789.27,791.24,729.35,621.02,477.45,403.78,450,1000,1000,1371.6,1371.6,1396.26,1028.72,733.41,850.22,772.11,1031.01,1785.29,1861.68,1322.55,1170.39,940.42,1266.15,1192.91,1192.9,,,,,,,,,,,,,,,
ELWS,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,104.228,,,,,,,,,,,,,,,
PHIO,5.3,5.3,5.27,5.02,4.97,4.95,4.95,4.87,5.01,5.02,5.06,5.11,5.09,5.29,5.25,5.27,5.22,5.29,5.23,5.29,5.48,5.56,5.69,5.76,5.72,5.77,5.76,5.76,5.74,5.79,5.84,5.86,5.9,5.88,5.88,5.86,5.86,5.88,5.84,6.18,0.03,0.1,0.12,0.09,0.12,0.26,0.65,0.77,0.77,0.77,0.77,0.73,0.63,0.56,0.59,0.79,0.85,0.98,1.08,1.1,1.1,1.08,0.96,0.99,0.94,1.05,1.13,1.24,1.33,1.4,1.43,1.38,1.34,1.59,1.64,1.66,1.71,1.76,1.97,2.04,1.97,1.76,1.62,1.48,1.41,1.41,1.41,1.41,1.34,1.34,1.34,1.34,1.36,1.47,1.4,1.55,1.54,0.91,0.87,0.77,0.51,0.44,0.07,0.07,,,,,,,,,,,,,,,
FRICT,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),,mult,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,2449990517,1986242.596,111,364.1732283,,1,,,,,,
1,0,1040.652,1127.079,873.099,809.37,862.056,982.809,1024.758,1915.632,1475.46,1830.906,1777.851,1772.577,1690.542,2045.511,2477.826,2876.733,3324.897,3981.042,1461.582,1727.397,1458.315,2447.19,2158.317,4693.248,4721.103,4863.222,6189.759,5530.59,4876.965,4325.211,2927.979,3452.625,3359.187,3807.135,3769.866,3145.113,3216.24,3190.239,3041.244,2855.097,1724.979333,1341.01,1067.126211,1478.1875,2092.248714,1736.844143,1901.847143,1537.28,1537.119,1483.326,1420.002,1274.841,1274.4,1336.77,1349.019,1441.539,1325.223,1437.45575,1388.277,1477.638,1337.14565,1508.751,1569.4848,1543.788,1609.596,1800.495,1910.646,1969.362,2070.531,1902.02,1936.47,1767.55,1544.84,1619.48,1695.39,1632.48,1641.82,1600.42,1689.85,1861.92,1993.97,1950,1862.25,1978.26,2081.16,2090.95,0,0,401.26,403.33,510.76,529.34,470.05,509.17,661.09,893.08,898.52,666.75,2093.54,2318.31,1552.28,1516.49,0,,2,160417082.3,2449990517,1986242.596,110,360.8923885,,1.1,0.9,,,,,
1,0,1009.43244,1127.079,873.099,809.37,862.056,953.32473,994.01526,1858.16304,1431.1962,1775.97882,1724.51547,1719.39969,1639.82574,1984.14567,2403.49122,2790.43101,3225.15009,3861.61074,1417.73454,1675.57509,1414.56555,2373.7743,2093.56749,4552.45056,4579.46991,4717.32534,6004.06623,5364.6723,4730.65605,4195.45467,2840.13963,3349.04625,3258.41139,3692.92095,3656.77002,3050.75961,3119.7528,3094.53183,2950.00668,2769.44409,1724.979333,1341.01,1067.126211,1478.1875,2092.248714,1736.844143,1901.847143,1537.28,1491.00543,1480.5732,1377.40194,1207.19735,1264.33695,1296.6669,1308.54843,1398.29283,1285.46631,1437.45575,1346.62869,1433.30886,1337.14565,1463.48847,1569.4848,1471.66995,1561.30812,1746.48015,1853.32662,1910.28114,2008.41507,1892.724925,1920.886375,1765.188571,1544.598,1617.5135,1691.275143,1625.51215,1638.627952,1600.4,1680.159375,1850.839625,1986.408125,1950,1862.152174,1976.835391,2074.377425,2081.55005,0,0,392.31,393.83,502.17,523.48,468.07,504.65,614.89,873.08,896.7,650.38,574.27,1979.36,481.58,1512.97,0,,3,153589888.8,2289573435,1856190.157,109,357.6115486,,1.1,0.97,,,,,
1,0,994.4744,1127.079,873.099,809.37,862.056,924.7249881,964.1948022,1802.418149,1388.260314,1722.699455,1672.780006,1667.817699,1590.630968,1924.6213,2331.386483,2706.71808,3128.395587,3745.762418,1375.202504,1625.307837,1372.128584,2302.561071,2030.760465,4415.877043,4442.085813,4575.80558,5823.944243,5203.732131,4588.736369,4069.59103,2754.935441,3248.574863,3160.659048,3582.133322,3547.066919,2959.236822,3026.160216,3001.695875,2861.50648,2686.360767,1724.979333,1341.01,1067.126211,1478.1875,2092.248714,1736.844143,1901.847143,1537.28,1446.275267,1480.5732,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1883.42985,1905.30275,1762.827143,1544.356,1615.547,1687.160286,1618.5443,1635.435905,1600.38,1670.46875,1839.75925,1978.84625,1950,1862.054348,1975.410783,2067.59485,2072.1501,0,0,386.27,387.75,495.14,506.8,465.28,500.98,607.83,811.97,894.85,602.15,570.3,1359.4,481.58,1509.42,0,,4,149778280.1,2135983546,1731672.622,108,354.3307087,,1.1,0.97,,,,,
1,0,994.4744,1127.079,873.099,809.37,862.056,924.7249881,964.1948022,1802.418149,1388.260314,1722.699455,1672.780006,1667.817699,1590.630968,1924.6213,2331.386483,2706.71808,3128.395587,3745.762418,1375.202504,1625.307837,1372.128584,2302.561071,2030.760465,4415.877043,4442.085813,4575.80558,5823.944243,5203.732131,4588.736369,4069.59103,2754.935441,3248.574863,3160.659048,3582.133322,3547.066919,2959.236822,3026.160216,3001.695875,2861.50648,2686.360767,1724.979333,1341.01,1067.126211,1478.1875,2092.248714,1736.844143,1901.847143,1537.28,1446.275267,1480.5732,1336.079882,1207.19735,1264.33695,1257.766893,1269.291977,1356.344045,1246.902321,1437.45575,1306.229829,1390.309594,1337.14565,1419.583816,1569.4848,1471.66995,1514.468876,1694.085746,1797.726821,1852.972706,1948.162618,1874.134775,1889.719125,1760.465714,1544.114,1613.5805,1683.045429,1611.57645,1632.243857,1600.36,1660.778125,1828.678875,1971.284375,1950,1861.956522,1973.986174,2060.812275,2062.75015,0,0,381.65,382.85,487.18,495.7,459.71,497.05,583.51,672.88,892.8,564.75,568.46,540.77,481.58,1507.1,0,,5,148569741.6,1986205266,1610245.213,107,351.0498688,,1.1,1,,,,,
