$MCN Elev-Tailwater CBT-REV [m=>ft},,
CY2011-2015,,12/31/2010
JDAY,ElevFT,
40544,265.7906909,
40545,264.7506646,
40546,265.029536,
40547,265.9809796,
40548,265.1312421,
40549,264.4389848,
40550,265.2690374,
40551,265.2395098,
40552,265.5905597,
40553,265.2493523,
40554,265.5905597,
40555,265.5905597,
40556,266.0006647,
40557,265.7611634,
40558,265.5183812,
40559,265.2788799,
40560,265.1706122,
40561,266.7486962,
40562,267.1784862,
40563,267.0013209,
40564,266.8996148,
40565,266.8307172,
40566,267.1391162,
40567,267.5295361,
40568,267.450796,
40569,266.6109009,
40570,266.4009272,
40571,266.5912159,
40572,266.5813734,
40573,265.9809796,
40574,266.5715308,
40575,266.5912159,
40576,266.3910846,
40577,265.7808484,
40578,265.6004022,
40579,266.1089324,
40580,265.5315046,
40581,265.4494836,
40582,266.2992211,
40583,266.6404285,
40584,266.6207434,
40585,266.5190374,
40586,266.5584075,
40587,266.3385912,
40588,266.1286174,
40589,266.3189062,
40590,266.240166,
40591,266.3385912,
40592,266.6601135,
40593,266.9685125,
40594,266.7388537,
40595,266.8011896,
40596,266.7815046,
40597,266.6109009,
40598,266.13846,
40599,265.5807172,
40600,265.8989586,
40601,265.8595886,
40602,266.1811109,
40603,266.4501398,
40604,266.3484337,
40605,266.2007959,
40606,265.5315046,
40607,265.439641,
40608,265.6200872,
40609,266.0695623,
40610,266.2106384,
40611,266.240166,
40612,266.1909534,
40613,265.9809796,
40614,265.9908222,
40615,265.6692998,
40616,265.5708746,
40617,265.6102447,
40618,265.8595886,
40619,266.0990899,
40620,266.7585387,
40621,266.630586,
40622,266.4698248,
40623,266.2007959,
40624,266.1811109,
40625,266.5715308,
40626,266.5813734,
40627,266.0990899,
40628,266.4796673,
40629,266.5387224,
40630,266.6404285,
40631,265.8989586,
40632,266.1909534,
40633,266.6109009,
40634,266.8405597,
40635,268.0085388,
40636,268.8910847,
40637,269.1797986,
40638,268.8713997,
40639,269.1207435,
40640,268.4088012,
40641,267.7395099,
40642,267.6410847,
40643,267.9790112,
40644,267.8084075,
40645,267.6607697,
40646,267.080061,
40647,266.9488274,
40648,266.7486962,
40649,266.548565,
40650,265.810376,
40651,266.8307172,
40652,266.9094574,
40653,266.6994836,
40654,267.1194311,
40655,267.5590637,
40656,267.0308484,
40657,266.7585387,
40658,266.7913471,
40659,266.95867,
40660,266.9816358,
40661,266.9914784,
40662,266.8897723,
40663,266.6601135,
40664,266.4206122,
40665,266.5813734,
40666,266.7388537,
40667,266.95867,
40668,266.4895098,
40669,266.4895098,
40670,266.6109009,
40671,266.548565,
40672,266.6994836,
40673,267.3294049,
40674,267.080061,
40675,266.650271,
40676,267.7001398,
40677,268.0183813,
40678,268.59909,
40679,269.7900349,
40680,270.7414785,
40681,271.2106386,
40682,271.0105074,
40683,270.8300612,
40684,270.3084076,
40685,270.688985,
40686,270.8694312,
40687,271.6207436,
40688,271.5485651,
40689,271.3615572,
40690,271.3484339,
40691,271.7815048,
40692,272.1095888,
40693,272.2506649,
40694,271.7913473,
40695,271.6502712,
40696,271.509195,
40697,271.4501399,
40698,271.5813735,
40699,271.7388538,
40700,271.3615572,
40701,271.7585389,
40702,272.1588014,
40703,272.4015835,
40704,272.3884602,
40705,272.1489588,
40706,272.0505336,
40707,271.981636,
40708,272.1784864,
40709,272.5984339,
40710,272.9494838,
40711,272.8707436,
40712,272.3687751,
40713,271.7585389,
40714,271.3090638,
40715,271.0892475,
40716,270.9908223,
40717,271.2992213,
40718,271.7913473,
40719,272.7985652,
40720,270.8891163,
40721,271.0006648,
40722,270.5085388,
40723,270.2099824,
40724,270.4101136,
40725,270.5807173,
40726,270.9514522,
40727,270.9088013,
40728,270.751321,
40729,270.2493525,
40730,269.5800611,
40731,269.7605073,
40732,270.2296674,
40733,270.1706123,
40734,269.8097199,
40735,269.130586,
40736,269.02888,
40737,268.1200873,
