$ QGT_MCN_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_MCN_2011_2015_daily_ave.csv ; all outlets scaled to total flow from MCNARY_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41754, 42296 that are  2, 21 days long
"JDAY","POWER","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","SB19","SB20","SB21","SB22","MISC"
1.000000,3761.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.000000,4361.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.000000,4687.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.000000,4501.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.000000,3956.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.000000,4707.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.000000,3982.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.000000,3495.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.000000,3250.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.000000,4034.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.000000,4313.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.000000,4011.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.000000,3948.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.000000,4236.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.000000,4192.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.000000,3879.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.000000,4481.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.000000,4621.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.557,43.536,48.499,47.593,0,0.508,0
19.000000,4939.672,0,0,0,0,33.159,0,70.008,0,78.349,0,78.946,0,81.624,32.832,82.773,76.261,84.251,84.739,84.832,68.812,0,0,0
20.000000,4794.012,0,0,0,0,105.73,0,105.745,0,106.41,0,107.218,0,105.443,104.881,106.197,105.374,107.23,108.436,107.368,105.372,0,0,0
21.000000,4354.104,0,0,0,0,100.04,0,100.061,0,100.689,0,101.457,0,99.779,99.256,100.516,99.711,101.477,102.633,101.617,99.735,0,0,0
22.000000,4245.768,0,84.38,84.133,0,106.901,46.744,106.924,46.115,106.231,45.484,105.914,51.296,98.82,99.923,99.583,98.735,100.523,95.168,61.857,60.71,7.195,7.355,0
