Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         387.95,   322180.16348,  5089289.42759, 11,    96.000
  3,  1,        1201.40,   322864.08740,  5088849.19994, 11,    95.000
  4,  1,        2052.79,   323631.03239,  5088495.09101, 11,    91.000
  5,  1,        2902.82,   324447.07484,  5088258.07999, 11,    91.000
  6,  1,        3749.91,   325268.28040,  5088050.46807, 11,    91.000
  7,  1,        4560.41,   326056.00784,  5087859.69142, 11,    91.000
  8,  1,        5338.93,   326818.78787,  5087707.10374, 11,    95.000
  9,  1,        6090.09,   327549.26759,  5087540.11546, 11,    94.000
 10,  1,        6834.38,   328259.69371,  5087318.19542, 11,    94.000
 11,  1,        7627.89,   329010.68669,  5087062.42969, 11,    88.000
 12,  1,        8423.92,   329752.06884,  5086773.25738, 11,    88.000
 13,  1,        9239.35,   330507.12756,  5086465.44884, 11,    90.000
 14,  1,       10089.63,   331258.82216,  5086077.21417, 11,    93.000
 15,  1,       10891.50,   331938.65558,  5085652.28415, 11,    89.000
 16,  1,       11655.83,   332591.17142,  5085254.32354, 11,    89.000
 17,  1,       12459.11,   333283.41775,  5084847.32066, 11,    89.000
 18,  1,       13296.59,   334000.18772,  5084415.16936, 11,    90.000
 19,  1,       14060.03,   334650.55554,  5084016.00138, 11,    91.000
 20,  1,       14857.82,   335329.70911,  5083598.07202, 11,    92.000
 21,  1,       15803.90,   336063.96469,  5083008.24361, 11,    92.000
 22,  1,       16685.35,   336675.81113,  5082374.71013, 11,    91.000
 23,  1,       17457.01,   337147.03309,  5081765.69714, 11,    90.000
 24,  1,       18225.30,   337553.68909,  5081114.40206, 11,    90.000
 25,  1,       18997.37,   337952.71570,  5080453.62696, 11,    92.000
 26,  1,       19804.97,   338365.85325,  5079759.98124, 11,    93.000
 27,  1,       20644.81,   338781.82337,  5079030.40434, 11,    93.000
 28,  1,       21449.26,   339183.75751,  5078333.56812, 11,    94.000
 29,  1,       22217.88,   339574.40565,  5077671.66806, 11,    94.000
 30,  1,       22995.81,   339959.38331,  5076995.94847, 11,    94.000
 31,  1,       23794.48,   340319.44439,  5076283.32568, 11,    92.000
 32,  1,       24607.59,   340660.70596,  5075545.34587, 11,    92.000
 33,  1,       25437.62,   340986.06120,  5074781.91507, 11,    88.000
 34,  1,       26268.26,   341304.16956,  5074014.65745, 11,    87.000
 35,  1,       27059.71,   341614.69689,  5073286.66447, 11,    87.000
 36,  1,       27819.55,   341919.73017,  5072590.78648, 11,    89.000
 37,  1,       28581.10,   342232.47534,  5071896.41161, 11,    88.000
 38,  1,       29342.32,   342538.17703,  5071199.31446, 11,    87.000
 39,  1,       30085.54,   342843.13394,  5070521.70367, 11,    87.000
 40,  1,       30838.45,   343039.99567,  5069806.23301, 11,    87.000
 41,  1,       31651.49,   343067.04022,  5068995.43675, 11,    84.000
 42,  1,       32498.21,   343012.28327,  5068151.00878, 11,    84.000
 43,  1,       33313.97,   342922.98368,  5067340.19222, 11,    84.000
 44,  1,       34105.22,   342840.07195,  5066553.38770, 11,    86.000
 45,  1,       34849.50,   342762.78309,  5065813.21541, 11,    86.000
 46,  1,       35517.11,   342639.01397,  5065158.84439, 11,    85.000
 47,  1,       36204.46,   342334.15321,  5064557.28963, 11,    85.000
 48,  1,       36965.62,   341837.76574,  5063982.06530, 11,    85.000
 49,  1,       37745.07,   341295.17010,  5063422.49699, 11,    83.000
 50,  1,       38523.75,   340753.10353,  5062863.47431, 11,    83.000
 51,  1,       39305.48,   340208.91027,  5062302.25841, 11,    82.000
 52,  1,       40056.78,   339696.49260,  5061753.02771, 11,    82.000
 53,  1,       40803.39,   339228.51214,  5061172.49152, 11,    84.000
 54,  1,       41607.90,   338778.86566,  5060505.96069, 11,    82.000
 55,  1,       42418.06,   338338.68781,  5059825.91413, 11,    82.000
 56,  1,       43192.14,   337848.94304,  5059231.45779, 11,    81.000
 57,  1,       43981.60,   337271.53827,  5058693.60043, 11,    81.000
 58,  1,       44816.19,   336610.56166,  5058186.93099, 11,    81.000
 59,  1,       45660.00,   335888.42124,  5057752.47675, 11,    81.000
 60,  1,       46468.82,   335171.43833,  5057378.24174, 11,    79.000
 61,  1,       47289.36,   334440.16705,  5057006.04801, 11,    78.000
 62,  1,       48142.28,   333683.97575,  5056611.60789, 11,    78.000
 63,  1,       48964.72,   332983.49169,  5056183.47159, 11,    81.000
 64,  1,       49761.52,   332324.02158,  5055736.43843, 11,    82.000
 65,  1,       50565.47,   331663.37952,  5055278.73562, 11,    82.000
 66,  1,       51384.38,   330977.19461,  5054834.06770, 11,    78.000
 67,  1,       52189.08,   330264.78158,  5054461.27376, 11,    78.000
 68,  1,       52938.08,   329572.48819,  5054178.35036, 11,    78.000
 69,  1,       53666.48,   328874.23376,  5053973.59061, 11,    81.000
 70,  1,       54413.94,   328142.91649,  5053821.29169, 11,    82.000
 71,  1,       55188.21,   327378.06670,  5053701.40943, 11,    81.000
 72,  1,       55980.77,   326596.62609,  5053570.60651, 11,    81.000
 73,  1,       56812.80,   325783.33912,  5053395.81062, 11,    80.000
 74,  1,       57712.02,   324895.73143,  5053305.24097, 11,    77.000
 75,  1,       58588.89,   324019.93453,  5053342.68419, 11,    77.000
 76,  1,       59382.75,   323228.58809,  5053405.17957, 11,    79.000
 77,  1,       60162.98,   322453.72317,  5053494.50250, 11,    79.000
 78,  1,       60948.22,   321679.24087,  5053622.51033, 11,    79.000
