TITLE = "PARTICLE INFO for Branch     1"
VARIABLES = "X", "Z", "FSIZE", "FAGE", "WATER", "ISEG", "K"
ZONE T="JDAY   4384.00", I=      1, F=POINT
           0.01      0.01     0.00     0.00  -1   0   0
TEXT X=47, Y=90, F=HELV-BOLD, HU=FRAME, AN=MIDCENTER,C=RED, H=2.5, T="   January  1, 2012     12am    (JDAY4384.000)", ZN=     1
TEXT X=30.0, Y=21.0, F=HELV-BOLD, HU=FRAME,AN=MIDRIGHT, C=BLACK, H=2.1, T="     0", ZN=     1
TEXT X=25.0, Y=25.0, F=HELV-BOLD, HU=FRAME,AN=MIDCENTER, C=BLACK, H=2.1, T="# of Particles"
  
ZONE T="JDAY   4385.00", I=    321, F=POINT
           0.01      0.01     0.00     0.00  -1   0   0
       28428.43    294.03     0.00     0.50   1  58 103
       27089.13    295.44     0.00     0.50   1  55 103
       27052.05    294.83     0.00     0.50   1  55 103
       27995.90    294.37     0.00     0.50   1  57 103
       27968.78    295.12     0.00     0.50   1  57 103
       27472.43    295.90     0.00     0.50   1  56 103
       28357.20    295.81     0.00     0.50   1  58 103
       28191.15    294.44     0.00     0.50   1  58 103
       27412.01    295.05     0.00     0.50   1  56 103
       27342.12    294.43     0.00     0.50   1  56 103
       28849.53    295.73     0.00     0.50   1  59 103
       27215.39    295.04     0.00     0.50   1  56 103
       27161.79    295.37     0.00     0.50   1  55 103
       28602.25    295.38     0.00     0.50   1  58 103
       28015.96    299.01     0.00     0.50   1  57 101
       28588.16    295.89     0.00     0.50   1  58 103
       28247.97    295.22     0.00     0.50   1  58 103
       28870.26    295.19     0.00     0.50   1  59 103
       28191.82    295.26     0.00     0.50   1  58 103
       28700.21    294.45     0.00     0.50   1  59 103
       28566.83    294.35     0.00     0.50   1  58 103
       29553.24    294.68     0.00     0.50   1  60 103
       29552.85    294.92     0.00     0.50   1  60 103
       28772.55    295.32     0.00     0.50   1  59 103
       28690.11    295.30     0.00     0.50   1  58 103
       28811.98    294.34     0.00     0.50   1  59 103
       28666.82    295.43     0.00     0.50   1  58 103
       28984.53    295.21     0.00     0.50   1  59 103
       30087.74    272.01     0.00     0.50   1  61 114
       30055.87    262.17     0.00     0.50   1  61 119
       29126.53    295.46     0.00     0.50   1  59 103
       29225.41    295.96     0.00     0.50   1  60 103
       30135.89    269.42     0.00     0.50   1  61 116
       30082.79    278.66     0.00     0.50   1  61 111
       30228.33    282.84     0.00     0.50   1  62 109
       28541.12    295.28     0.00     0.50   1  58 103
       30093.17    271.87     0.00     0.50   1  61 115
       29160.59    294.35     0.00     0.50   1  59 103
       30045.15    254.78     0.00     0.50   1  61 123
       30286.79    279.92     0.00     0.50   1  62 111
       29061.13    295.97     0.00     0.50   1  59 103
       29045.39    295.19     0.00     0.50   1  59 103
       30266.95    275.49     0.00     0.50   1  62 113
       29478.63    295.71     0.00     0.50   1  60 103
       30297.68    282.92     0.00     0.50   1  62 109
       30096.55    254.00     0.00     0.50   1  61 124
       30245.44    274.44     0.00     0.50   1  62 113
       30250.92    273.60     0.00     0.50   1  62 114
       30155.85    258.43     0.00     0.50   1  61 121
       30292.91    278.39     0.00     0.50   1  62 111
       30081.00    281.93     0.00     0.50   1  61 110
       29794.19    293.98     0.00     0.50   1  61 104
       30190.08    268.81     0.00     0.50   1  61 116
       30246.17    274.39     0.00     0.50   1  62 113
       29720.56    295.71     0.00     0.50   1  61 103
       30238.12    275.70     0.00     0.50   1  62 113
       30102.81    256.71     0.00     0.50   1  61 122
       29413.32    295.83     0.00     0.50   1  60 103
       30239.50    276.00     0.00     0.50   1  62 113
       30210.10    270.99     0.00     0.50   1  62 115
       30096.38    257.26     0.00     0.50   1  61 122
       30265.34    282.85     0.00     0.50   1  62 109
       30105.27    258.67     0.00     0.50   1  61 121
       30125.52    262.56     0.00     0.50   1  61 119
       30131.61    262.51     0.00     0.50   1  61 119
       30237.99    283.72     0.00     0.50   1  62 109
       29619.09    295.24     0.00     0.50   1  60 103
       30225.02    283.43     0.00     0.50   1  62 109
       30143.52    262.89     0.00     0.50   1  61 119
       30089.71    262.72     0.00     0.50   1  61 119
       30241.79    282.32     0.00     0.50   1  62 109
       30118.78    262.47     0.00     0.50   1  61 119
       30164.72    269.48     0.00     0.50   1  61 116
       30040.28    258.34     0.00     0.50   1  61 121
       30066.36    261.83     0.00     0.50   1  61 120
       30061.58    259.23     0.00     0.50   1  61 121
       29669.14    295.03     0.00     0.50   1  60 103
       29813.41    294.31     0.00     0.50   1  61 103
       30034.48    255.11     0.00     0.50   1  61 123
       30219.99    282.74     0.00     0.50   1  62 109
       30166.26    279.31     0.00     0.50   1  61 111
       30142.59    271.00     0.00     0.50   1  61 115
       30155.55    287.84     0.00     0.50   1  61 107
       30179.22    278.23     0.00     0.50   1  61 111
       30006.56    293.61     0.00     0.50   1  61 104
       30019.50    256.17     0.00     0.50   1  61 122
       30183.19    282.61     0.00     0.50   1  61 109
       30023.68    258.09     0.00     0.50   1  61 121
       29909.40    244.09     0.00     0.50   1  61 128
       29925.05    244.67     0.00     0.50   1  61 128
       30140.49    276.95     0.00     0.50   1  61 112
       29949.36    248.18     0.00     0.50   1  61 126
       29926.62    244.40     0.00     0.50   1  61 128
       29900.85    243.37     0.00     0.50   1  61 129
       30181.28    283.09     0.00     0.50   1  61 109
       30075.14    269.42     0.00     0.50   1  61 116
       29906.38    243.93     0.00     0.50   1  61 129
       29899.37    242.96     0.00     0.50   1  61 129
       29906.74    244.71     0.00     0.50   1  61 128
       29888.01    244.46     0.00     0.50   1  61 128
       29930.74    251.43     0.00     0.50   1  61 125
       29889.56    244.68     0.00     0.50   1  61 128
       29889.27    244.80     0.00     0.50   1  61 128
       29888.49    244.47     0.00     0.50   1  61 128
       29954.01    254.02     0.00     0.50   1  61 123
       27759.42    295.38     0.00     0.50   1  57 103
       27713.31    295.13     0.00     0.50   1  57 103
       27813.03    295.47     0.00     0.50   1  57 103
       27744.67    295.31     0.00     0.50   1  57 103
       27742.75    295.25     0.00     0.50   1  57 103
       27897.99    294.89     0.00     0.50   1  57 103
       28412.81    295.70     0.00     0.50   1  58 103
       27812.78    295.15     0.00     0.50   1  57 103
       28762.88    294.74     0.00     0.50   1  59 103
       29129.51    295.89     0.00     0.50   1  59 103
       27840.05    295.49     0.00     0.50   1  57 103
       28047.57    295.50     0.00     0.50   1  57 103
       28591.42    294.97     0.00     0.50   1  58 103
       27763.42    293.99     0.00     0.50   1  57 104
       28090.13    295.80     0.00     0.50   1  57 103
       28562.54    295.65     0.00     0.50   1  58 103
       28119.93    295.55     0.00     0.50   1  57 103
       29491.86    295.21     0.00     0.50   1  60 103
       30252.34    289.92     0.00     0.50   1  62 106
       29491.27    295.66     0.00     0.50   1  60 103
       29187.51    295.55     0.00     0.50   1  59 103
       29631.64    295.39     0.00     0.50   1  60 103
       30447.82    281.90     0.00     0.50   1  62 110
       30000.29    298.92     0.00     0.50   1  61 101
       29723.08    294.99     0.00     0.50   1  61 103
       30049.02    295.45     0.00     0.50   1  61 103
       29813.21    295.05     0.00     0.50   1  61 103
       30142.94    294.87     0.00     0.50   1  61 103
       30426.97    288.96     0.00     0.50   1  62 106
       30443.31    295.31     0.00     0.50   1  62 103
       30431.89    297.01     0.00     0.50   1  62 102
       30233.84    294.52     0.00     0.50   1  62 103
       30498.53    290.16     0.00     0.50   1  62 105
       30452.00    288.25     0.00     0.50   1  62 106
       30456.25    288.17     0.00     0.50   1  62 106
       30789.72    279.18     0.00     0.50   1  63 111
       30429.84    291.74     0.00     0.50   1  62 105
       30786.90    299.62     0.00     0.50   1  63 101
       30590.01    296.01     0.00     0.50   1  62 102
       30802.67    277.07     0.00     0.50   1  63 112
       30797.54    290.50     0.00     0.50   1  63 105
       30804.84    278.57     0.00     0.50   1  63 111
       30706.91    294.79     0.00     0.50   1  63 103
       30578.27    289.78     0.00     0.50   1  62 106
       30579.08    291.90     0.00     0.50   1  62 105
       30788.59    291.33     0.00     0.50   1  63 105
       30792.87    282.34     0.00     0.50   1  63 109
       30792.25    289.38     0.00     0.50   1  63 106
       30785.77    280.34     0.00     0.50   1  63 110
       30786.83    274.56     0.00     0.50   1  63 113
       30790.04    273.91     0.00     0.50   1  63 114
       30768.46    276.40     0.00     0.50   1  63 112
       30777.87    292.14     0.00     0.50   1  63 104
       30778.12    273.17     0.00     0.50   1  63 114
       30775.91    277.16     0.00     0.50   1  63 112
       30776.22    275.85     0.00     0.50   1  63 113
       30758.39    274.90     0.00     0.50   1  63 113
       30733.99    274.41     0.00     0.50   1  63 113
       30731.95    282.02     0.00     0.50   1  63 109
       30746.52    274.99     0.00     0.50   1  63 113
       30723.04    276.44     0.00     0.50   1  63 112
       30709.77    283.08     0.00     0.50   1  63 109
       30714.74    275.37     0.00     0.50   1  63 113
       30718.09    265.86     0.00     0.50   1  63 118
       30707.03    272.37     0.00     0.50   1  63 114
       30703.33    273.65     0.00     0.50   1  62 114
       30665.58    273.10     0.00     0.50   1  62 114
       30686.26    272.25     0.00     0.50   1  62 114
       30677.71    272.09     0.00     0.50   1  62 114
       30668.77    271.58     0.00     0.50   1  62 115
       30664.75    270.76     0.00     0.50   1  62 115
       30669.49    270.49     0.00     0.50   1  62 115
       30657.68    268.98     0.00     0.50   1  62 116
       30644.06    268.94     0.00     0.50   1  62 116
       30632.21    268.61     0.00     0.50   1  62 116
       30623.81    268.12     0.00     0.50   1  62 116
       30617.44    267.34     0.00     0.50   1  62 117
       30611.95    267.01     0.00     0.50   1  62 117
       30610.87    266.66     0.00     0.50   1  62 117
       30601.83    265.94     0.00     0.50   1  62 118
       30584.95    265.54     0.00     0.50   1  62 118
       30585.40    264.68     0.00     0.50   1  62 118
       30582.14    264.35     0.00     0.50   1  62 118
       30569.45    263.94     0.00     0.50   1  62 119
       30567.59    263.20     0.00     0.50   1  62 119
       30545.86    262.75     0.00     0.50   1  62 119
       30539.73    262.40     0.00     0.50   1  62 119
       30543.15    261.30     0.00     0.50   1  62 120
       30536.26    261.07     0.00     0.50   1  62 120
       30532.12    260.34     0.00     0.50   1  62 120
       30522.14    260.11     0.00     0.50   1  62 120
       30518.27    259.46     0.00     0.50   1  62 121
       30512.20    259.00     0.00     0.50   1  62 121
       30491.39    258.22     0.00     0.50   1  62 121
       30489.12    257.89     0.00     0.50   1  62 122
       30480.58    257.66     0.00     0.50   1  62 122
       30477.27    257.02     0.00     0.50   1  62 122
       30454.61    256.35     0.00     0.50   1  62 122
       30460.43    255.68     0.00     0.50   1  62 123
       30455.44    255.25     0.00     0.50   1  62 123
       30452.50    254.67     0.00     0.50   1  62 123
       30447.73    253.97     0.00     0.50   1  62 124
       30442.43    253.50     0.00     0.50   1  62 124
       30432.29    253.15     0.00     0.50   1  62 124
       30423.81    252.43     0.00     0.50   1  62 124
       29447.96    295.77     0.00     0.50   1  60 103
       28502.72    294.70     0.00     0.50   1  58 103
       28866.73    294.90     0.00     0.50   1  59 103
       29029.41    294.39     0.00     0.50   1  59 103
       29235.65    295.80     0.00     0.50   1  60 103
       28646.36    295.45     0.00     0.50   1  58 103
       28495.21    295.94     0.00     0.50   1  58 103
       28481.33    295.42     0.00     0.50   1  58 103
       28703.68    295.62     0.00     0.50   1  59 103
       28994.68    295.90     0.00     0.50   1  59 103
       30423.02    291.57     0.00     0.50   1  62 105
       28491.84    295.33     0.00     0.50   1  58 103
       28379.73    295.93     0.00     0.50   1  58 103
       29743.90    294.48     0.00     0.50   1  61 103
       29154.18    295.84     0.00     0.50   1  59 103
       29617.08    294.31     0.00     0.50   1  60 103
       29822.59    294.42     0.00     0.50   1  61 103
       29654.57    295.71     0.00     0.50   1  60 103
       29701.99    295.14     0.00     0.50   1  61 103
       29718.68    295.45     0.00     0.50   1  61 103
       29664.72    295.23     0.00     0.50   1  60 103
       29959.64    294.61     0.00     0.50   1  61 103
       30885.66    255.84     0.00     0.50   1  63 123
       30844.65    248.38     0.00     0.50   1  63 126
       30060.77    294.29     0.00     0.50   1  61 103
       30161.50    293.94     0.00     0.50   1  61 104
       30288.53    290.99     0.00     0.50   1  62 105
       30229.98    289.06     0.00     0.50   1  62 106
       30960.72    290.69     0.00     0.50   1  63 105
       30658.93    289.77     0.00     0.50   1  62 106
       30064.19    293.99     0.00     0.50   1  61 104
       30289.79    289.86     0.00     0.50   1  62 106
       31014.11    277.80     0.00     0.50   1  63 112
       30389.75    288.14     0.00     0.50   1  62 106
       31035.14    288.13     0.00     0.50   1  63 106
       30968.04    258.43     0.00     0.50   1  63 121
       30992.73    283.33     0.00     0.50   1  63 109
       30989.83    263.95     0.00     0.50   1  63 119
       30952.54    256.88     0.00     0.50   1  63 122
       30169.35    294.98     0.00     0.50   1  61 103
       30961.50    260.29     0.00     0.50   1  63 120
       30496.23    295.07     0.00     0.50   1  62 103
       30633.51    294.47     0.00     0.50   1  62 103
       30650.23    292.45     0.00     0.50   1  62 104
       30959.50    295.17     0.00     0.50   1  63 103
       31009.18    293.06     0.00     0.50   1  63 104
       31032.88    266.71     0.00     0.50   1  63 117
       30292.52    288.85     0.00     0.50   1  62 106
       30440.85    295.42     0.00     0.50   1  62 103
       30996.69    299.00     0.00     0.50   1  63 101
       31032.79    271.27     0.00     0.50   1  63 115
       31060.73    294.63     0.00     0.50   1  63 103
       30917.57    249.50     0.00     0.50   1  63 126
       31013.86    292.90     0.00     0.50   1  63 104
       30655.04    289.04     0.00     0.50   1  62 106
       30618.75    290.51     0.00     0.50   1  62 105
       30958.35    271.79     0.00     0.50   1  63 115
       31009.74    267.19     0.00     0.50   1  63 117
       31002.71    266.72     0.00     0.50   1  63 117
       31054.74    281.98     0.00     0.50   1  63 110
       31002.20    299.00     0.00     0.50   1  63 101
       30938.19    254.64     0.00     0.50   1  63 123
       30852.50    235.68     0.00     0.50   1  63 133
       31053.47    283.35     0.00     0.50   1  63 109
       30999.66    293.82     0.00     0.50   1  63 104
       30967.22    262.09     0.00     0.50   1  63 119
       30871.67    242.62     0.00     0.50   1  63 129
       30980.86    267.21     0.00     0.50   1  63 117
       30926.73    253.64     0.00     0.50   1  63 124
       30916.81    255.86     0.00     0.50   1  63 123
       30991.81    270.53     0.00     0.50   1  63 115
       30820.76    233.01     0.00     0.50   1  63 134
       30977.61    268.25     0.00     0.50   1  63 116
       30945.10    262.53     0.00     0.50   1  63 119
       30930.93    255.91     0.00     0.50   1  63 123
       30955.49    269.47     0.00     0.50   1  63 116
       30914.56    258.02     0.00     0.50   1  63 121
       30991.09    266.42     0.00     0.50   1  63 117
       30881.16    250.38     0.00     0.50   1  63 125
       31036.68    269.97     0.00     0.50   1  63 116
       30878.18    250.59     0.00     0.50   1  63 125
       30869.12    250.74     0.00     0.50   1  63 125
       30897.83    258.93     0.00     0.50   1  63 121
       30825.67    238.46     0.00     0.50   1  63 131
       30759.25    224.86     0.00     0.50   1  63 138
       30877.44    252.80     0.00     0.50   1  63 124
       30813.18    239.36     0.00     0.50   1  63 131
       30839.85    243.02     0.00     0.50   1  63 129
       30846.53    246.07     0.00     0.50   1  63 127
       30949.97    270.79     0.00     0.50   1  63 115
       30806.88    237.45     0.00     0.50   1  63 132
