      DO_interval, Fraction_of_volume, 
   10.0000,  0.0000E+00,
    9.5000,  0.0000E+00,
    9.0000,  0.0000E+00,
    8.5000,  0.0000E+00,
    8.0000,  0.6640E-03,
    7.5000,  0.1668E-02,
    7.0000,  0.1455E-02,
    6.5000,  0.2910E-02,
    6.0000,  0.2029E-01,
    5.5000,  0.6249E-01,
    5.0000,  0.2954E+00,
    4.5000,  0.4142E+00,
    4.0000,  0.1993E+00,
    3.5000,  0.1547E-02,
    3.0000,  0.2375E-04,
    2.5000,  0.0000E+00,
    2.0000,  0.0000E+00,
    1.5000,  0.0000E+00,
    1.0000,  0.0000E+00,
    0.5000,  0.0000E+00,

 0,   0.1000E+01,

 0,   0.4953E+01,
