    CHLA_interval, Fraction_of_volume,
   20.0000,  0.0000E+00,
   19.0000,  0.0000E+00,
   18.0000,  0.0000E+00,
   17.0000,  0.0000E+00,
   16.0000,  0.0000E+00,
   15.0000,  0.0000E+00,
   14.0000,  0.0000E+00,
   13.0000,  0.0000E+00,
   12.0000,  0.0000E+00,
   11.0000,  0.0000E+00,
   10.0000,  0.0000E+00,
    9.0000,  0.0000E+00,
    8.0000,  0.0000E+00,
    7.0000,  0.0000E+00,
    6.0000,  0.0000E+00,
    5.0000,  0.0000E+00,
    4.0000,  0.0000E+00,
    3.0000,  0.4850E-02,
    2.0000,  0.2738E-01,
    1.0000,  0.9678E+00,

 0,   0.1000E+01,

 0,   0.8651E+00,
