 "Temperature interval,","Fraction of volume"
 30.00,  0.0000E+00,
 29.00,  0.0000E+00,
 28.00,  0.0000E+00,
 27.00,  0.6294E-03,
 26.00,  0.1254E-01,
 25.00,  0.2186E+00,
 24.00,  0.7682E+00,
 23.00,  0.0000E+00,
 22.00,  0.0000E+00,
 21.00,  0.0000E+00,
 20.00,  0.0000E+00,
 19.00,  0.0000E+00,
 18.00,  0.0000E+00,
 17.00,  0.0000E+00,
 16.00,  0.0000E+00,
 15.00,  0.0000E+00,
 14.00,  0.0000E+00,
 13.00,  0.0000E+00,
 12.00,  0.0000E+00,
 11.00,  0.0000E+00,

 0,   0.1000E+01

 0,   0.2507E+02
