"Name","Inflow/Outflow","Type","Units","Q_Column","Filename","Output_Timestep"
"qin_br1","inflow","upstream branch inflow","m^3/s","1/1","qin_br1.csv",    1.000000
"qin_br2","inflow","upstream branch inflow","m^3/s","1/1","qin_br2.csv",    1.593635
"qin_br3","inflow","upstream branch inflow","m^3/s","1/1","qin_br3.csv", 6087.000000
"qin_br4","inflow","upstream branch inflow","m^3/s","1/1","qin_br4.csv",    1.272360
"qin_br6","inflow","upstream branch inflow","m^3/s","1/1","qin_br6.csv",    1.228908
"qdt_br1","inflow","distributed tributary","m^3/s","1/1","qdt_br1.csv",    1.000000
"qtr_1_seg7","inflow","tributary","m^3/s","1/1","qtr_tr1.csv",   30.935484
"wd_1_seg84","outflow","lateral withdrawal","m^3/s","1/5","qwd.csv",    1.000000
"wd_2_seg84","outflow","lateral withdrawal","m^3/s","2/5","qwd.csv",    1.000000
"wd_3_seg84","outflow","lateral withdrawal","m^3/s","3/5","qwd.csv",    1.000000
"wd_4_seg84","outflow","lateral withdrawal","m^3/s","4/5","qwd.csv",    1.000000
"wd_5_seg84","outflow","lateral withdrawal","m^3/s","5/5","qwd.csv",    1.000000
"str_br1_1","outflow","structural withdrawal","m^3/s","1/5","qot_br1.csv",    1.000000
"str_br1_2","outflow","structural withdrawal","m^3/s","2/5","qot_br1.csv",    1.000000
"str_br1_3","outflow","structural withdrawal","m^3/s","3/5","qot_br1.csv",    1.000000
"str_br1_4","outflow","structural withdrawal","m^3/s","4/5","qot_br1.csv",    1.000000
"str_br1_5","outflow","structural withdrawal","m^3/s","5/5","qot_br1.csv",    1.000000
