"Segment#","WSEL_m"
"       1"," 300.000"
"       2"," 300.000"
"       3"," 300.000"
"       4"," 300.000"
"       5"," 300.000"
"       6"," 300.000"
"       7"," 300.000"
"       8"," 300.000"
"       9"," 300.000"
"      10"," 300.000"
"      11"," 300.000"
"      12"," 300.000"
"      13"," 300.000"
"      14"," 300.000"
"      15"," 300.000"
"      16"," 300.000"
"      17"," 300.000"
"      18"," 300.000"
"      19"," 300.000"
"      20"," 300.000"
"      21"," 300.000"
"      22"," 300.000"
"      23"," 300.000"
"      24"," 300.000"
"      25"," 300.000"
"      26"," 300.000"
"      27"," 300.000"
"      28"," 300.000"
"      29"," 300.000"
"      30"," 300.000"
"      31"," 300.000"
"      32"," 300.000"
"      33"," 300.000"
"      34"," 300.000"
"      35"," 300.000"
"      36"," 300.000"
"      37"," 300.000"
"      38"," 300.000"
"      39"," 300.000"
"      40"," 300.000"
"      41"," 300.000"
"      42"," 300.000"
"      43"," 300.000"
"      44"," 300.000"
"      45"," 300.000"
"      46"," 300.000"
"      47"," 300.000"
"      48"," 300.000"
"      49"," 300.000"
"      50"," 300.000"
"      51"," 300.000"
"      52"," 300.000"
"      53"," 300.000"
"      54"," 300.000"
"      55"," 300.000"
"      56"," 300.000"
"      57"," 300.000"
"      58"," 300.000"
"      59"," 300.000"
"      60"," 300.000"
"      61"," 300.000"
"      62"," 300.000"
"      63"," 300.000"
"      64"," 300.000"
"      65"," 300.000"
"      66"," 300.000"
"      67"," 300.000"
"      68"," 300.000"
"      69"," 300.000"
"      70"," 300.000"
"      71"," 300.000"
"      72"," 300.000"
"      73"," 300.000"
"      74"," 300.000"
"      75"," 300.000"
"      76"," 300.000"
"      77"," 300.000"
"      78"," 300.000"
"      79"," 300.000"
"      80"," 300.000"
"      81"," 300.000"
"      82"," 300.000"
"      83"," 300.000"
"      84"," 300.000"
"      85"," 300.000"
"      86"," 300.000"
"      87"," 300.000"
"      88"," 300.000"
"      89"," 300.000"
"      90"," 300.000"
"      91"," 300.000"
"      92"," 300.000"
"      93"," 300.000"
"      94"," 300.000"
"      95"," 300.000"
"      96"," 300.000"
"      97"," 300.000"
"      98"," 300.000"
"      99"," 300.000"
"     100"," 300.000"
"     101"," 300.000"
"     102"," 300.000"
"     103"," 300.000"
"     104"," 300.000"
"     105"," 300.000"
"     106"," 300.000"
"     107"," 300.000"
"     108"," 300.000"
"     109"," 300.000"
"     110"," 300.000"
"     111"," 300.000"
"     112"," 300.000"
"     113"," 300.000"
"     114"," 300.000"
"     115"," 300.000"
"     116"," 300.000"
"     117"," 300.000"
"     118"," 300.000"
"     119"," 300.000"
"     120"," 300.000"
"     121"," 300.000"
"     122"," 300.000"
"     123"," 300.000"
"     124"," 300.000"
"     125"," 300.000"
"     126"," 300.000"
"     127"," 300.000"
"     128"," 300.000"
"     129"," 300.000"
"     130"," 300.000"
"     131"," 300.000"
"     132"," 300.000"
"     133"," 300.000"
