"Name","Segment","Parameter","Units","Data_Column","Filename","Output_Timestep"
"Time Series File 1 Segment 64 Depth 0.00 m","64","DLT","s","1/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","ELWS","m","2/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","T2","Celsius","3/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","U","m/s","4/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","Q","m^3/s","5/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","SRON","W/m^2","6/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","EXT","1/m","7/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","Depth","m","8/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","WIDTH","m","9/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","SHADE","","10/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","Tvolavg","W/m^2","11/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","NetRad","W/m^2","12/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","SWSolar","W/m^2","13/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","LWRad","W/m^2","14/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","BackRad","W/m^2","15/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","EvapF","W/m^2","16/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","ConducF","W/m^2","17/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","TDS","g/m^3","18/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","Gen1","days","19/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","Gen2","g/m^3","20/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","Gen3","g/m^3","21/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","Gen4","g/m^3","22/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","Gen5","g/m^3","23/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","ISS2","g/m^3","24/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","PO4","g/m^3","25/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","NH4","g/m^3","26/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","NO3","g/m^3","27/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","LDOM","g/m^3","28/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","RDOM","g/m^3","29/71","tsr_1_seg64.opt",    1.000000
"Time Series File 1 Segment 64 Depth 0.00 m","64","LPOM","g/m^3","30/71","tsr_1_seg64.opt",    1.000000
