$ DLS 2011 2017-11-16 by 1_CWMS_weather_station_read_plot_v3.py,,,,,,
CWMS paths:,DLS.Temp-Air.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Temp-DewPoint.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Speed-Wind.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Dir-Wind.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.%-CloudCover.Inst.1Hour.0.METAR-COMPUTED-REV,TDA.Pres-Air.Inst.1Hour.0.GOES-REV; fill with JHAW/JDA linTrend of TDDO
JDAY,TAIR_C,TDEW_C,WIND_ms,PHI_rad,CLOUD_0_10,BP_mmHg
1.000000,-6.1,-10,0,0,0,763.104969
1.041670,-6.7,-10.6,0,0,0,763.104969
1.083330,-6.7,-11.1,0,0,0,763.104969
1.125000,-7.8,-11.7,1.34,1.92,0,763.104969
1.166670,-7.2,-11.7,0,0,0,764.068069
1.208330,-7.2,-11.7,1.34,1.92,0,764.068069
1.250000,-8.3,-11.7,0,0,0,764.068069
1.291670,-8.3,-12.2,0,0,0,765.031169
1.333330,-8.9,-12.8,1.34,1.92,0,765.031169
1.375000,-7.2,-10.6,0,0,0,765.994269
1.416670,-5,-9.4,0,0,2,765.994269
1.458330,-3.3,-8.9,0,0,0,765.994269
1.500000,-2.2,-9.4,2.68,1.04,0,765.031169
1.541670,-2.2,-9.4,2.23,0.69,0,765.031169
1.583330,-1.1,-8.9,4.02,0.87,10,765.031169
1.625000,-1.7,-8.9,3.57,1.22,7.5,765.031169
1.666670,-1.7,-8.9,4.02,1.22,10,765.031169
1.708330,-1.7,-8.9,2.68,1.57,10,765.031169
1.750000,-1.7,-8.9,2.23,1.92,10,765.031169
1.791670,-2.2,-8.9,3.57,1.57,10,765.031169
1.833330,-2.2,-8.9,2.23,1.57,10,765.031169
1.875000,-2.2,-8.9,2.68,1.57,10,765.031169
1.916670,-2.2,-8.9,2.68,1.74,10,765.031169
1.958330,-2.8,-9.4,3.57,1.39,10,765.994269
2.000000,-2.8,-8.9,3.57,1.57,10,765.031169
2.041670,-3.9,-9.4,1.34,1.92,4.4,765.031169
2.083330,-5,-9.4,1.34,2.26,0,765.031169
2.125000,-5,-10,2.23,1.57,0,765.994269
2.166670,-5,-9.4,2.23,1.74,10,765.994269
2.208330,-4.4,-8.9,1.34,1.39,10,765.994269
2.250000,-5,-9.4,3.12,1.57,2,765.994269
2.291670,-5.6,-10,3.12,1.92,0,765.994269
2.333330,-5.6,-10,2.23,1.74,0,765.994269
2.375000,-5,-9.4,3.12,1.92,4.4,766.957369
2.416670,-3.3,-8.9,4.47,1.57,10,766.957369
2.458330,-2.2,-9.4,3.57,1.57,0,766.957369
2.500000,-2.8,-9.4,4.02,1.22,2,765.994269
2.541670,-1.1,-8.9,4.02,1.04,4.4,765.994269
2.583330,-1.7,-8.9,4.47,1.22,0,765.031169
2.625000,-1.1,-8.9,4.02,1.22,0,765.031169
2.666670,-2.2,-8.9,5.81,1.22,0,765.994269
2.708330,-3.3,-8.9,4.02,1.39,0,765.994269
2.750000,-3.9,-8.9,2.68,1.57,0,765.994269
2.791670,-5.6,-9.4,2.68,2.26,0,765.994269
2.833330,-6.1,-10,0,0,0,765.994269
2.875000,-6.1,-10,0,0,0,765.994269
2.916670,-5.6,-10,0,0,7.5,766.957369
2.958330,-5,-9.4,0,0,10,766.957369
3.000000,-5,-9.4,0,0,10,766.957369
3.041670,-5.6,-10,1.34,1.92,10,766.957369
3.083330,-7.2,-11.1,2.23,1.92,2,766.957369
3.125000,-7.8,-11.1,3.12,1.92,0,766.957369
3.166670,-7.8,-11.7,1.34,1.92,0,766.957369
3.208330,-8.9,-11.7,1.34,1.92,0,766.957369
3.250000,-8.9,-12.2,2.23,2.09,0,766.957369
3.291670,-8.9,-12.2,2.23,1.92,0,766.957369
3.333330,-8.9,-12.2,2.68,2.09,7.5,767.920469
3.375000,-6.7,-10.6,0,0,2,767.920469
3.416670,-5.6,-10,0,0,0,768.883569
3.458330,-3.3,-8.9,0,0,0,767.920469
3.500000,-2.2,-9.4,0,0,0,767.920469
3.541670,-1.7,-9.4,0,0,0,766.957369
3.583330,-0.6,-8.9,0,0,0,765.994269
3.625000,-0.6,-8.9,0,0,0,765.994269
3.666670,-2.2,-8.9,0,0,0,765.994269
3.708330,-2.8,-8.9,1.34,4.71,2,765.994269
3.750000,-3.3,-8.3,0,0,0,766.957369
3.791670,-3.9,-8.9,2.23,1.57,0,766.957369
3.833330,-3.9,-8.3,3.57,1.74,0,766.957369
3.875000,-4.4,-8.9,1.34,2.96,0,766.957369
3.916670,-6.1,-8.9,1.34,3.84,0,766.957369
3.958330,-6.1,-9.4,0,0,0,766.957369
4.000000,-6.7,-9.4,0,0,0,766.957369
4.041670,-7.8,-10,0,0,0,766.957369
4.083330,-7.2,-10.6,1.34,1.92,10,766.957369
4.125000,-7.2,-10,2.23,1.74,10,766.957369
4.166670,-6.7,-9.4,0,0,10,766.957369
4.208330,-6.1,-8.9,0,0,10,766.957369
4.250000,-5.6,-8.3,0,0,10,766.957369
4.291670,-4.4,-7.8,0,0,10,766.957369
4.333330,-4.4,-7.2,0,0,10,766.957369
4.375000,-3.9,-7.2,0,0,10,765.994269
4.416670,-3.3,-7.8,0,0,10,766.957369
4.458330,-2.8,-7.2,0,0,10,765.994269
4.500000,-1.7,-7.2,0,0,2,765.994269
4.541670,-1.1,-7.8,0,0,0,765.031169
4.583330,-1.1,-7.2,0,0,0,765.031169
4.625000,-1.1,-7.2,0,0,0,764.068069
4.666670,-0.6,-7.2,0,0,0,765.031169
4.708330,-1.1,-6.7,0,0,2,765.031169
4.750000,-1.1,-6.7,0,0,0,765.031169
4.791670,-1.1,-6.7,0,0,2,765.031169
4.833330,-1.1,-6.7,0,0,4.4,765.031169
4.875000,-1.7,-6.1,0,0,0,764.068069
4.916670,-1.1,-6.1,0,0,10,765.031169
4.958330,-1.1,-5.6,0,0,10,765.031169
