Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         494.34,   645028.63079,  5052675.87209, 10,    34.500
  3,  1,        1483.02,   644107.14238,  5052317.61627, 10,    34.500
  4,  1,        2471.70,   643185.65397,  5051959.36045, 10,    26.500
  5,  1,        3460.38,   642264.16555,  5051601.10464, 10,    26.500
  6,  1,        4449.06,   641362.86190,  5051197.74603, 10,    36.500
  7,  1,        5437.74,   640481.74300,  5050749.28464, 10,    37.500
  8,  1,        6426.42,   639600.62410,  5050300.82326, 10,    35.500
  9,  1,        7415.10,   638699.32045,  5049897.46465, 10,    28.500
 10,  1,        8403.78,   637777.83203,  5049539.20883, 10,    28.500
 11,  1,        9392.46,   636856.34362,  5049180.95302, 10,    34.500
 12,  1,       10381.14,   635934.85521,  5048822.69720, 10,    36.500
 13,  1,       11369.82,   635013.36679,  5048464.44138, 10,    35.500
 14,  1,       12358.50,   634091.87838,  5048106.18556, 10,    35.500
 15,  1,       13347.18,   633170.38996,  5047747.92974, 10,    35.500
 16,  1,       14335.86,   632351.60164,  5047227.95518, 10,    31.500
 17,  1,       15324.54,   631635.51340,  5046546.26188, 10,    31.500
 18,  1,       16313.22,   630919.42516,  5045864.56857, 10,    29.500
 19,  1,       17301.90,   630203.33692,  5045182.87527, 10,    29.500
 20,  1,       18290.58,   629487.24868,  5044501.18197, 10,    29.500
 21,  1,       19279.26,   628641.92414,  5044243.58087, 10,    29.500
 22,  1,       20267.94,   627786.01176,  5044656.19326, 10,    26.500
 23,  1,       21256.62,   627219.60943,  5045438.61518, 10,    17.500
 24,  1,       22245.30,   626590.21446,  5046132.65210, 10,    17.500
 25,  1,       23233.98,   625682.26452,  5046241.39854, 10,    27.500
 26,  1,       24222.66,   624789.96641,  5045842.07010, 10,    26.500
 27,  1,       25211.34,   624019.37584,  5045230.56708, 10,    26.500
 28,  1,       26200.02,   623183.34618,  5044998.47211, 10,    20.500
 29,  1,       27188.70,   622211.71475,  5045174.48009, 10,    20.500
 30,  1,       28177.38,   621231.27559,  5045301.86603, 10,    20.500
 31,  1,       29166.05,   620248.26575,  5045404.67156, 10,    21.500
 32,  1,       30154.73,   619262.04880,  5045413.74857, 10,    14.500
 33,  1,       31143.41,   618274.91974,  5045358.61316, 10,    14.500
 34,  1,       32132.09,   617304.89203,  5045201.27789, 10,    -9.500
 35,  1,       33120.77,   616388.00724,  5044844.81181, 10,    -9.500
 36,  1,       34109.45,   615531.47502,  5044353.48807, 10,    -9.500
 37,  1,       35098.13,   614760.88445,  5043741.98505, 10,    -9.500
 38,  1,       36086.81,   614051.64883,  5043053.16507, 10,    -9.500
 39,  1,       37075.49,   613342.41320,  5042364.34509, 10,    -7.500
 40,  1,       38064.17,   612633.17758,  5041675.52512, 10,    -7.500
 41,  1,       39052.85,   611923.94196,  5040986.70514, 10,    19.500
