$ Bathymetry:  The Dalles.  Original provided by WEST consultants via David Gade.  Adjusted to NAVD88 Datum provided by Res-Ops team. ELWS => fill from 1/1/2011 JDA TWelev to 1/1/2011 TDA Fbelev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,,,,,,,,
DLX,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,,,,,,,,
ELWS,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,49.273,,,,,,,,
PHIO,1.48,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.81,0.81,0.81,0.81,0.81,1.74,2.3,2.73,2.08,1.3,1,0.8,1.8,1.7,1.7,1.65,1.51,1.52,1.3,1.1,1,0.8,0.8,0.8,0.8,0.8,1.12,,,,,,,,
FRICT,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),scale
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,615482737.9,498980.7195,55.5,182.0866142,1
1,0,739.59,834.77,765.18,856.66,956.74,953.54,1069.81,1020.58,1135.19,1113.15,1220.75,1030.48,1045.11,1260.09235,1037.19,1464.85,1339.76,1084.73,1255.83,1255.82,1338.56,1393.01,1216.95,884.41,976.68,1145.1186,1012.38,1303.97,1514.82,1554.84,1707.99,1496.54,1231.95,1297.4,1398.21,1311.92,888.08,846.3474,850.36,796.41,0,,2,45089511.05,615482737.9,498980.7195,54.5,178.8057743,1
1,0,739.59,834.77,765.18,856.66,956.74,953.54,1069.81,1020.58,1135.19,1095.351425,1091.626,942.362,1004.3913,1260.09235,997.1181,1440.5325,1261.0433,997.3062,1145.07965,1207.6856,1235.20045,1357.61175,1088.054,787.2821,902.025,1145.1186,987.4794,1219.6176,1493.8902,1550.6964,1674.8633,1486.92005,1179.6378,1245.5184,1398.21,1243.74,834.499,846.3474,819.546,749.2935,0,,3,43521890.72,570393226.9,462426.0036,53.5,175.5249344,1
1,0,739.59,834.77,765.18,856.66,956.74,953.54,1069.81,1020.58,1135.19,1095.351425,936.5898,873.0785,1004.3913,1260.09235,997.1181,1440.5325,1261.0433,997.3062,1145.07965,1207.6856,1235.20045,1357.61175,1088.054,787.2821,834.0145,1145.1186,987.4794,1219.6176,1493.8902,1550.6964,1674.8633,1486.92005,1179.6378,1245.5184,1398.21,1243.74,834.499,846.3474,819.546,733.609,0,,4,43217362.74,526871336.2,427142.18,52.5,172.2440945,1
1,0,739.59,834.77,765.18,856.66,956.74,953.54,1069.81,1020.58,1135.19,1095.351425,936.5898,858.0913,1004.3913,1260.09235,997.1181,1440.5325,1261.0433,997.3062,1145.07965,1207.6856,1235.20045,1357.61175,1088.054,787.2821,834.0145,1145.1186,987.4794,1219.6176,1493.8902,1550.6964,1674.8633,1486.92005,1179.6378,1245.5184,1398.21,1243.74,834.499,846.3474,819.546,726.7975,0,,5,43195810.81,483653973.4,392105.2416,51.5,168.9632546,1.1
1,0,739.59,834.77,765.18,856.66,956.74,846.4253,960.7882,950.354825,1036.618625,1095.351425,936.5898,858.0913,1004.3913,1260.09235,997.1181,1440.5325,1261.0433,997.3062,1145.07965,1207.6856,1235.20045,1357.61175,1088.054,787.2821,834.0145,1145.1186,987.4794,1219.6176,1493.8902,1550.6964,1674.8633,1486.92005,1179.6378,1245.5184,1398.21,1154.18,834.499,846.3474,819.546,686.6904,0,,6,42687035.93,440458162.6,357085.7757,50.5,165.6824147,1.15
1,0,739.59,834.77,765.18,856.66,956.74,845.1618,916.7994,851.9106,970.368,1095.351425,936.5898,835.449,1004.3913,1260.09235,997.1181,1440.5325,1261.0433,997.3062,1145.07965,1207.6856,1235.20045,1357.61175,1088.054,787.2821,834.0145,1145.1186,987.4794,1219.6176,1493.8902,1550.6964,1649.295,1452.5196,1179.6378,1245.5184,1398.21,1093.6248,813.0936,846.3474,819.546,686.6904,0,,7,42316756.68,397771126.7,322478.7809,49.5,162.4015748,1.2
1,0,549.2,633.0166667,559.9833333,571.325,684.15,600.65,614.5833333,485.7083333,569.7833333,776.75,673.1416667,598.0333333,777.8416667,991.375,767.5,1128.525,934.175,738.7083333,860.0833333,916.975,936.0333333,1011.925,831.6666667,599.4833333,602.025,834.6333333,715.9333333,886.15,1085.591667,1113.916667,1161.583333,1002.858333,846.7916667,902.2333333,1017.441667,795.625,587.4,609,581,496.7666667,0,,8,30698085.57,355454370,288171.9769,48.5,159.1207349,1
1,0,467.6536667,503.5658333,466.4353333,463.7263333,572.4088333,502.1826667,480.4963333,341.506,397.5565,621.3213333,572.5736667,510.023,663.6261667,843.23,651.579,966.6901667,789.394,625.9151667,731.0358333,771.0688333,765.3211667,845.0288333,706.1388333,509.8581667,513.979,714.8678333,612.2125,758.047,924.027,950.0133333,974.0933333,830.029,720.4721667,772.194,872.2621667,680.561,500.8425,512.9756667,484.9181667,424.9475,0,,9,25720290.55,324756284.4,263284.5968,47.5,155.839895,
1,0,387.93,400.23,383.976,361.554,454.848,410.292,395.748,279.75,326.568,501.234,463.638,424.08,550.182,669.438,533.274,798.516,650.424,518.046,604.38,633.588,603.42,692.412,585.036,419.814,426.516,584.52,509.736,632.196,760.932,788.568,795.792,675.3,595.392,645.156,728.88,567.432,416.562,418.428,395.784,354.726,0,,10,21102680.55,299035993.9,242432.7868,46.5,152.5590551,
1,0,378.898,369.7943,371.6056,327.2848,416.5518,388.8513,376.4023,268.0075,315.6087,472.0354,433.7916,414.4455,521.3476,606.4846,502.9219,769.1358,628.2792,503.329,585.9703,606.0893,557.1547,665.3076,567.816,405.1766,414.8526,559.1843,498.5854,618.8864,731.2342,768.9647,753.017,653.4486,574.8547,633.2234,715.5815,557.0544,407.0823,403.7075,379.0986,347.3389,0,,11,20236701.57,277933313.3,225324.5398,45.5,149.2782152,
1,0,361.6749545,329.3897727,359.8161818,298.1307273,389.5858636,372.4054091,358.4616818,260.6914091,307.5535909,445.5190909,418.3352727,409.4518636,490.4404091,553.8439091,476.913,752.4159545,610.9909091,491.3961818,571.6576364,576.8704091,512.3997273,623.5332273,554.9228182,395.9068636,406.35,549.1354091,492.0411818,607.5137727,704.6625,757.9277727,706.3101818,639.0835909,556.506,628.1479091,710.016,552.7298182,401.4773182,394.5699545,371.1505909,342.2897727,0,,12,19518736.72,257696611.8,208918.3544,44.5,145.9973753,
