$ Bathymetry:  The Dalles.  Original provided by WEST consultants via David Gade.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG: I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,,,,,,,
DLX,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,988.68,,,,,,,
ELWS,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,49.487455,,,,,,,
PHIO,1.48,1.20,1.20,1.20,1.20,1.10,1.10,1.10,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.81,0.81,0.81,0.81,0.81,1.74,2.30,2.73,2.08,1.30,1.00,0.80,1.80,1.70,1.70,1.65,1.51,1.52,1.30,1.10,1.00,0.80,0.80,0.80,0.80,0.80,1.12,,,,,,,
FRICT,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,583878509,473358.716,56,183.7270341
1,0,739.59,834.77,765.18,856.66,956.74,953.54,1069.81,1020.58,1135.19,1113.15,1220.75,1030.48,1045.11,1229.6,1037.19,1464.85,1339.76,1084.73,1255.83,1255.82,1338.56,1393.01,1216.95,884.41,976.68,1106.92,1012.38,1303.97,1514.82,1554.84,1707.99,1496.54,1231.95,1297.4,1349.89,1311.92,888.08,827.66,850.36,796.41,0,,2,44955348.81,583878509,473358.716,55,180.4461942
1,0,652.54,702.65,650.84,647.06,798.71,700.72,670.46,476.52,554.73,866.96,798.94,711.66,925.99,1176.6,909.18,1348.87,1101.48,873.37,1020.05,1075.91,1067.89,1179.11,985.31,711.43,717.18,997.49,854.25,1057.74,1289.34,1325.6,1359.2,1158.18,1005.31,1077.48,1217.11,949.62,698.85,715.78,676.63,592.95,0,,3,35888777.51,538923160.2,436912.7673,54,177.1653543
1,0,646.55,667.05,639.96,602.59,758.08,683.82,659.58,466.25,544.28,835.39,772.73,706.8,916.97,1115.73,888.79,1330.86,1084.04,863.41,1007.3,1055.98,1005.7,1154.02,975.06,699.69,710.86,974.2,849.56,1053.66,1268.22,1314.28,1326.32,1125.5,992.32,1075.26,1214.8,945.72,694.27,697.38,659.64,591.21,0,,4,35171134.24,503034382.7,407817.2185,53,173.8845144
1,0,642.2,626.77,629.84,554.72,706.02,659.07,637.97,454.25,534.93,800.06,735.24,702.45,883.64,1027.94,852.41,1303.62,1064.88,853.1,993.17,1027.27,944.33,1127.64,962.4,686.74,703.14,947.77,845.06,1048.96,1239.38,1303.33,1276.3,1107.54,974.33,1073.26,1212.85,944.16,689.97,684.25,642.54,588.71,0,,5,34299494.18,467863248.5,379303.4735,52,170.6036745
1,0,616.81,561.75,613.64,508.44,664.41,635.11,611.33,444.59,524.51,759.8,713.44,698.29,836.41,944.54,813.34,1283.19,1042,838.04,974.92,983.81,873.86,1063.39,946.38,675.19,693,936.51,839.14,1036.07,1201.75,1292.59,1204.56,1089.91,949.08,1071.26,1210.88,942.64,684.69,672.91,632.97,583.75,0,,6,33287768.05,433563754.3,351496.3796,51,167.3228346
1,0,570.03,482.21,537.5,448.85,619.57,615.57,591.92,434.96,507.41,723.87,699.32,688.25,806.47,854.92,771.15,1256.97,989.45,791.49,944.32,928.8,814.73,946.52,918.54,662.9,678.91,927.19,829.6,1020.13,1155.31,1262.11,1141.64,1070.21,911.38,1069.18,1208.89,941.13,679.66,659.2,619.73,575.1,0,,7,31988830.38,400275986.2,324509.5066,50,164.0419948
1,0,529.32,405.95,408.95,400,577.36,592.12,572.13,425.4,486.26,687.02,686.46,673.58,777.59,783.89,726.61,1182.75,891.43,731.08,885.89,832.54,770.26,821.37,876.58,651.48,653.64,900,814.64,980.46,1077.91,1217.18,1093.21,1049.68,871.28,1066.98,1206.84,939.62,675.76,646.05,594.58,527.43,0,,8,30343854.71,368287155.9,298575.7011,49,160.7611549
1,0,490.49,305.7,306.11,368.47,535.43,560.85,550.21,416.7,468.4,653.43,673.9,661.01,699.12,714.99,689.51,1067.29,770.15,689.13,811.49,715.03,721.78,694.85,825.07,640.03,619.16,856.4,789.99,890.06,974.31,1185.02,1027.56,1029.33,845.36,1064.83,1204.71,938.11,671.58,634.04,570.51,457.59,0,,9,28461823.24,337943301.1,273975.5011,48,157.480315
1,0,444.06,205.38,252.03,342.11,476.53,515.98,521.77,406.2,448.46,567.1,570.99,573.07,549.71,607.1,633.25,915.06,614.74,645.91,729.47,628.28,674.32,576.82,771.53,622.57,588.98,804.7,750.6,806.85,874.82,1160.02,950.41,1008.63,827.96,1062.81,1202.49,936.6,665.99,621.65,559.51,422.51,0,,10,26236571.5,309481477.9,250901.0911,47,154.1994751
1,0,364.34,148.15,229.84,324.87,388.87,359.77,482.23,394.6,425.49,455.52,362.96,430.12,412.7,452.31,517.25,712.64,438.25,580.15,630.28,559.21,604.43,500.11,718.21,595.57,564.69,753.95,698.85,758.83,804.78,1131.95,879.91,984.43,811.84,1060.83,1200.24,935.1,657.76,602.2,549.6,413.53,0,,11,23625853.2,283244906.4,229630.7248,46,150.9186352
1,0,273.28,113.83,213.42,301.5,276.05,161.29,402.56,381.56,401.36,328.16,163.79,297.07,274.93,296.78,383.66,484.03,299.25,488.84,456.32,478.24,492.6,446.65,656.65,561.36,531.61,688.36,646.23,715.54,755.58,1104.76,811.21,952.74,794.56,1058.84,1197.96,933.6,648.62,573.36,540.82,411.03,0,,12,20760302.64,259619053.2,210476.9053,45,147.6377953
1,0,220.65,83.12,197.44,277.79,134.94,0,248.43,359.58,374.18,216.45,65.06,158.04,173.17,165.71,283.65,301.9,239.2,361.2,288.59,383.51,386.63,395.05,586.4,526.1,492.52,551.67,596.32,657.71,687.7,1062.87,743.59,908.75,780.9,1056.84,1195.65,932.09,637.92,529.88,533.35,408.98,0,,13,17997466.04,238858750.6,193646.229,44,144.3569554
1,0,220.65,73.75,183.59,250.67,0,0,87.66,325.1,342.8,162.02,0,74.17,173.17,64.95,219.95,207.63,228.66,256.17,233.09,302.32,324.75,343.26,463.19,474.42,458.48,386.27,541.81,596.92,624.51,949.53,668.95,855.24,771.59,1054.83,1193.29,930.58,628.29,477.49,521.82,406.88,0,,14,15896441.95,220861284.5,179055.4241,43,141.0761155
1,0,220.65,73.75,166.95,192.14,0,0,0,287.62,308.76,128,0,0,0,0,158.96,154.4,216.14,211.2,216.72,252.56,286.96,288.13,333.29,388.7,420.23,263.71,490.11,549,589.45,791.94,595.98,796.1,762.07,1052.81,1190.99,929.07,623.2,437.36,506.28,405,0,,15,14126487.24,204964842.6,166167.9497,42,137.7952756
1,0,0,0,142.01,136.94,0,0,0,224.89,270.67,0,0,0,0,0,114.66,112.25,198.52,186.38,201.14,219.29,252.71,242.06,268.56,314.51,382.76,180.15,450.21,506.9,554.58,662.03,528.93,734.93,751.84,1050.79,1188.83,927.56,619.09,410.91,490.7,399.39,0,,16,12580152.17,190838355.3,154715.403,41,134.5144357
1,0,0,0,100.86,109.82,0,0,0,154.81,232.19,0,0,0,0,0,114.66,72.72,175.51,170.28,184.5,184.97,208.24,209.04,230.94,265.73,344.87,119.47,414.42,469.99,518.42,541.61,439.12,656.65,734.36,1048.76,1186.77,926.06,615.52,382.98,473.19,392.73,0,,17,11546981.57,178258203.2,144516.4925,40,131.2335958
1,0,0,0,59.81,90.51,0,0,0,97.46,181.21,0,0,0,0,0,114.66,51.03,165.31,149.28,160.67,144.35,154.45,185.19,178.47,214.22,296.04,80.38,372.18,424.44,485.46,444.48,351.98,575.9,711.44,1046.43,1184.71,924.55,611.45,345.31,455.62,388.25,0,,18,10524735.88,166711221.6,135155.1882,39,127.9527559
1,0,0,0,59.81,90.51,0,0,0,57.89,100.11,0,0,0,0,0,0,0,165.31,128.45,156.98,100.21,109.59,165.65,114.16,169.1,243.11,58.2,345.7,381.48,447.65,372.27,290.35,518.44,687.9,1042.69,1182.65,923.04,607.74,315.24,441.67,381.98,0,,19,9548552.798,156186485.7,126622.6333,38,124.671916
1,0,0,0,59.81,90.51,0,0,0,57.89,62.29,0,0,0,0,0,0,0,165.31,128.45,156.98,69,72.66,148.42,78.97,130.7,192.93,58.2,345.7,353.4,405.1,305.99,225.1,464.11,654.97,1037.75,1180.6,921.53,605.5,295.42,427.48,296.86,0,,20,8889844.748,146637932.9,118881.484,37,121.3910761
1,0,0,0,59.81,90.51,0,0,0,57.89,62.29,0,0,0,0,0,0,0,0,0,0,0,57.96,135.2,65.1,87.08,184.22,58.2,345.7,325.99,362.24,245.46,170.91,401.88,617.4,1033.02,1178.56,920.01,603.19,270.91,406.87,184.48,0,,21,7835170.358,137748088.2,111674.3589,36,118.1102362
