$ THE DALLES-POOLELEV.npt based on $//THE DALLES-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
40544,49.273
40545,49.294
40546,49.471
40547,49.437
40548,49.514
40549,49.442
40550,49.561
40551,49.511
40552,49.547
40553,49.528
40554,49.536
40555,49.457
40556,49.46
40557,49.378
40558,49.442
40559,49.483
40560,49.508
40561,49.526
40562,49.562
40563,49.385
40564,49.115
40565,49.176
40566,49.253
40567,49.463
40568,49.457
40569,49.498
40570,49.321
40571,49.308
40572,49.208
40573,49.148
40574,49.181
40575,49.288
40576,49.304
40577,49.258
40578,49.352
40579,49.464
40580,49.475
40581,49.402
40582,49.37
40583,49.407
40584,49.35
40585,49.274
40586,49.218
40587,49.277
40588,49.304
40589,49.456
40590,49.396
40591,49.369
40592,49.298
40593,49.471
40594,49.539
40595,49.557
40596,49.47
40597,49.44
40598,49.409
40599,49.356
40600,49.187
40601,49.317
40602,49.241
40603,49.421
40604,49.365
40605,49.257
40606,49.247
40607,49.206
40608,49.222
40609,49.24
40610,49.091
40611,48.956
40612,49.313
40613,49.209
40614,49.318
40615,49.355
40616,49.304
40617,49.25
40618,49.359
40619,49.304
40620,49.408
40621,49.445
40622,49.405
40623,49.39
40624,49.445
40625,49.365
40626,49.524
40627,49.35
40628,49.262
40629,49.387
40630,49.457
40631,49.329
40632,49.524
40633,49.496
40634,49.106
40635,49.317
40636,49.268
40637,49.213
40638,49.326
40639,49.225
40640,49.176
40641,49.301
40642,49.24
40643,49.274
40644,49.173
40645,49.189
40646,49.368
40647,49.219
40648,49.061
40649,49.213
40650,49.094
40651,49.189
40652,49.375
40653,49.335
40654,49.131
40655,49.323
40656,49.179
40657,49.268
40658,49.228
40659,49.198
40660,49.222
40661,49.341
40662,49.375
40663,49.317
40664,49.384
40665,49.536
40666,49.423
40667,49.25
40668,49.362
40669,49.173
40670,49.222
40671,49.21
40672,49.341
40673,49.365
40674,49.28
40675,49.307
40676,49.131
40677,49.39
40678,49.32
40679,49.149
40680,49.405
40681,49.307
40682,49.46
40683,49.463
40684,49.164
40685,49.359
40686,49.064
40687,49.125
40688,49.186
40689,49.061
40690,49.167
40691,49.03
40692,49.067
40693,49.198
40694,49.173
40695,49.079
40696,49.311
40697,49.122
40698,49.085
40699,48.942
40700,49.289
40701,49.25
40702,49.201
40703,49.076
40704,49.365
40705,49.533
40706,49.432
40707,49.17
40708,49.186
40709,49.243
40710,48.991
40711,49.112
40712,49.103
40713,49.128
40714,49.045
40715,49.137
40716,49.058
40717,49.173
40718,49.125
40719,49.07
40720,49.106
40721,48.957
40722,49.027
40723,49.109
40724,49.262
40725,49.207
40726,49.225
40727,49.222
40728,49.204
40729,49.061
40730,49.167
40731,49.149
40732,49.137
40733,49.143
40734,49.24
40735,49.417
40736,49.381
40737,49.326
40738,49.048
40739,49.164
40740,49.28
40741,49.262
40742,49.359
40743,49.56
40744,49.423
40745,49.03
40746,49.045
40747,49.073
40748,49.131
40749,49.338
40750,49.204
40751,49.323
40752,49.201
40753,49.152
40754,49.234
40755,49.271
40756,49.347
40757,49.359
40758,49.32
40759,49.158
40760,49.25
40761,49.317
40762,49.368
40763,49.329
40764,49.183
40765,49.268
40766,49.277
40767,49.429
40768,49.432
40769,49.24
40770,49.237
40771,49.179
40772,49.554
40773,49.466
40774,49.439
40775,49.436
40776,49.347
40777,49.186
40778,49.375
40779,49.347
40780,49.332
40781,49.42
40782,49.329
40783,49.42
40784,49.515
40785,49.423
40786,49.384
40787,49.289
40788,49.247
40789,49.314
40790,49.362
40791,49.454
40792,49.448
40793,49.487
40794,49.5
40795,49.487
40796,49.472
40797,49.439
40798,49.533
40799,49.381
40800,49.326
40801,49.378
40802,49.268
40803,49.396
40804,49.429
40805,49.5
40806,49.411
40807,49.451
40808,49.466
40809,49.423
40810,49.399
40811,49.405
40812,49.457
40813,49.5
40814,49.466
40815,49.448
40816,49.493
40817,49.475
40818,49.518
40819,49.515
40820,49.466
40821,49.46
40822,49.46
40823,49.442
40824,49.469
40825,49.506
40826,49.49
40827,49.478
40828,49.512
40829,49.402
40830,49.292
40831,49.314
40832,49.365
40833,49.39
40834,49.496
40835,49.466
40836,49.512
40837,49.463
40838,49.472
40839,49.445
40840,49.478
40841,49.396
40842,49.393
40843,49.448
40844,49.378
40845,49.271
40846,49.457
40847,49.484
40848,49.521
40849,49.49
40850,49.457
40851,49.46
40852,49.384
40853,49.393
40854,49.341
40855,49.323
40856,49.297
40857,49.176
40858,49.205
40859,49.303
40860,49.36
40861,49.412
40862,49.329
40863,49.335
40864,49.464
40865,49.425
40866,49.523
40867,49.282
40868,49.452
40869,49.471
40870,49.422
40871,49.368
40872,49.327
40873,49.411
40874,49.388
40875,49.337
40876,49.385
40877,49.293
40878,49.313
40879,49.287
40880,49.409
40881,49.405
40882,49.399
40883,49.358
40884,49.251
40885,49.378
40886,49.375
40887,49.45
40888,49.433
40889,49.33
40890,49.545
40891,49.414
40892,49.49
40893,49.359
40894,49.414
40895,49.461
40896,49.285
40897,49.295
40898,49.286
40899,49.382
40900,49.273
40901,49.393
40902,49.347
40903,49.423
40904,49.415
40905,49.391
40906,49.478
40907,49.309
40908,49.482
40909,49.511
40910,49.526
40911,49.521
40912,49.503
40913,49.348
40914,49.417
40915,49.397
40916,49.46
40917,49.457
40918,49.404
40919,49.233
40920,49.33
40921,49.464
40922,49.452
40923,49.427
40924,49.491
40925,49.403
40926,49.39
40927,49.375
40928,49.459
40929,49.501
40930,49.599
40931,49.419
40932,49.528
40933,49.39
40934,49.489
40935,49.572
40936,49.55
40937,49.531
40938,49.443
40939,49.5
40940,49.608
40941,49.39
40942,49.386
40943,49.422
40944,49.455
40945,49.51
40946,49.582
40947,49.465
40948,49.401
40949,49.417
40950,49.441
40951,49.404
40952,49.364
40953,49.494
40954,49.479
40955,49.396
40956,49.504
40957,49.471
40958,49.425
40959,49.35
40960,49.505
40961,49.445
40962,49.436
40963,49.456
40964,49.375
40965,49.41
40966,49.507
40967,49.485
40968,49.405
40969,49.315
40970,49.343
40971,49.496
40972,49.351
40973,49.312
40974,49.369
40975,49.474
40976,49.551
40977,49.49
40978,49.517
40979,49.515
40980,49.418
40981,49.454
40982,49.289
40983,49.32
40984,49.432
40985,49.402
40986,49.49
40987,49.301
40988,49.256
40989,49.247
40990,49.311
40991,49.341
40992,49.432
40993,49.274
40994,49.189
40995,49.222
40996,49.509
40997,49.423
40998,49.405
40999,49.295
41000,49.234
41001,49.286
41002,49.222
41003,49.298
41004,49.07
41005,49.243
41006,49.295
41007,49.186
41008,49.186
41009,49.07
41010,49.051
41011,49.173
41012,49.243
41013,49.207
41014,49.277
41015,49.119
41016,49.32
41017,49.307
41018,49.265
41019,49.265
41020,49.109
41021,48.926
41022,49.405
41023,49.35
41024,49.329
41025,49.314
41026,49.384
41027,49.436
41028,49.317
41029,49.545
41030,49.146
41031,49.158
41032,49.161
41033,49.164
41034,49.436
41035,49.311
41036,49.332
41037,49.256
41038,49.253
41039,49.368
41040,49.146
41041,49.091
41042,49.436
41043,49.329
41044,49.402
41045,49.429
41046,49.277
41047,49.414
41048,49.496
41049,49.353
41050,49.384
41051,49.265
41052,49.179
41053,49.414
41054,49.173
41055,49.381
41056,49.469
41057,49.195
41058,49.207
41059,49.411
41060,49.372
41061,49.234
41062,49.317
41063,49.359
41064,49.332
41065,49.344
41066,49.341
41067,49.234
41068,49.42
41069,49.189
41070,49.314
41071,49.237
41072,49.32
41073,49.332
41074,49.326
41075,49.106
41076,49.365
41077,49.362
41078,49.496
41079,49.359
41080,49.381
41081,49.463
41082,49.469
41083,49.402
41084,49.219
41085,49.475
41086,49.347
41087,49.243
41088,49.289
41089,49.286
41090,49.228
41091,49.283
41092,49.28
41093,49.195
41094,49.283
41095,49.082
41096,49.155
41097,49.097
41098,49.228
41099,49.243
41100,49.198
41101,49.225
41102,49.277
41103,49.292
41104,49.237
41105,49.131
41106,49.195
41107,49.112
41108,49.146
41109,49.253
41110,49.408
41111,49.295
41112,49.493
41113,49.329
41114,49.213
41115,49.265
41116,49.24
41117,49.335
41118,49.25
41119,49.219
41120,49.28
41121,49.384
41122,49.326
41123,49.295
41124,49.164
41125,49.378
41126,49.274
41127,49.298
41128,49.356
41129,49.466
41130,49.311
41131,49.307
41132,49.286
41133,49.347
41134,49.527
41135,49.39
41136,49.301
41137,49.329
41138,49.445
41139,49.375
41140,49.323
41141,49.347
41142,49.268
41143,49.423
41144,49.307
41145,49.39
41146,49.359
41147,49.42
41148,49.42
41149,49.338
41150,49.426
41151,49.451
41152,49.381
41153,49.317
41154,49.143
41155,49.557
41156,49.42
41157,49.402
41158,49.448
41159,49.426
41160,49.448
41161,49.429
41162,49.496
41163,49.439
41164,49.475
41165,49.429
41166,49.402
41167,49.408
41168,49.314
41169,49.439
41170,49.454
41171,49.372
41172,49.399
41173,49.432
41174,49.426
41175,49.35
41176,49.451
41177,49.414
41178,49.323
41179,49.436
41180,49.457
41181,49.493
41182,49.524
41183,49.439
41184,49.493
41185,49.536
41186,49.384
41187,49.457
41188,49.496
41189,49.53
41190,49.454
41191,49.451
41192,49.39
41193,49.454
41194,49.466
41195,49.478
41196,49.475
41197,49.384
41198,49.408
41199,49.429
41200,49.475
41201,49.551
41202,49.518
41203,49.49
41204,49.567
41205,49.524
41206,49.463
41207,49.478
