                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
 40544.000,   1,  0.61081494E+06,   0.00000000E+00,  -0.70810560E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.13313521E+05,   0.00000000E+00,   0.10431711E-10,
 40544.999,   1,  0.39633813E+09,   0.00000000E+00,  -0.43736254E+09,   0.00000000E+00,   0.00000000E+00,   0.16889339E+08,   0.77932674E+07,   0.00000000E+00,  -0.10189846E-10,
 40546.000,   1,  0.77207630E+09,   0.00000000E+00,  -0.83887424E+09,   0.00000000E+00,   0.00000000E+00,   0.46474660E+08,   0.14546391E+08,   0.00000000E+00,  -0.11817059E-10,
 40546.999,   1,  0.11461438E+10,   0.00000000E+00,  -0.12635324E+10,   0.00000000E+00,   0.00000000E+00,   0.94847569E+08,   0.20712102E+08,   0.00000000E+00,   0.25399851E-09,
 40548.000,   1,  0.15573593E+10,   0.00000000E+00,  -0.17259097E+10,   0.00000000E+00,   0.00000000E+00,   0.14486827E+09,   0.26547305E+08,   0.00000000E+00,   0.25472936E-09,
 40549.000,   1,  0.19694257E+10,   0.00000000E+00,  -0.21533561E+10,   0.00000000E+00,   0.00000000E+00,   0.16368167E+09,   0.31990789E+08,   0.00000000E+00,   0.13261482E-10,
 40550.000,   1,  0.23419694E+10,   0.00000000E+00,  -0.25390052E+10,   0.00000000E+00,   0.00000000E+00,   0.18116222E+09,   0.37165337E+08,   0.00000000E+00,   0.75129274E-10,
 40550.999,   1,  0.26645350E+10,   0.00000000E+00,  -0.28913505E+10,   0.00000000E+00,   0.00000000E+00,   0.20523274E+09,   0.42205637E+08,   0.00000000E+00,   0.66438899E-10,
 40551.999,   1,  0.29647657E+10,   0.00000000E+00,  -0.32190049E+10,   0.00000000E+00,   0.00000000E+00,   0.22531223E+09,   0.47013589E+08,   0.00000000E+00,   0.10512728E-09,
 40552.999,   1,  0.32745505E+10,   0.00000000E+00,  -0.35606518E+10,   0.00000000E+00,   0.00000000E+00,   0.25432942E+09,   0.51589056E+08,   0.00000000E+00,   0.70268004E-10,
 40554.000,   1,  0.36143865E+10,   0.00000000E+00,  -0.39504296E+10,   0.00000000E+00,   0.00000000E+00,   0.30278722E+09,   0.55895042E+08,   0.00000000E+00,   0.80349867E-10,
 40555.000,   1,  0.39528331E+10,   0.00000000E+00,  -0.43527829E+10,   0.00000000E+00,   0.00000000E+00,   0.35931653E+09,   0.59993043E+08,   0.00000000E+00,   0.21551496E-11,
 40556.000,   1,  0.43025352E+10,   0.00000000E+00,  -0.47640970E+10,   0.00000000E+00,   0.00000000E+00,   0.41663672E+09,   0.64176797E+08,   0.00000000E+00,   0.46982883E-10,
 40557.000,   1,  0.46802003E+10,   0.00000000E+00,  -0.51705138E+10,   0.00000000E+00,   0.00000000E+00,   0.44323408E+09,   0.68885902E+08,   0.00000000E+00,  -0.12505032E-09,
 40557.999,   1,  0.50664341E+10,   0.00000000E+00,  -0.55830411E+10,   0.00000000E+00,   0.00000000E+00,   0.46110077E+09,   0.75587085E+08,   0.00000000E+00,   0.10463058E-10,
 40559.000,   1,  0.54592450E+10,   0.00000000E+00,  -0.60193272E+10,   0.00000000E+00,   0.00000000E+00,   0.49631890E+09,   0.84809521E+08,   0.00000000E+00,  -0.78767460E-10,
 40559.999,   1,  0.58161977E+10,   0.00000000E+00,  -0.64057867E+10,   0.00000000E+00,   0.00000000E+00,   0.51169337E+09,   0.96868622E+08,   0.00000000E+00,   0.22605352E-09,
 40560.999,   1,  0.61466503E+10,   0.00000000E+00,  -0.68004952E+10,   0.00000000E+00,   0.00000000E+00,   0.55098570E+09,   0.12072122E+09,   0.00000000E+00,   0.58484450E-09,
 40561.999,   1,  0.65546843E+10,   0.00000000E+00,  -0.73120002E+10,   0.00000000E+00,   0.00000000E+00,   0.63606505E+09,   0.15289533E+09,   0.00000000E+00,   0.40447319E-09,
 40563.000,   1,  0.70750141E+10,   0.00000000E+00,  -0.79321493E+10,   0.00000000E+00,   0.00000000E+00,   0.71297638E+09,   0.18127762E+09,   0.00000000E+00,   0.48582835E-09,
 40564.000,   1,  0.76140819E+10,   0.00000000E+00,  -0.85513053E+10,   0.00000000E+00,   0.00000000E+00,   0.75310563E+09,   0.20611153E+09,   0.00000000E+00,   0.72926390E-09,
 40564.999,   1,  0.81092226E+10,   0.00000000E+00,  -0.90962577E+10,   0.00000000E+00,   0.00000000E+00,   0.77454952E+09,   0.22849895E+09,   0.00000000E+00,   0.90997311E-09,
 40565.999,   1,  0.86027958E+10,   0.00000000E+00,  -0.96340300E+10,   0.00000000E+00,   0.00000000E+00,   0.80389031E+09,   0.24953977E+09,   0.00000000E+00,   0.36309890E-09,
 40566.999,   1,  0.91305161E+10,   0.00000000E+00,  -0.10219084E+11,   0.00000000E+00,   0.00000000E+00,   0.84996730E+09,   0.26984685E+09,   0.00000000E+00,   0.20971712E-09,
 40568.000,   1,  0.96792595E+10,   0.00000000E+00,  -0.10831291E+11,   0.00000000E+00,   0.00000000E+00,   0.89684772E+09,   0.28917543E+09,   0.00000000E+00,  -0.21077255E-09,
 40569.000,   1,  0.10251024E+11,   0.00000000E+00,  -0.11457408E+11,   0.00000000E+00,   0.00000000E+00,   0.93225171E+09,   0.30764723E+09,   0.00000000E+00,  -0.53141557E-09,
 40570.000,   1,  0.10816622E+11,   0.00000000E+00,  -0.12066988E+11,   0.00000000E+00,   0.00000000E+00,   0.95439065E+09,   0.32514078E+09,   0.00000000E+00,  -0.96748243E-09,
 40571.000,   1,  0.11365106E+11,   0.00000000E+00,  -0.12674119E+11,   0.00000000E+00,   0.00000000E+00,   0.99031176E+09,   0.34128922E+09,   0.00000000E+00,  -0.13130822E-08,
 40572.000,   1,  0.11950144E+11,   0.00000000E+00,  -0.13323154E+11,   0.00000000E+00,   0.00000000E+00,   0.10420460E+10,   0.35595715E+09,   0.00000000E+00,  -0.16309529E-08,
 40572.999,   1,  0.12536424E+11,   0.00000000E+00,  -0.13951304E+11,   0.00000000E+00,   0.00000000E+00,   0.10671564E+10,   0.36948690E+09,   0.00000000E+00,  -0.22934726E-08,
 40574.000,   1,  0.13063724E+11,   0.00000000E+00,  -0.14502634E+11,   0.00000000E+00,   0.00000000E+00,   0.10725692E+10,   0.38211178E+09,   0.00000000E+00,  -0.35625486E-08,
 40575.000,   1,  0.13550337E+11,   0.00000000E+00,  -0.15042597E+11,   0.00000000E+00,   0.00000000E+00,   0.11141495E+10,   0.39358683E+09,   0.00000000E+00,  -0.43060049E-08,
 40576.000,   1,  0.14040373E+11,   0.00000000E+00,  -0.15601834E+11,   0.00000000E+00,   0.00000000E+00,   0.11757299E+10,   0.40403387E+09,   0.00000000E+00,  -0.40136428E-08,
 40576.999,   1,  0.14552689E+11,   0.00000000E+00,  -0.16150813E+11,   0.00000000E+00,   0.00000000E+00,   0.12060147E+10,   0.41351472E+09,   0.00000000E+00,  -0.37672900E-08,
 40577.999,   1,  0.15057918E+11,   0.00000000E+00,  -0.16684718E+11,   0.00000000E+00,   0.00000000E+00,   0.12279503E+10,   0.42191897E+09,   0.00000000E+00,  -0.32790035E-08,
 40578.999,   1,  0.15563776E+11,   0.00000000E+00,  -0.17227319E+11,   0.00000000E+00,   0.00000000E+00,   0.12625629E+10,   0.42954018E+09,   0.00000000E+00,  -0.25382054E-08,
 40580.000,   1,  0.16043241E+11,   0.00000000E+00,  -0.17736928E+11,   0.00000000E+00,   0.00000000E+00,   0.12842986E+10,   0.43673315E+09,   0.00000000E+00,  -0.35138872E-08,
 40581.000,   1,  0.16456511E+11,   0.00000000E+00,  -0.18177307E+11,   0.00000000E+00,   0.00000000E+00,   0.12956730E+10,   0.44371823E+09,   0.00000000E+00,  -0.51521073E-08,
 40582.000,   1,  0.16823158E+11,   0.00000000E+00,  -0.18583653E+11,   0.00000000E+00,   0.00000000E+00,   0.13247494E+10,   0.45061774E+09,   0.00000000E+00,  -0.70400691E-08,
 40583.000,   1,  0.17227987E+11,   0.00000000E+00,  -0.19048403E+11,   0.00000000E+00,   0.00000000E+00,   0.13871356E+10,   0.45750467E+09,   0.00000000E+00,  -0.35268779E-08,
 40583.999,   1,  0.17720600E+11,   0.00000000E+00,  -0.19604017E+11,   0.00000000E+00,   0.00000000E+00,   0.14513215E+10,   0.46445290E+09,   0.00000000E+00,  -0.16424903E-08,
 40584.999,   1,  0.18225378E+11,   0.00000000E+00,  -0.20159712E+11,   0.00000000E+00,   0.00000000E+00,   0.14897993E+10,   0.47127911E+09,   0.00000000E+00,  -0.27427133E-08,
 40585.999,   1,  0.18737992E+11,   0.00000000E+00,  -0.20716524E+11,   0.00000000E+00,   0.00000000E+00,   0.15248091E+10,   0.47765270E+09,   0.00000000E+00,  -0.25087756E-08,
 40586.999,   1,  0.19270421E+11,   0.00000000E+00,  -0.21282969E+11,   0.00000000E+00,   0.00000000E+00,   0.15525822E+10,   0.48364675E+09,   0.00000000E+00,  -0.32791257E-08,
 40587.999,   1,  0.19761322E+11,   0.00000000E+00,  -0.21798386E+11,   0.00000000E+00,   0.00000000E+00,   0.15652299E+10,   0.48942061E+09,   0.00000000E+00,  -0.53907328E-08,
 40588.999,   1,  0.20207756E+11,   0.00000000E+00,  -0.22281284E+11,   0.00000000E+00,   0.00000000E+00,   0.15930796E+10,   0.49515747E+09,   0.00000000E+00,  -0.66651769E-08,
 40590.000,   1,  0.20687958E+11,   0.00000000E+00,  -0.22818044E+11,   0.00000000E+00,   0.00000000E+00,   0.16505439E+10,   0.50101664E+09,   0.00000000E+00,  -0.42215798E-08,
 40591.000,   1,  0.21226186E+11,   0.00000000E+00,  -0.23400096E+11,   0.00000000E+00,   0.00000000E+00,   0.16925951E+10,   0.50707139E+09,   0.00000000E+00,  -0.21622711E-08,
 40591.999,   1,  0.21771130E+11,   0.00000000E+00,  -0.23982849E+11,   0.00000000E+00,   0.00000000E+00,   0.17210383E+10,   0.51361544E+09,   0.00000000E+00,  -0.34972448E-08,
 40593.000,   1,  0.22295669E+11,   0.00000000E+00,  -0.24544076E+11,   0.00000000E+00,   0.00000000E+00,   0.17505012E+10,   0.52068578E+09,   0.00000000E+00,  -0.37859185E-08,
 40594.000,   1,  0.22809593E+11,   0.00000000E+00,  -0.25090316E+11,   0.00000000E+00,   0.00000000E+00,   0.17789813E+10,   0.52802538E+09,   0.00000000E+00,  -0.30849539E-08,
 40594.999,   1,  0.23321233E+11,   0.00000000E+00,  -0.25634059E+11,   0.00000000E+00,   0.00000000E+00,   0.18051197E+10,   0.53543850E+09,   0.00000000E+00,  -0.37685615E-08,
 40595.999,   1,  0.23808642E+11,   0.00000000E+00,  -0.26155679E+11,   0.00000000E+00,   0.00000000E+00,   0.18289107E+10,   0.54261946E+09,   0.00000000E+00,  -0.37180184E-08,
 40597.000,   1,  0.24270438E+11,   0.00000000E+00,  -0.26651252E+11,   0.00000000E+00,   0.00000000E+00,   0.18537002E+10,   0.54949439E+09,   0.00000000E+00,  -0.48027969E-08,
 40598.000,   1,  0.24743270E+11,   0.00000000E+00,  -0.27170556E+11,   0.00000000E+00,   0.00000000E+00,   0.18961357E+10,   0.55619784E+09,   0.00000000E+00,  -0.39285990E-08,
 40599.000,   1,  0.25237233E+11,   0.00000000E+00,  -0.27711440E+11,   0.00000000E+00,   0.00000000E+00,   0.19369899E+10,   0.56246134E+09,   0.00000000E+00,  -0.41948564E-08,
 40599.999,   1,  0.25704195E+11,   0.00000000E+00,  -0.28225769E+11,   0.00000000E+00,   0.00000000E+00,   0.19689063E+10,   0.56817434E+09,   0.00000000E+00,  -0.53894711E-08,
 40601.000,   1,  0.26137720E+11,   0.00000000E+00,  -0.28703147E+11,   0.00000000E+00,   0.00000000E+00,   0.20016409E+10,   0.57339799E+09,   0.00000000E+00,  -0.91809141E-08,
 40601.999,   1,  0.26593728E+11,   0.00000000E+00,  -0.29189392E+11,   0.00000000E+00,   0.00000000E+00,   0.20341724E+10,   0.57825464E+09,   0.00000000E+00,  -0.55048160E-08,
 40602.999,   1,  0.27101711E+11,   0.00000000E+00,  -0.29737132E+11,   0.00000000E+00,   0.00000000E+00,   0.20809653E+10,   0.58324526E+09,   0.00000000E+00,  -0.23159266E-08,
 40603.999,   1,  0.27611633E+11,   0.00000000E+00,  -0.30301580E+11,   0.00000000E+00,   0.00000000E+00,   0.21326546E+10,   0.58852945E+09,   0.00000000E+00,  -0.34558802E-08,
 40605.000,   1,  0.28119580E+11,   0.00000000E+00,  -0.30860921E+11,   0.00000000E+00,   0.00000000E+00,   0.21714504E+10,   0.59419266E+09,   0.00000000E+00,  -0.37896793E-08,
 40606.000,   1,  0.28650546E+11,   0.00000000E+00,  -0.31427374E+11,   0.00000000E+00,   0.00000000E+00,   0.21984533E+10,   0.60028417E+09,   0.00000000E+00,  -0.41537486E-08,
 40607.000,   1,  0.29159978E+11,   0.00000000E+00,  -0.31987863E+11,   0.00000000E+00,   0.00000000E+00,   0.22398026E+10,   0.60631508E+09,   0.00000000E+00,  -0.56469416E-08,
 40607.999,   1,  0.29639727E+11,   0.00000000E+00,  -0.32509457E+11,   0.00000000E+00,   0.00000000E+00,   0.22730124E+10,   0.61201591E+09,   0.00000000E+00,  -0.79514975E-08,
 40608.999,   1,  0.30090377E+11,   0.00000000E+00,  -0.32990936E+11,   0.00000000E+00,   0.00000000E+00,   0.22978772E+10,   0.61778976E+09,   0.00000000E+00,  -0.89044833E-08,
 40609.999,   1,  0.30545361E+11,   0.00000000E+00,  -0.33496777E+11,   0.00000000E+00,   0.00000000E+00,   0.23407854E+10,   0.62367416E+09,   0.00000000E+00,  -0.12395450E-07,
 40610.999,   1,  0.31020766E+11,   0.00000000E+00,  -0.34017276E+11,   0.00000000E+00,   0.00000000E+00,   0.23755795E+10,   0.62932615E+09,   0.00000000E+00,  -0.16651801E-07,
 40612.000,   1,  0.31521771E+11,   0.00000000E+00,  -0.34553114E+11,   0.00000000E+00,   0.00000000E+00,   0.24134161E+10,   0.63490451E+09,   0.00000000E+00,  -0.10120286E-07,
 40613.000,   1,  0.32038402E+11,   0.00000000E+00,  -0.35107243E+11,   0.00000000E+00,   0.00000000E+00,   0.24528042E+10,   0.64089813E+09,   0.00000000E+00,  -0.56141322E-08,
 40614.000,   1,  0.32526147E+11,   0.00000000E+00,  -0.35636251E+11,   0.00000000E+00,   0.00000000E+00,   0.24832325E+10,   0.64779659E+09,   0.00000000E+00,  -0.64863109E-08,
 40614.999,   1,  0.33016474E+11,   0.00000000E+00,  -0.36183258E+11,   0.00000000E+00,   0.00000000E+00,   0.25349226E+10,   0.65563740E+09,   0.00000000E+00,  -0.52088148E-08,
 40615.999,   1,  0.33538861E+11,   0.00000000E+00,  -0.36739721E+11,   0.00000000E+00,   0.00000000E+00,   0.25643031E+10,   0.66423686E+09,   0.00000000E+00,  -0.39190640E-08,
 40616.999,   1,  0.34049815E+11,   0.00000000E+00,  -0.37294479E+11,   0.00000000E+00,   0.00000000E+00,   0.25953812E+10,   0.67331349E+09,   0.00000000E+00,  -0.56325711E-08,
