"Segment#","WSEL_m"
"       1","  49.273"
"       2","  49.273"
"       3","  49.273"
"       4","  49.273"
"       5","  49.273"
"       6","  49.273"
"       7","  49.273"
"       8","  49.273"
"       9","  49.273"
"      10","  49.273"
"      11","  49.273"
"      12","  49.273"
"      13","  49.273"
"      14","  49.273"
"      15","  49.273"
"      16","  49.273"
"      17","  49.273"
"      18","  49.273"
"      19","  49.273"
"      20","  49.273"
"      21","  49.273"
"      22","  49.273"
"      23","  49.273"
"      24","  49.273"
"      25","  49.273"
"      26","  49.273"
"      27","  49.273"
"      28","  49.273"
"      29","  49.273"
"      30","  49.273"
"      31","  49.273"
"      32","  49.273"
"      33","  49.273"
"      34","  49.273"
"      35","  49.273"
"      36","  49.273"
"      37","  49.273"
"      38","  49.273"
"      39","  49.273"
"      40","  49.273"
"      41","  49.273"
"      42","  49.273"
